,time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.411,0.004969911,0.002952262,-0.00854289,0.01535121,-0.03655069,0.01554238,0.07853749,0.05867165,-0.006800056,10.46801,352.4659,358.1763,-0.005586505,0.01934438,0.009064583,-0.04679891,-0.005986401,0.02884354,-0.2349538,-0.7118689,-0.09532946,33.02786,30.67625,155.2317,-0.06597761,0.04506365,0.04386915,0.3225582,-0.6851058,-0.4560672,0.4034847,-0.739016,-0.01780735,27.16226,331.2681,200.6586,
13.218,0.004437363,0.003643998,-0.009758508,0.01118163,-0.04478518,0.01585188,0.07860082,0.05872083,-0.006955802,10.45382,352.5102,358.1505,-0.003904527,0.01778464,0.00835028,-0.06421871,-0.01586262,0.01049012,-0.2350202,-0.7117617,-0.09528531,32.99175,30.62371,155.2293,-0.07332401,0.03265833,0.04415777,0.3407022,-0.704753,-0.3918048,0.4031073,-0.7391096,-0.01724906,27.08521,330.6057,200.738,
26.566,0.003875906,0.003480656,-0.01087159,0.0113739,-0.0500058,0.01746219,0.07864714,0.05875784,-0.007133573,10.43493,352.5565,358.1292,-0.001268795,0.01560035,0.00735131,-0.06392739,-0.02128216,-0.006046455,-0.2350595,-0.7117246,-0.09523926,32.97024,30.58263,155.2365,-0.06410185,0.01448334,0.03993373,0.2459249,-0.5479307,-0.2619821,0.4028582,-0.7396768,-0.0170665,27.03291,330.4156,200.6852,
40.228,0.003340173,0.003269445,-0.01247723,0.00129758,-0.05147941,0.009083927,0.07868409,0.05879867,-0.007352173,10.46446,352.5882,358.1314,0.001956393,0.01262152,0.006288054,-0.04358371,-0.02201569,-0.012334,-0.2350729,-0.7116758,-0.09525757,32.96816,30.55941,155.241,-0.04189571,-0.01502672,0.02543556,0.1232072,-0.2449482,0.02097648,0.4029226,-0.740859,-0.01746221,27.16865,330.6306,200.2231,
54.325,0.002622474,0.002132648,-0.01395674,-0.002087559,-0.05172812,0.000861925,0.07870862,0.0587917,-0.00758186,10.46191,352.6304,358.1329,0.006045525,0.009835423,0.005950819,-0.02154483,-0.02198407,-0.01964138,-0.2350127,-0.7117257,-0.09514141,32.97061,30.54375,155.2518,-0.008838216,-0.05798895,0.003814079,0.1540957,0.1674319,0.3401139,0.4032588,-0.7420202,-0.01784258,27.84536,331.1261,199.5675,
68.132,0.001799122,0.001114186,-0.01537222,-0.01016189,-0.05038157,-0.005796134,0.07872239,0.0587588,-0.007814378,10.49434,352.6699,358.1382,0.01101865,0.008448399,0.00847334,-0.02499288,0.01706648,-0.005584097,-0.234931,-0.7117561,-0.09512436,32.94336,30.55177,155.2631,0.01890057,-0.0726243,-0.008652638,0.1825687,0.4216989,0.4251541,0.4035623,-0.7421775,-0.01792929,28.46738,331.6789,199.2742,
81.891,0.0008529336,0.000611632,-0.01669134,-0.003375878,-0.04471702,-0.01700051,0.07872087,0.05873144,-0.008061826,10.47421,352.7106,358.1759,0.01368269,0.00752969,0.008853171,-0.001663621,0.008737593,0.009313615,-0.2347875,-0.7118639,-0.09500703,32.93779,30.55453,155.2552,0.02175016,-0.04164496,-0.01720606,0.09972853,0.3806196,0.1837151,0.4037291,-0.7408078,-0.01944592,28.54037,332.004,199.6226,
95.269,-0.0001468388,0.0008885819,-0.01756467,0.01670199,-0.03823449,-0.02399448,0.0786882,0.05875945,-0.008334219,10.4262,352.7415,358.2065,0.0208307,0.008611924,0.01155056,-0.01879556,0.07725199,0.0222909,-0.2343869,-0.7119606,-0.09476858,32.84218,30.63417,155.2596,0.02485753,0.03638832,-0.003350849,-0.4937016,0.1722225,-0.166534,0.4041043,-0.7400273,-0.01891281,27.09847,332.6782,200.3441,
109.795,-0.00188473,0.002890788,-0.01782441,0.01893232,-0.03551138,-0.01043085,0.07860708,0.05886817,-0.008596301,10.4157,352.7524,358.1726,0.02326026,0.008961594,0.009213867,0.004325696,0.05290364,0.007746243,-0.2342009,-0.7118172,-0.09484619,32.84708,30.66682,155.2697,0.03865054,0.09017481,0.010296,-1.100649,0.1947037,-0.1955272,0.404278,-0.7386931,-0.0195462,25.46178,333.8626,200.6264,
123.553,-0.003245955,0.005881285,-0.01785156,0.02568168,-0.02914796,-7.379106e-05,0.07852209,0.05903655,-0.008839816,10.38128,352.7625,358.1698,0.02534999,0.009549531,0.009891482,-0.008984261,0.07335968,0.005146695,-0.2338013,-0.7120743,-0.09440915,32.7846,30.73379,155.2929,0.04490295,0.06831257,0.01381895,-0.9068553,0.3197455,0.1293057,0.4038633,-0.7396977,-0.01690495,25.35513,334.404,200.0824,
