,time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.342,-0.001861057,0.0004565853,-0.007217158,0.01290583,-0.02393237,-0.01166963,0.2844673,0.8262442,-0.5313833,356.1661,359.2116,0.496027,0.004048826,-0.02153028,-0.02547449,0.05406382,0.03849972,0.02493662,0.02208305,0.1208223,-0.4302876,11.7309,357.9539,177.9021,0.01755866,0.03724892,0.01494531,-0.1352698,-0.06047376,-0.1276016,0.5611299,0.1173077,-0.4189065,0.792827,24.98467,171.7007,
12.999,-0.00198882,-0.0005685416,-0.006803693,0.003278973,-0.02906053,-0.008185619,0.284439,0.826223,-0.5314673,356.189,359.2389,0.4999532,0.005104546,-0.01984812,-0.02427763,0.03137923,0.03232428,0.009045595,0.02219217,0.1207343,-0.4305412,11.72982,357.9697,177.9126,0.01474196,0.03761235,0.01792823,-0.1553054,-0.1100183,-0.1562114,0.5614026,0.117802,-0.418546,0.655116,24.80698,171.8802,
26.6,-0.002112246,-0.001839804,-0.006423137,-0.008362257,-0.03557566,-0.006743698,0.2844106,0.8261774,-0.5315483,356.213,359.2777,0.5014662,0.00557608,-0.01805228,-0.02275508,0.002448648,0.01288134,-0.0200968,0.02228972,0.1206108,-0.4307639,11.71075,357.9649,177.9438,0.0144891,0.03860755,0.0194941,-0.1746452,-0.1474034,-0.1892397,0.5618007,0.118304,-0.4183195,0.5051931,24.62024,172.0913,
40.334,-0.002066817,-0.00252152,-0.006331503,-0.0199821,-0.03707252,-0.008133578,0.2843865,0.8261397,-0.5316336,356.249,359.3067,0.5160337,0.005200615,-0.01752696,-0.02261658,-0.002487572,-0.02307032,-0.06197114,0.02254184,0.1205103,-0.4312395,11.70349,357.9176,178.0206,0.01334269,0.04010268,0.02198266,-0.1900223,-0.2040804,-0.2301105,0.5622606,0.1188394,-0.4178864,0.3561832,24.359,172.3559,
54.544,-0.002647036,-0.002709782,-0.005707706,-0.01568071,-0.04013596,-0.007523492,0.2843366,0.8261138,-0.5316929,356.2485,359.3446,0.5204043,0.005426512,-0.01541718,-0.02122858,-0.01930222,-0.04191728,-0.08414891,0.02263577,0.1202583,-0.4312605,11.67368,357.8578,178.1077,0.01262127,0.04034105,0.02803041,-0.2237633,-0.2277335,-0.2260223,0.5625739,0.1189563,-0.4174003,0.1469524,24.11862,172.5432,
68.059,-0.003597992,-0.002082226,-0.005316989,-0.00726642,-0.03660742,-0.006563386,0.2842631,0.8261162,-0.5317537,356.233,359.3549,0.530094,0.005528773,-0.01353177,-0.01888281,-0.01761922,-0.05001491,-0.09667064,0.02300016,0.1203872,-0.4319371,11.66253,357.8047,178.1893,0.01002034,0.03715086,0.03012126,-0.1996637,-0.2420897,-0.1940248,0.5626086,0.1196337,-0.4173254,0.04911761,23.89263,172.6588,
81.68,-0.004776272,-0.001424834,-0.005130619,-2.428517e-05,-0.02278532,-0.009208449,0.2841597,0.8261241,-0.531808,356.2214,359.3503,0.5380941,0.00749195,-0.01043262,-0.01499943,-0.01468107,-0.0005682474,-0.05344763,0.02294163,0.1204026,-0.4315479,11.65691,357.8516,178.1761,0.009743827,0.03412068,0.02796258,-0.1891126,-0.1930158,-0.127084,0.5632275,0.1195761,-0.4166368,359.921,23.80603,172.6565,
95.851,-0.006037422,-0.00120968,-0.00509834,-0.001382963,-0.01090682,-0.008716009,0.2840353,0.8261218,-0.5318676,356.2318,359.3463,0.544087,0.006281354,-0.006524662,-0.008944649,-0.04888207,0.01587713,-0.01353558,0.02305167,0.1203312,-0.4318846,11.61287,357.8703,178.1686,0.008637489,0.02415556,0.02477773,-0.1345565,-0.08396156,0.01546235,0.562489,0.1194633,-0.4170339,359.9308,23.92447,172.4093,
109.985,-0.007364525,-0.001468282,-0.005134531,-0.006081396,0.002338969,-0.005303179,0.2838944,0.826108,-0.5319317,356.2445,359.3222,0.541593,0.006273614,-0.004694212,-0.005086988,-0.05003213,0.02600496,-0.001228733,0.02315274,0.1203497,-0.4319392,11.58816,357.8955,178.17,0.005677525,0.01074569,0.01947475,-0.06918014,0.04462148,0.1942828,0.5622025,0.1193181,-0.4169559,359.9435,24.11659,171.9836,
123.34,-0.008357351,-0.002130799,-0.005106732,-0.01561282,0.01398491,-0.01372594,0.2837518,0.8260747,-0.5319945,356.2829,359.2754,0.5705285,0.006928454,-0.002446174,-0.001754139,-0.05205247,0.03195009,-0.01004841,0.02324104,0.1204031,-0.4317574,11.54654,357.9225,178.1848,0.003767092,-0.004801793,0.004338347,0.01206902,0.280994,0.3978301,0.5620345,0.1189637,-0.4167932,359.9904,24.72043,171.2128,
