time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.322,-0.007181665,0.0004349598,-0.005345232,0.001968224,-0.05612244,-0.0005075377,0.1830367,0.07614619,-0.06612605,3.965896,356.687,356.4448,0.003102433,0.01229355,0.03174195,0.02839979,0.05704834,0.03752893,-0.1154648,-0.701494,-0.1263438,30.61529,34.26942,157.9083,-0.09758595,0.02132023,0.04734402,0.1813867,-0.5952001,-0.1871506,0.4991846,-0.7135257,-0.04071109,22.30004,335.1002,198.8079,
13.083,-0.008284939,0.001521777,-0.006067898,0.006768477,-0.06188186,-0.001689172,0.1828924,0.07620919,-0.06621385,3.955365,356.7403,356.4445,0.002643496,0.01118331,0.029259,0.007998491,0.05047337,0.02489986,-0.1155156,-0.7015952,-0.126084,30.58666,34.28406,157.9124,-0.1219547,0.02360476,0.05985522,0.1518602,-0.7967859,-0.3146751,0.497795,-0.7134338,-0.03969662,21.87508,334.2272,199.1017,
26.385,-0.008968964,0.002694504,-0.006835096,0.01481444,-0.06115739,-0.004814151,0.182753,0.07627636,-0.06632695,3.924854,356.7846,356.4559,0.001984068,0.01052845,0.02744087,-0.01117286,0.04844711,0.02292044,-0.1155866,-0.7017077,-0.1258115,30.54771,34.29361,157.9051,-0.1276736,0.02596322,0.0558365,0.06679234,-0.8082173,-0.3645767,0.4967186,-0.7134119,-0.03953081,21.44348,333.7144,199.3765,
40.022,-0.01011114,0.004062734,-0.007290063,0.02826435,-0.06093557,-0.008358889,0.1825843,0.07636678,-0.06643698,3.873884,356.8267,356.4806,0.0004380161,0.009910802,0.02432362,-0.0169576,0.02509065,0.0104866,-0.1156972,-0.7018846,-0.1256795,30.53516,34.28524,157.9085,-0.1061788,0.0190528,0.0343219,0.05829594,-0.5297275,-0.2889976,0.4962682,-0.7133248,-0.04032227,21.46657,333.7673,199.5038,
54.333,-0.01122531,0.00535414,-0.008160445,0.03814534,-0.05299994,-0.01034203,0.1823996,0.07647949,-0.06656921,3.832323,356.8568,356.4834,-0.000547405,0.009540316,0.02159481,-0.02127445,0.01180778,0.0004404448,-0.1157823,-0.7020804,-0.1254854,30.51574,34.28134,157.914,-0.06625315,0.00919205,0.009687677,0.006081565,-0.05612355,-0.08757978,0.4959744,-0.7133536,-0.0407506,21.7666,334.4723,199.3671,
68.198,-0.01294563,0.005981796,-0.00869614,0.0445882,-0.0489737,-0.005695641,0.1821708,0.07658982,-0.0666979,3.779215,356.8907,356.4786,-0.001424957,0.009735154,0.01860281,-0.0352571,0.003203694,-0.007902602,-0.1159322,-0.7022445,-0.1253801,30.48003,34.26847,157.9279,-0.03538235,0.003187283,-0.00888852,-0.01143373,0.2172219,-0.01593528,0.4952661,-0.7131228,-0.04157547,22.0173,335.1389,199.3745,
81.57,-0.01445953,0.005986076,-0.009439096,0.04156059,-0.04194506,0.0002208858,0.1819275,0.07668263,-0.06684414,3.764007,356.9033,356.4714,-0.002167464,0.0100736,0.01558292,-0.03150878,-0.01341784,-0.01666438,-0.1160044,-0.7023395,-0.1252408,30.47011,34.24858,157.9424,-0.02294507,0.00656228,-0.01791902,0.1555081,0.1524312,-0.2782304,0.4960174,-0.7120895,-0.04232226,22.34493,335.0922,200.1145,
95.746,-0.01565187,0.005298886,-0.009989562,0.03566607,-0.03423981,0.003683723,0.1816782,0.0767315,-0.06701294,3.745975,356.9144,356.4631,-0.0005158682,0.01060555,0.01390929,-0.04375635,0.006973205,-0.01869947,-0.1160353,-0.7025858,-0.1249805,30.43111,34.24165,157.964,-0.0305102,0.02767083,-0.02308559,-0.0555672,0.0660211,-0.1997296,0.4947854,-0.7125009,-0.04239037,21.96696,335.1818,200.1701,
109.847,-0.01692625,0.003851155,-0.009996886,0.03154331,-0.03085208,0.005738124,0.1813677,0.07669806,-0.06716311,3.725298,356.9379,356.4548,0.0001831147,0.009520898,0.01020414,-0.02319521,-6.277044E-05,-0.01348453,-0.1161186,-0.7027073,-0.1249665,30.41812,34.23476,157.9705,-0.01505377,0.02931868,-0.01197743,-0.4053254,0.3165619,0.09666282,0.4944766,-0.7122803,-0.04284219,21.48788,336.1071,199.6958,
123.405,-0.01797118,0.002794735,-0.01016487,0.02077739,-0.02982807,0.006645161,0.1810793,0.07668936,-0.0673027,3.720563,356.9638,356.452,0.002172578,0.008572346,0.00928014,-0.03098602,0.01547357,-0.01696575,-0.1161382,-0.7028474,-0.1248617,30.38247,34.24106,157.9899,-0.005667943,0.01905773,-0.001142357,-0.5638777,0.5087456,0.368288,0.4936527,-0.7128214,-0.04268859,21.17606,336.9995,199.0499,
137.546,-0.01929348,0.00193761,-0.009534305,0.0157254,-0.03575904,0.006346237,0.1807916,0.07675278,-0.06737882,3.714369,356.998,356.4413,0.004371247,0.006569944,0.008712014,-0.03482369,0.05569183,-0.0049583,-0.1162616,-0.7030956,-0.1248847,30.32471,34.27681,158.0092,-0.007208292,-0.0008590864,0.002506249,-0.4527691,0.4731219,0.4548648,0.4932807,-0.7135574,-0.04212721,21.18421,337.2896,198.5648,
