time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
2.358,-0.001930389,-0.0009613283,0.003190805,-0.01439156,-0.02086909,0.001116586,-0.01641175,0.1585996,-0.6029027,358.6852,2.4459,357.4779,0.0004580279,-0.0001417016,0.002176025,-0.002198804,-0.03325328,-0.05351501,-0.3393761,-0.6338448,-0.5640197,25.21582,11.31234,169.0755,-0.0004893767,-6.793241e-05,-6.383558e-05,0.03084356,0.0127273,0.07883602,0.1878194,-0.6293689,-0.6321398,18.89982,20.48136,184.5908
36.331,-0.004989604,-0.0003977829,0.003903836,-0.004033919,-0.0012782,0.002653264,-0.01668517,0.1585911,-0.602709,358.6964,2.438336,357.4767,-0.0001025231,0.004736797,0.01319785,-0.00659174,0.02954464,0.03844079,-0.3393712,-0.6338007,-0.5635895,25.19007,11.28533,169.1482,0.001326578,0.003461677,0.002331321,-0.05728731,0.03425048,0.07710998,0.1877547,-0.629284,-0.6320686,18.86424,20.56007,184.2997
42.495,-0.005300384,-0.0002327117,0.003894861,-0.0050613,0.000850204,0.000479213,-0.01683065,0.1585937,-0.6026049,358.7063,2.433249,357.4766,0.0001690959,0.005335465,0.01373634,0.001560169,0.03454289,0.0492691,-0.3393929,-0.6336392,-0.5634595,25.1819,11.31932,169.1123,0.00172281,0.003779098,0.002548958,-0.07413597,0.03422604,0.05346857,0.187752,-0.6292837,-0.632058,18.8052,20.58134,184.2829
55.279,-0.0056897,-0.0001216404,0.004281231,0.001128432,0.00428384,-0.007623927,-0.0169105,0.1586052,-0.6025324,358.6867,2.417619,357.5063,0.001294244,0.006487502,0.01433362,0.007647607,0.0312035,0.03912596,-0.339356,-0.6335388,-0.56332,25.18283,11.34129,169.0999,0.002226234,0.003409276,0.002319214,-0.080508,0.03431453,0.01388265,0.1877516,-0.6292905,-0.6320388,18.75303,20.60161,184.3104
72.837,-0.005973112,0.0002812423,0.005164725,0.003686727,0.01178201,-0.02745887,-0.01699824,0.1586271,-0.6024255,358.6729,2.381809,357.6062,0.003000735,0.007936888,0.01572973,-0.01449126,0.01203019,-0.006871303,-0.3392975,-0.6335468,-0.5629931,25.15115,11.33238,169.136,0.005064749,0.004310808,0.002982946,-0.1157888,0.07892059,-0.01062018,0.1877576,-0.6293148,-0.6320035,18.56358,20.73298,184.3772
88.58,-0.006478213,-8.09041e-05,0.006266065,0.006964297,0.01257562,-0.02772608,-0.01711468,0.1586039,-0.6022934,358.6519,2.361169,357.6064,0.003497485,0.009530947,0.01818415,-0.05921327,0.01561384,-0.02214338,-0.3392245,-0.6332235,-0.5628576,25.04376,11.33087,169.184,0.006978665,0.00936193,0.006147305,-0.2668242,0.07509758,-0.08796264,0.1877736,-0.629362,-0.6319539,17.84164,20.90127,184.6799
104.394,-0.006136928,-0.0002247719,0.006590752,-0.003761026,0.01303702,-0.01199818,-0.01717313,0.1585934,-0.602194,358.6877,2.358933,357.5768,0.0003533693,0.01198481,0.01877669,-0.05207387,-0.008963436,-0.02253218,-0.3392693,-0.6331068,-0.562377,25.00751,11.29203,169.197,0.005237725,0.001479774,0.001112735,-0.08622373,0.06328714,-0.1158058,0.1877991,-0.6294188,-0.6319209,18.32233,20.89526,184.699
119.701,-0.005513427,-0.0001668017,0.006624987,-0.01939925,0.01041072,-0.002212158,-0.01719678,0.1585951,-0.6021075,358.7596,2.363629,357.5402,-0.002123376,0.01594141,0.02258417,-0.09140118,-0.02109898,-0.02515061,-0.3392813,-0.6330475,-0.5615603,24.87482,11.21467,169.2118,-0.009072956,0.000299853,-0.0001685453,-0.02268578,-0.2003258,-0.08964488,0.1878171,-0.6294401,-0.6319475,18.37085,20.32406,184.5874
134.713,-0.005333325,-0.0001173351,0.00649325,-0.0224403,0.01073177,0.0001123026,-0.01724403,0.1585933,-0.6020281,358.7728,2.344333,357.5631,-0.001461088,0.01865024,0.02545017,-0.1028949,-0.03811679,-0.05431949,-0.3391488,-0.6327385,-0.5610213,24.77133,11.112,169.279,-0.008336196,-0.004668009,-0.003435708,0.01737512,-0.2289347,-0.3172832,0.1878549,-0.6294708,-0.6320372,18.46246,19.84044,185.3338
149.882,-0.005122987,-0.0002645559,0.006379246,-0.01795735,0.01762919,-0.0058797,-0.01729714,0.1585751,-0.6019477,358.7725,2.310485,357.5759,0.00217953,0.02129357,0.02858495,-0.1307736,-0.02545371,-0.0834274,-0.3389459,-0.6322286,-0.5607132,24.592,11.05941,169.4206,-0.005269644,-0.001819332,-0.001427034,-0.04873584,-0.1769543,-0.2992469,0.1879199,-0.6295394,-0.6321471,18.2661,19.81124,185.5397
