time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.316,-0.001722145,0.0002435323,-0.005167751,-0.009414562,-0.008271475,-0.007269269,0.3049332,0.822726,-0.5309089,357.8106,7.712328,359.8422,0.003528852,-0.005928248,0.001697116,-0.004095657,0.006926123,-0.00802069,0.0216998,0.1178039,-0.4458366,8.52056,358.387,177.8124,0.02042677,0.02703663,0.02674394,-0.1767079,-0.1733713,-0.1771659,0.5925999,0.1165998,-0.4342322,353.6396,29.48136,168.7635,
13.164,-0.002524992,0.0005996692,-0.004509729,-0.0008765237,-0.01385625,-0.01233908,0.304879,0.8227426,-0.5309479,357.793,7.732087,359.8571,0.002372561,-0.006657188,0.001657631,-0.0005894883,0.003843157,-0.01040862,0.02171825,0.1177528,-0.4458393,8.519195,358.3907,177.822,0.02312132,0.02939453,0.0267965,-0.171176,-0.1435421,-0.1608307,0.5929444,0.1163187,-0.4335108,353.5257,29.41258,168.8848,
26.703,-0.003039561,0.001335389,-0.004196293,0.001848454,-0.008925289,-0.01897643,0.3048211,0.8227763,-0.5309837,357.7748,7.729905,359.8771,0.001713632,-0.007778225,0.001697606,0.006074018,0.01007937,-0.0009898879,0.02174225,0.117674,-0.4458174,8.521957,358.3988,177.8251,0.02412269,0.02678274,0.02899733,-0.1700445,-0.1309689,-0.1350271,0.593263,0.1166252,-0.4331361,353.3954,29.31969,168.9643,
40.425,-0.004072256,0.001984344,-0.00370476,0.01003883,-0.004694657,-0.02144674,0.3047292,0.8228203,-0.5310131,357.7518,7.721563,359.8958,0.001043284,-0.008316565,0.001789261,0.006732246,0.0123265,0.000906722,0.02176016,0.1175722,-0.4457946,8.526255,358.4119,177.8262,0.02631477,0.02375173,0.02646355,-0.1446127,-0.08015279,-0.1027443,0.5935158,0.1169068,-0.4329357,353.324,29.33626,168.984,
54.406,-0.004837006,0.002596093,-0.003463825,0.008887746,0.001398271,-0.02607652,0.304607,0.8228868,-0.5310746,357.747,7.710441,359.9231,0.001735258,-0.008942288,0.0009370114,0.01757643,0.02139884,0.003077939,0.02177394,0.1174794,-0.4457504,8.538007,358.4293,177.8253,0.02719153,0.02152217,0.02179548,-0.1053682,-0.05216468,-0.08648333,0.5937767,0.1174565,-0.432925,353.3154,29.35349,169.0106,
68.221,-0.005641578,0.002998614,-0.003141639,0.01009454,0.007851011,-0.02582123,0.304474,0.8229514,-0.5311288,357.7247,7.692177,359.9384,0.0003651203,-0.008968935,0.001017959,-0.003083356,-0.001495701,-0.0031938,0.02179537,0.1173854,-0.4457646,8.538259,358.4282,177.8267,0.02960372,0.0241601,0.01689268,-0.1117084,-0.02915474,-0.1242249,0.5946254,0.1175329,-0.4325535,353.2017,29.37,169.1808,
81.898,-0.006386233,0.003186102,-0.002616798,0.01212873,0.01241208,-0.02230428,0.3043548,0.8229889,-0.5311396,357.7104,7.669673,359.9452,0.001118965,-0.01071096,-0.001609215,0.03795469,-0.004714117,-0.02351284,0.02184028,0.1172913,-0.4457554,8.570516,358.4243,177.847,0.02807211,0.01961023,0.01239534,-0.05784223,-0.005732939,-0.0945632,0.5941154,0.1175594,-0.4329849,353.2773,29.41333,169.1586,
95.975,-0.006667505,0.003231617,-0.002246873,0.01182768,0.01689639,-0.01929202,0.3042513,0.8230165,-0.5311393,357.6947,7.652737,359.9497,0.001103604,-0.009645812,0.0002306857,-0.003717447,0.005330113,-0.001478114,0.02185636,0.1171781,-0.4457692,8.564677,358.4265,177.8478,0.02300774,0.009808353,0.009206291,-0.0005085408,0.003762303,-0.02499576,0.5944702,0.117523,-0.4326753,353.3498,29.43043,169.0669,
110.197,-0.007184567,0.002839098,-0.001413766,0.01326675,0.01226782,-0.009317491,0.3041345,0.8230377,-0.5311369,357.6886,7.658493,359.9337,0.0009167435,-0.01211994,-0.001378623,0.0350837,-0.01383295,-0.03320714,0.0219322,0.1170602,-0.4458262,8.600544,358.4152,177.8764,0.02061388,-0.00111089,0.0081315,0.01417954,0.04762372,0.04458392,0.5945849,0.1172899,-0.432652,353.3674,29.49349,168.9751,
124.09,-0.007116954,0.002641887,-0.001105235,0.01095791,0.01112953,-0.009728855,0.3040362,0.8230717,-0.531166,357.6816,7.645335,359.9453,0.002125255,-0.01096015,1.51897E-05,0.0002115274,0.01881576,0.009901709,0.02193005,0.1169288,-0.4457633,8.59241,358.4334,177.8645,0.01430365,-0.01435589,0.009325529,0.06137705,-0.02197281,0.05157878,0.5948442,0.11722,-0.4324875,353.4565,29.43952,168.9344,
