,time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.323,-0.004699525,-0.003920208,0.001724335,-0.03519915,-0.03423756,0.00217137,0.3030832,0.8278971,-0.5449429,354.5573,359.7805,359.7173,-0.0118613,0.00416171,0.01312663,-0.07362342,-0.04970157,-0.05277758,0.03791086,0.1404521,-0.4018946,4.970908,359.8256,178.6471,0.03421584,0.06176917,0.03274893,-0.2520631,-0.08972695,-0.135748,0.5776128,0.1202222,-0.4202522,355.0276,26.25233,168.4548,
12.808,-0.00565574,-0.004537995,0.000882569,-0.03929983,-0.03417787,-0.003378598,0.3029685,0.827814,-0.54494,354.5899,359.807,359.7345,-0.01062655,0.003056205,0.01536117,-0.06118286,-0.02993601,-0.03008562,0.03788398,0.140617,-0.4016729,4.933813,359.8139,178.6554,0.03644881,0.05161069,0.02816493,-0.1793683,-0.005314712,-0.04904163,0.5778711,0.1208863,-0.419935,354.9884,26.37733,168.3251,
26.188,-0.006542042,-0.004513136,0.0002193272,-0.03696864,-0.03344855,-0.01107859,0.3028441,0.8277493,-0.5449437,354.6112,359.8263,359.7525,-0.009197083,0.002520161,0.01712751,-0.05738058,-0.00885297,-0.008544751,0.03784132,0.1407321,-0.4014405,4.893073,359.8182,178.6523,0.03884033,0.04356644,0.02291116,-0.1263913,0.07898341,0.009383851,0.578221,0.1215181,-0.4196291,354.9517,26.57543,168.18,
40.155,-0.007534591,-0.003909544,-0.0005513171,-0.03144321,-0.03272427,-0.01870167,0.3027058,0.8277203,-0.5449538,354.6256,359.8481,359.7877,-0.008065881,0.00168186,0.01710013,-0.03943546,-0.007256665,-0.006662493,0.03783251,0.1408827,-0.4012349,4.870022,359.8134,178.6542,0.03903,0.0372012,0.01985435,-0.07465467,0.110871,0.03412523,0.5784914,0.1222293,-0.4195316,354.9561,26.7158,168.086,
54.072,-0.008325015,-0.003143874,-0.00158744,-0.0270318,-0.03054335,-0.02447108,0.3025622,0.8277106,-0.5449818,354.6471,359.8624,359.8209,-0.006870029,0.001584744,0.01684892,-0.0363425,-0.01060834,-0.01325841,0.03780746,0.1409791,-0.400987,4.837283,359.8023,178.6622,0.03805457,0.03618143,0.01815847,-0.06816752,0.1049473,0.009732707,0.5791273,0.1225855,-0.4190281,354.9048,26.78818,168.1039,
67.655,-0.009007121,-0.002319397,-0.002582821,-0.01961953,-0.0313864,-0.02305519,0.3024138,0.8277169,-0.5450284,354.6479,359.8816,359.8317,-0.005585974,0.0008517507,0.01646121,-0.03443803,-0.01849506,-0.0236514,0.0378252,0.1410788,-0.400843,4.794699,359.7834,178.6793,0.03590242,0.03416293,0.01650466,-0.05529473,0.08900822,-0.01206621,0.5789797,0.1229853,-0.4192961,354.8829,26.82402,168.1433,
81.698,-0.009129754,-0.001105266,-0.003547734,-0.01324845,-0.02909012,-0.02226583,0.3022793,0.8277542,-0.5450976,354.6423,359.903,359.8513,-0.004969185,0.0004166896,0.01576087,-0.03677738,-0.03126517,-0.04603983,0.03780986,0.1411429,-0.4005756,4.751883,359.7575,178.7155,0.03291952,0.0301432,0.01520547,-0.04233776,0.07472859,0.0006596707,0.5791328,0.1231487,-0.4191583,354.876,26.83502,168.1237,
95.685,-0.009167274,0.0001131769,-0.004352257,-0.003519887,-0.03250114,-0.0290206,0.3021476,0.8278092,-0.545174,354.637,359.9274,359.8893,-0.004674355,0.002969847,0.01745701,-0.09182204,-0.04848072,-0.06566081,0.03769735,0.1409999,-0.399975,4.620608,359.688,178.7966,0.03172917,0.0231032,0.01450769,-0.05977045,0.07799289,0.02012824,0.5796325,0.1229435,-0.4188004,354.8071,26.87524,168.0759,
109.527,-0.009438988,0.0009363952,-0.005086993,0.006050135,-0.02914205,-0.02837634,0.3020161,0.8278485,-0.545259,354.6053,359.9359,359.9077,-0.004307812,0.003454693,0.0168442,-0.07609273,-0.08415248,-0.1122082,0.03798213,0.1413372,-0.4002512,4.562141,359.5715,178.9385,0.02938384,0.01169005,0.009472091,-0.005400931,0.07791714,0.05794448,0.5797434,0.1232368,-0.4188313,354.8647,26.91743,167.9914,
123.195,-0.009694051,0.001668891,-0.005666738,0.01554728,-0.01640638,-0.02412304,0.301883,0.8278957,-0.5453469,354.587,359.9144,359.9173,-0.001793541,0.009752225,0.019641,-0.121289,-0.07281778,-0.1074135,0.03788838,0.141556,-0.3988683,4.393283,359.5068,179.0364,0.02893925,0.001653986,0.004016338,0.03820961,0.1239402,0.1028598,0.5801982,0.1231739,-0.4187637,354.9104,27.0933,167.8116,
