,time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.335,0.002953888,0.004536167,0.0140853,0.04903107,0.002904312,-0.0005586523,0.3865475,0.8294291,-0.7866973,355.394,358.9772,359.6847,0.004926185,-0.002936318,0.01948282,0.002516581,-0.06023933,-0.03830217,0.154129,0.08407926,-0.8287299,23.47527,44.66608,167.373,-0.01911486,0.0324165,0.01272527,0.4061381,-0.03585956,-0.3680786,0.7730487,0.1600906,-0.746795,13.87809,354.905,212.3961,
11.969,0.002752377,0.004485082,0.01586428,0.04502827,0.00876637,-0.004970811,0.3865849,0.8294939,-0.7864165,355.374,358.9637,359.7055,0.004190479,-0.00203108,0.02114508,-0.01839079,-0.06773702,-0.04764085,0.1541757,0.08405101,-0.8284352,23.48002,44.60374,167.4128,-0.02204661,0.03436982,0.01452959,0.4413615,-0.02967595,-0.3945885,0.7727402,0.1603665,-0.7459745,14.16223,354.7091,212.764,
24.879,0.002292316,0.004088438,0.01763771,0.03984015,0.01387228,-0.007158811,0.3866075,0.8295442,-0.7861096,355.3538,358.9451,359.7107,0.004188042,-0.000584154,0.02311553,-0.03462972,-0.06899804,-0.04394218,0.1542504,0.08407427,-0.8281231,23.47092,44.53807,167.4417,-0.03904481,0.02420103,0.03214291,0.6160032,-0.2389592,-0.4546731,0.772476,0.1605406,-0.7447363,14.43872,353.8373,213.1553,
39.014,0.001201937,0.003376646,0.02014781,0.03302019,0.01516808,0.0009383158,0.386562,0.8295473,-0.7856846,355.3338,358.9305,359.6859,0.006088441,0.001435376,0.02483407,-0.04079999,-0.03984649,-0.03704849,0.1543345,0.08406628,-0.827774,23.44666,44.52304,167.4666,-0.04599809,0.009779006,0.05337111,0.7259371,-0.3474651,-0.4789796,0.7723424,0.1605069,-0.7428,14.73065,353.059,213.5159,
53.413,0.0005960688,0.002725851,0.02208263,0.02622038,0.01859662,0.008678566,0.3865367,0.8295875,-0.7853267,355.325,358.918,359.6677,0.008318218,0.002761101,0.02561935,-0.02267092,0.0001759867,-0.02047381,0.1543796,0.08415528,-0.827543,23.44219,44.5516,167.4698,-0.05234293,-0.009049745,0.06876176,0.9103894,-0.3990818,-0.4647152,0.7725241,0.1601936,-0.7416716,15.2636,352.1436,213.8377,
66.422,-0.0001855958,0.001760485,0.0242415,0.01983268,0.01423898,0.007980128,0.3865287,0.8295447,-0.7849292,355.3138,358.9163,359.6769,0.01006141,0.0032716,0.0251456,0.03394622,0.03778601,0.006115216,0.1544971,0.08433113,-0.827094,23.47471,44.63162,167.4549,-0.04604244,-0.02245803,0.07701815,0.838564,-0.3728479,-0.3010344,0.772835,0.159331,-0.74024,15.57066,351.5998,213.7818,
80.475,-0.0007269355,0.0006332967,0.02642091,0.01586681,0.01341186,0.002489869,0.3864983,0.8295462,-0.7844651,355.3065,358.9006,359.68,0.013536,0.004314604,0.02718426,0.03501356,0.09710049,0.02174221,0.1548047,0.08421153,-0.8261459,23.44154,44.80069,167.4377,-0.02344331,-0.03839713,0.0743654,0.4990673,-0.2658024,0.01031351,0.7732294,0.1582767,-0.7403501,15.50854,351.6068,213.2288,
94.584,-0.001388181,3.225147e-05,0.02894885,0.02264952,0.01662078,-0.00418984,0.3864593,0.8295637,-0.7839854,355.2722,358.8761,359.6982,0.01288255,0.003622481,0.02678769,0.07526858,0.108223,0.03007742,0.1546134,0.08480404,-0.8261055,23.50143,44.9589,167.4093,-0.005134229,-0.03997818,0.07188267,0.06429717,-0.2614019,0.2463683,0.7731725,0.157554,-0.7392981,14.89622,351.767,212.5341,
108.533,-0.002408742,0.000513219,0.03184985,0.03405097,0.02425306,-0.01678306,0.3863705,0.8296288,-0.7834358,355.2252,358.8375,359.7359,0.01206112,0.003600452,0.0276131,0.07569624,0.1174986,0.02990531,0.1550286,0.08433392,-0.82494,23.50638,45.09115,167.3994,0.02581652,-0.0425918,0.05737344,-0.4993872,-0.2030784,0.5450397,0.774578,0.1556299,-0.7398118,13.80134,352.3238,211.5455,
122.544,-0.003594376,0.001669418,0.03468941,0.04598866,0.03231992,-0.01966348,0.3862416,0.8297004,-0.7828528,355.172,358.7983,359.7442,0.009328017,0.002887214,0.02799417,0.0691995,0.1029894,0.02174116,0.1545652,0.08497031,-0.8253328,23.5212,45.1516,167.4024,0.06398681,-0.03217458,0.02517978,-0.9342951,0.215943,0.8105623,0.7749327,0.1553879,-0.7403504,13.05147,353.7655,210.5707,
