time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.322,0.008673457,-1.14108e-05,-0.004225309,-0.01537965,-0.03090862,0.04622517,0.4513262,0.8342608,-0.3372226,351.4418,355.1649,359.4577,0.0004693405,0.005979955,0.008740559,0.1010801,0.1291653,0.02239387,0.2152044,0.07602578,-0.3821719,27.09652,41.87833,168.5976,-0.04735706,0.00674752,-0.009537229,0.08937979,-0.1334443,-0.1238094,0.7894289,0.1669704,-0.219261,18.83038,329.7635,220.1738
12.784,0.009383264,-0.00514692,-0.004092813,-0.07494289,-0.03481473,0.0122134,0.4514738,0.8340479,-0.3372826,351.5686,355.2121,359.5086,0.002250924,0.003867021,0.009026721,0.117437,0.1504915,0.0254682,0.2151539,0.0761589,-0.3818521,27.13815,42.09322,168.6086,-0.04394548,0.01374553,-0.005779416,0.06222582,-0.09879936,-0.1356053,0.7885456,0.1674792,-0.219402,18.79985,329.8109,220.2993
25.436,0.009524611,-0.006507548,-0.002631681,-0.09240699,-0.03603052,0.001337785,0.4516264,0.8339114,-0.3372884,351.6414,355.2346,359.5009,0.002756023,0.002979922,0.01018762,0.1179916,0.1591535,0.03013382,0.2150864,0.0762866,-0.3815727,27.16072,42.27231,168.6098,-0.04252604,0.01902123,-0.006189687,0.1092604,-0.07624751,-0.1717708,0.7881322,0.1681389,-0.219471,18.89481,329.7794,220.5376
39.408,0.00932089,-0.004693917,-0.0002503912,-0.04759161,-0.02370663,0.01624777,0.4517681,0.8338867,-0.3372318,351.5254,355.2347,359.4465,0.002642695,0.002850176,0.0120274,0.1098811,0.1605945,0.04650496,0.2150434,0.07624909,-0.3812111,27.16903,42.42431,168.5758,-0.0399124,0.02810071,-0.003847926,0.1226364,-0.08267733,-0.221707,0.7877619,0.1687661,-0.2195867,18.9022,329.7693,220.8387
53.151,0.009129559,-0.001480996,0.001503356,0.01602373,-0.01344687,0.03523028,0.4518791,0.8339575,-0.337166,351.3934,355.2475,359.4094,0.001555374,0.002554888,0.01123382,0.1253093,0.138753,0.04978637,0.2148868,0.07661392,-0.3813098,27.23512,42.53479,168.5484,-0.03671455,0.03092879,-0.0009794449,0.1079721,-0.08696806,-0.2185134,0.7872798,0.1690269,-0.2190459,18.8787,329.7535,221.032
67.248,0.008786407,-6.647647e-05,0.002621447,0.03272296,-0.007686064,0.05015021,0.4519781,0.8340021,-0.3371043,351.3729,355.2606,359.3524,0.001725283,0.002608365,0.01170898,0.1037807,0.1268824,0.04871194,0.2150737,0.0762186,-0.3806626,27.23697,42.60681,168.5325,-0.0318297,0.02976876,0.005619575,0.02487197,-0.1178832,-0.1816184,0.7872934,0.1689782,-0.2192783,18.68348,329.769,221.1062
80.909,0.00880874,-0.00138938,0.003737427,0.01139986,-0.003836987,0.04833127,0.4520995,0.8339466,-0.3370251,351.4361,355.2682,359.3219,0.0005169297,0.00191868,0.01252227,0.07557084,0.1001854,0.04413347,0.2147757,0.07663631,-0.3810006,27.23497,42.62333,168.5177,-0.01763391,0.01814086,0.008290283,-0.07676644,-0.03615404,-0.07922545,0.7876562,0.1686925,-0.2191427,18.66542,329.8954,220.8985
94.698,0.009241459,-0.002820803,0.004917232,-0.01081318,0.0002829881,0.02811513,0.4522484,0.8338646,-0.3369264,351.4691,355.2538,359.3374,-0.001689951,0.00168613,0.01130241,0.06471996,0.05920442,0.02682957,0.2149513,0.07643384,-0.3805419,27.25626,42.6238,168.5189,-6.916095e-05,0.005706238,0.01692246,-0.323582,-0.00137069,0.09328954,0.7878646,0.1677956,-0.218531,18.17269,330.2513,220.4687
109.188,0.009482535,-0.002009469,0.006502617,0.001339848,0.007662161,0.02121742,0.4523918,0.8338555,-0.3367877,351.4094,355.2467,359.3237,-0.005200278,0.003624209,0.009808536,0.03245426,-0.00186252,0.005666689,0.2148418,0.07663662,-0.3805933,27.25026,42.59357,168.5227,0.02437918,-0.006266895,0.01984132,-0.5955353,0.09980446,0.2528528,0.7887027,0.1672906,-0.2194834,17.68394,330.828,219.8419
122.743,0.008820961,0.0003744967,0.005952637,0.04004854,0.01197162,0.05772338,0.452485,0.8339335,-0.3367237,351.2744,355.2707,359.2006,-0.007689892,0.006164088,0.01052916,-0.0310122,-0.04309163,-0.01037363,0.2147872,0.07667187,-0.3803744,27.23478,42.53419,168.5245,0.04214427,-0.009033775,0.01929738,-0.833403,0.1321086,0.3772209,0.7890439,0.166408,-0.2186876,16.9994,331.408,219.1739
