time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.325,-0.120865,0.005727938,0.01724695,-0.2257631,0.1511601,-0.06356115,-0.4185373,0.1379632,0.3079917,350.9483,0.06967478,0.2214272,0.002485503,0.3439033,-0.04582069,0.5307516,0.3605093,-0.3066716,-0.5160122,-0.4759876,0.3945107,10.22566,29.02275,41.0951,0.08405861,-0.2959916,-0.132341,-0.7968798,0.02024369,-0.3323362,-0.3433155,-0.5743892,0.4088594,30.67132,325.8949,336.3087,
13.075,-0.1268566,0.01505996,0.01234453,-0.2362767,0.1450585,-0.05815036,-0.4204443,0.1385291,0.3080649,351.1406,359.9616,0.235409,-0.0405773,0.3391092,-0.03854271,0.2526024,0.42841,-0.396432,-0.5176374,-0.4717103,0.3939676,9.737802,28.81571,41.50892,0.1065531,-0.2880896,-0.1191032,-0.6600227,0.01593394,-0.746417,-0.3421607,-0.576695,0.4073043,31.71935,326.8782,336.6384,
26.645,-0.1313275,0.02350249,0.008539089,-0.219134,0.1399313,-0.06427982,-0.4223495,0.1390385,0.3081173,351.2745,359.8363,0.2888441,-0.05828464,0.3406007,-0.03857523,0.09108651,0.425635,-0.5777138,-0.5189182,-0.4676198,0.3933178,9.103365,28.8872,42.06202,0.1186062,-0.2650129,-0.1169141,-0.4485948,0.0352199,-0.9593672,-0.3411626,-0.5787306,0.405318,32.50247,327.8728,337.2689,
40.357,-0.1361193,0.02969884,0.006084163,-0.1936153,0.1458232,-0.05801694,-0.4243672,0.1394261,0.3081859,351.38,359.7045,0.2919342,-0.07017934,0.3398411,-0.0414294,-0.0295315,0.3543501,-0.7785411,-0.5203889,-0.463748,0.3926749,8.437699,29.17196,42.79818,0.1127425,-0.2394148,-0.1304732,-0.352003,0.2225813,-0.9521674,-0.3404433,-0.5806147,0.4033623,33.32219,328.2331,337.7455,
54.174,-0.1421957,0.03274399,0.002828051,-0.1941539,0.1596478,-0.02196143,-0.4265099,0.1398323,0.3080758,351.5583,359.5674,0.2006765,-0.07875928,0.3336043,-0.04307513,-0.03689606,0.2797951,-0.799903,-0.5217639,-0.4599072,0.3921642,7.928979,29.42903,43.23259,0.1014379,-0.2227064,-0.1491542,-0.4141955,0.3248305,-0.8640572,-0.339368,-0.5826457,0.4009159,34.12817,328.2692,337.7467,
67.722,-0.1487254,0.03293355,-0.001203111,-0.2142203,0.1685335,0.02203497,-0.4287969,0.1402426,0.3078538,351.7818,359.4567,0.08389127,-0.08302802,0.3243107,-0.04039721,0.09218484,0.1908167,-0.6115999,-0.5230364,-0.455776,0.3920499,7.700518,29.6402,43.11785,0.09484451,-0.2234442,-0.168154,-0.5757678,0.3784446,-0.8607578,-0.3389765,-0.5854836,0.3989438,35.16706,328.3381,337.5123,
81.874,-0.156375,0.02965771,-0.007420804,-0.2351178,0.1629009,0.04897538,-0.4311875,0.1404232,0.3075336,351.9934,359.3676,0.009787372,-0.0913438,0.3205194,-0.03718094,0.2620649,0.2013552,-0.3997285,-0.5249937,-0.4517058,0.3910572,7.437722,29.69343,42.66618,0.08688468,-0.2454333,-0.1932164,-0.8591409,0.4598594,-0.8722222,-0.3379391,-0.5886595,0.3957943,36.52008,328.1866,336.907,
95.834,-0.163065,0.02281728,-0.0140313,-0.251924,0.1492119,0.04481994,-0.4336178,0.1403648,0.3071688,352.2158,359.283,359.9821,-0.0982755,0.3186795,-0.03507056,0.3880668,0.2004876,-0.3360162,-0.5263871,-0.4476902,0.3913632,7.046878,29.86842,42.3017,0.07614011,-0.2758391,-0.2241457,-1.173074,0.5875062,-0.8126714,-0.337621,-0.5923301,0.3931287,38.04052,327.6239,335.9609,
109.829,-0.168827,0.0141327,-0.02021741,-0.2789908,0.1379715,0.02945645,-0.436115,0.1402122,0.3066353,352.4957,359.1912,359.9716,-0.1060555,0.3172649,-0.03306742,0.4317173,0.2102828,-0.4020752,-0.5288631,-0.4442551,0.3903055,6.491555,30.11399,42.17598,0.06238142,-0.2855943,-0.2569699,-1.396571,0.5385513,-0.5567868,-0.3362174,-0.5951265,0.3888876,39.04723,326.6289,334.5069,
123.697,-0.1747523,0.0009742938,-0.02784663,-0.3015496,0.1300008,0.008613296,-0.4386494,0.1397304,0.3060492,352.7651,359.094,359.9778,-0.1142332,0.3150286,-0.03066488,0.4168772,0.2236426,-0.5498787,-0.5305323,-0.4407872,0.3907054,5.782264,30.4281,42.27642,0.04851727,-0.2873247,-0.2882648,-1.607261,0.3697199,-0.1907146,-0.3355132,-0.5992279,0.3854637,39.59052,325.1423,332.4254,
137.528,-0.1803169,-0.01251953,-0.03411849,-0.3385637,0.1207571,0.006441828,-0.441307,0.1391258,0.3054695,353.0995,359.0212,359.9408,-0.1198632,0.3085071,-0.0249307,0.4020776,0.1874293,-0.6468875,-0.5329312,-0.4375636,0.3903778,5.149259,30.81181,42.39976,0.04399983,-0.2966758,-0.3093503,-1.718362,0.2466466,0.09164968,-0.3338454,-0.6034037,0.3814372,39.95403,323.5659,330.3257,
151.172,-0.1855155,-0.02495091,-0.03906479,-0.4091072,0.1079418,0.01590606,-0.4440429,0.1385987,0.3048584,353.5757,358.9744,359.8799,-0.1255747,0.3025712,-0.01946119,0.3914801,0.1921996,-0.7273211,-0.5352009,-0.4344462,0.3902817,4.429757,31.14753,42.52311,0.05674964,-0.3201443,-0.3190708,-1.608229,0.1248717,0.195488,-0.3321095,-0.6087539,0.3773967,40.13243,322.5269,328.8075,
165.272,-0.1903482,-0.03198476,-0.04163542,-0.478911,0.0952806,0.03033179,-0.4468307,0.1382981,0.3042582,354.0654,358.937,359.8062,-0.1282497,0.287459,-0.01193096,0.4145376,0.1460706,-0.8023791,-0.537235,-0.4317584,0.3908122,3.724659,31.63373,42.63015,0.08755184,-0.3759706,-0.3268983,-1.445575,0.2136645,-0.00281731,-0.3300581,-0.6152677,0.3734148,40.89977,322.099,327.9883,
179.218,-0.1952514,-0.03422385,-0.04236126,-0.4494402,0.08072013,0.03838881,-0.4497033,0.137888,0.303661,354.2832,358.9068,359.7578,-0.1290659,0.2662418,-0.004753555,0.4536993,0.1026831,-0.824129,-0.5394969,-0.4295684,0.3911346,3.074281,32.135,42.64006,0.135493,-0.448963,-0.3354149,-1.306762,0.5190251,-0.4546446,-0.3274181,-0.6219669,0.3693165,42.52615,322.3264,327.8604,
192.998,-0.2008859,-0.03543656,-0.04234975,-0.3085657,0.06610578,0.03453253,-0.4526474,0.1372125,0.3032206,354.2145,358.886,359.7434,-0.1275553,0.2336607,0.005614014,0.5252817,0.0231161,-0.7178836,-0.5414922,-0.4278023,0.3919486,2.700416,32.65726,42.42863,0.1792054,-0.5071775,-0.3452757,-1.225321,1.003099,-0.8651093,-0.3249466,-0.6280685,0.3657966,44.83875,322.7257,328.2334,
206.837,-0.2044612,-0.04064523,-0.04101316,-0.1705553,0.05099537,0.02428572,-0.4555014,0.1362182,0.3027502,354.1327,358.8624,359.7505,-0.1255322,0.1983555,0.01633919,0.587728,-0.05820962,-0.5540954,-0.5435671,-0.4264506,0.3927474,2.546467,33.14752,42.08085,0.2193634,-0.5292618,-0.3461301,-1.066539,1.374622,-1.124854,-0.3223314,-0.6341928,0.3618765,47.08421,323.479,329.1719,
220.735,-0.206053,-0.05202841,-0.04012071,-0.08291715,0.03100016,0.02033718,-0.4583868,0.1348893,0.3022501,354.0898,358.8842,359.7384,-0.1245143,0.1500339,0.03489934,0.6625764,-0.1396189,-0.2584382,-0.5455829,-0.4255038,0.3940634,2.77728,33.52599,41.45541,0.2494493,-0.5133816,-0.336646,-0.7431526,1.461342,-1.289871,-0.3195241,-0.6392643,0.357796,48.67569,324.9345,330.7473,
234.765,-0.2061165,-0.07429489,-0.03982637,-0.0267262,0.005469316,0.02563461,-0.4611907,0.1329369,0.3016256,354.0623,358.9272,359.7108,-0.1329867,0.1200599,0.04920557,0.7126269,-0.1234054,0.02013351,-0.54811,-0.4241967,0.3949487,3.045113,33.67192,40.68753,0.2625902,-0.4755894,-0.3255256,-0.4528944,1.317236,-1.307309,-0.3169354,-0.6438989,0.3537688,49.62415,326.4347,332.2127,
248.592,-0.2058177,-0.1023922,-0.04013216,-0.003227549,-0.01069967,0.04348526,-0.4640557,0.1305108,0.3010535,354.0356,358.9688,359.6335,-0.149042,0.1110235,0.0565596,0.7288074,-0.03427203,0.1147188,-0.550898,-0.422708,0.3958393,3.032828,33.74039,40.00829,0.2602944,-0.4249054,-0.3089059,-0.2275258,0.9328939,-1.218989,-0.3140656,-0.6481448,0.3496209,49.92282,327.7363,333.11,
262.741,-0.2057676,-0.1343889,-0.0396654,0.008342929,-0.01627019,0.06496062,-0.4669115,0.127759,0.3004738,354.024,358.9913,359.5528,-0.1686581,0.1148521,0.05593674,0.6681805,0.05244764,0.0165726,-0.5541202,-0.4213255,0.3964455,2.704811,33.85152,39.65682,0.2564953,-0.3846258,-0.2982314,-0.1026982,0.6518559,-1.056452,-0.3111049,-0.6521798,0.3459915,50.10174,328.5971,333.6753,
276.704,-0.2050557,-0.1660092,-0.03923953,0.01583323,-0.01417981,0.06490687,-0.4697165,0.1247016,0.299911,354.0002,359.006,359.5254,-0.1903289,0.125986,0.05057808,0.5953318,0.126219,-0.1343969,-0.5575799,-0.4197063,0.3970351,2.20958,33.9931,39.46762,0.2597247,-0.3440649,-0.273578,0.101662,0.453932,-0.9990767,-0.3082123,-0.6558424,0.3429302,50.10573,329.8813,334.6642,
290.308,-0.2021179,-0.1929611,-0.03903583,0.03937228,-0.01219988,0.04386297,-0.4723482,0.1213717,0.2993663,353.9148,359.0109,359.5372,-0.2175071,0.1446119,0.04091275,0.5909017,0.294614,-0.2686825,-0.5615506,-0.4179257,0.3970608,1.460621,33.97961,39.11462,0.2614117,-0.3108848,-0.2371279,0.3075545,0.3957028,-1.022841,-0.3057972,-0.6591426,0.3406098,50.16367,331.5432,336.1278,
304.38,-0.195745,-0.2187217,-0.03830428,0.07019381,-0.01867588,0.02498856,-0.4747569,0.1178584,0.2988862,353.8071,359.036,359.5534,-0.2449465,0.1626305,0.02463351,0.5899897,0.476766,-0.4801079,-0.5657209,-0.4163969,0.3967871,0.3777011,33.93688,38.81138,0.2532041,-0.2766328,-0.1933619,0.4690716,0.313298,-1.041647,-0.3035325,-0.6617721,0.3388726,50.08916,333.2442,337.5678,
318.414,-0.1865612,-0.2355278,-0.03728229,0.0708871,-0.0315573,0.01031494,-0.4769768,0.114427,0.2983979,353.7725,359.0799,359.5726,-0.2658131,0.169689,0.003942227,0.5286215,0.5578356,-0.7678475,-0.5699898,-0.4154809,0.3963088,359.0891,34.0292,38.8067,0.2417853,-0.2314606,-0.1495416,0.593942,0.1214448,-0.9995374,-0.3012795,-0.663597,0.3373708,49.71245,334.7403,338.6504,
332.245,-0.1755163,-0.2431993,-0.03545915,0.05668775,-0.04438419,-0.005094657,-0.4790075,0.1112071,0.2979831,353.7637,359.1328,359.61,-0.2799695,0.1559211,-0.01466467,0.4276507,0.5412403,-0.9819624,-0.574168,-0.415374,0.3958804,357.8776,34.18972,38.98774,0.2179687,-0.1880479,-0.1160559,0.5126888,-0.2621906,-0.8667935,-0.2994435,-0.6653136,0.3361229,49.17289,335.5075,338.54,
346.392,-0.1614412,-0.2402037,-0.03133567,0.02126525,-0.05174179,-0.02160945,-0.4808311,0.1084634,0.2977389,353.8141,359.1658,359.6579,-0.2866196,0.1189421,-0.02451418,0.3170069,0.4650671,-0.9937832,-0.5781974,-0.4159916,0.3955089,357.0488,34.29652,39.17633,0.1871168,-0.1570148,-0.08872393,0.1880973,-0.6368221,-0.7656528,-0.2979622,-0.6668289,0.3357669,48.95809,335.7375,337.4596,
