time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.398,0.02446727,-0.03046152,-0.004499197,-0.2693717,-0.08160505,0.09777968,-0.04493623,0.04762504,-0.1342418,0.7225187,359.1836,5.158901,-0.1638144,1.429541,-0.5410343,3.020474,0.1766257,-0.4337184,-0.1033369,0.02479782,0.2030845,323.4716,0.0235382,4.801638,-0.09413096,1.35858,-0.541117,2.550221,-0.4130037,-0.902657,0.08293815,0.002886821,0.2134295,327.2457,12.47322,355.1305,
13.022,0.02721956,-0.03224766,0.001482135,-0.281015,-0.1090689,0.08706409,-0.04452188,0.04720104,-0.1340095,0.9715196,359.2782,5.129832,-0.1753251,1.441968,-0.5969844,2.903448,0.1279069,-0.5304648,-0.105549,0.04389394,0.1941071,321.3079,359.4687,5.422359,-0.09885965,1.419414,-0.6179733,2.701659,-0.2450009,-0.8401982,0.08199183,0.02237156,0.2043969,324.861,12.40279,354.5163,
26.588,0.02983867,-0.03271611,0.009612117,-0.2871096,-0.1041291,0.0384654,-0.04401661,0.04676875,-0.1336351,1.208964,359.2963,5.201754,-0.1709117,1.45542,-0.6490588,2.807642,0.07660118,-0.4640117,-0.1074862,0.06359776,0.1843882,319.2224,359.3075,5.727244,-0.1021568,1.482251,-0.6988903,2.842941,-0.1748187,-0.7989568,0.08117044,0.04281877,0.1943,322.3797,12.41479,353.8798,
40.345,0.03075538,-0.03283286,0.01759934,-0.2867466,-0.08903626,0.0174619,-0.04355206,0.04624955,-0.1331028,1.433173,359.3202,5.190601,-0.1574871,1.492278,-0.7427891,2.958238,0.09820209,-0.3764718,-0.1092895,0.08413886,0.1719697,316.6116,359.2927,5.803317,-0.1045551,1.540199,-0.7869039,3.002984,-0.2839236,-0.7852068,0.07993612,0.06372111,0.1828765,319.6598,12.65353,353.4087,
54.341,0.03031584,-0.03297457,0.02784859,-0.2999017,-0.09353205,0.05731645,-0.04322379,0.04582947,-0.1324259,1.711636,359.3969,5.019345,-0.1533766,1.513466,-0.8245367,3.142595,0.1389796,-0.3869089,-0.1112218,0.103828,0.1598925,313.7722,359.0214,6.017024,-0.1144753,1.581583,-0.8720801,3.12091,-0.4333322,-0.8555104,0.07853532,0.08483951,0.1702913,316.8086,12.68268,353.3039,
68.079,0.02949203,-0.03337645,0.03714131,-0.3098775,-0.1013092,0.08942359,-0.04286384,0.04537683,-0.1316152,1.980209,359.4547,4.895208,-0.1541944,1.524521,-0.914441,3.234995,0.07782221,-0.4308235,-0.1130056,0.1240288,0.1464958,311.0131,358.5726,6.603772,-0.1235596,1.617422,-0.976966,3.306025,-0.5575603,-0.8756796,0.07696216,0.1060801,0.1557753,313.698,12.85579,353.0573,
81.593,0.02870768,-0.03380394,0.04725158,-0.332587,-0.106822,0.0858954,-0.04246255,0.04490082,-0.1306785,2.304674,359.5154,4.853402,-0.1505457,1.525785,-1.010238,3.293675,0.003623286,-0.4272449,-0.1148802,0.1432245,0.1305963,308.2764,358.1649,7.277635,-0.1326783,1.633226,-1.086868,3.516304,-0.6849331,-0.8373747,0.07513782,0.1268086,0.1398847,310.3964,13.29379,352.6477,
95.731,0.02808837,-0.03353184,0.05906508,-0.3585576,-0.1030101,0.07002845,-0.0421226,0.04451069,-0.1295235,2.631377,359.5544,4.822081,-0.1411156,1.520203,-1.120526,3.397921,-0.005736822,-0.3296877,-0.1164592,0.163507,0.1136254,305.3941,358.1743,7.557521,-0.152556,1.630555,-1.185941,3.591624,-0.7104127,-0.8655621,0.07277673,0.1480068,0.123428,307.2579,13.42017,352.328,
109.87,0.02755501,-0.03255688,0.06973448,-0.3585329,-0.08374602,0.0433706,-0.04173031,0.04409421,-0.1282472,2.893846,359.5499,4.841833,-0.138104,1.503386,-1.250725,3.718071,0.01258457,-0.3084714,-0.1185115,0.1812966,0.09431718,301.8618,358.0447,7.934725,-0.1734012,1.611778,-1.290537,3.694327,-0.7460495,-0.9235632,0.07076914,0.1673809,0.1043978,303.9626,13.33366,352.1422,
123.504,0.0265983,-0.03080182,0.08114516,-0.341214,-0.06187686,0.0317531,-0.04138941,0.04378159,-0.1268176,3.123805,359.5457,4.808036,-0.1436177,1.462554,-1.379151,4.13353,0.02282229,-0.4319642,-0.1200913,0.1988632,0.07542183,297.8134,357.0903,8.965312,-0.1781274,1.572979,-1.3969,3.803004,-0.7012146,-0.9181868,0.06888841,0.1869961,0.0850651,300.6496,13.567,351.4801,
