time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.312,-2.958617E-05,-0.000505943,-0.001196571,-0.0007823582,-0.008779543,-0.002799416,-0.07516095,-0.2021497,-0.3744954,351.038,20.79869,358.0524,-0.002465401,-0.001223739,0.002159069,-0.01575239,0.01277722,-0.00700756,-0.04780335,-0.7946561,-0.1069583,13.73949,22.0605,358.3819,-0.009624607,-0.02045052,0.004445768,-0.2493352,0.02814521,-0.05370179,0.1058251,-0.7740257,-0.1872614,14.10415,27.5715,4.295427,
13.134,-0.0004425574,-0.0008897581,-0.001461855,-8.570942E-05,-0.002089445,-0.00314898,-0.07518477,-0.2021518,-0.3745241,351.0358,20.79013,358.0531,-0.0007718452,-0.001387619,0.00146038,-0.008880621,0.007620999,-0.004311848,-0.0478128,-0.794659,-0.1069493,13.74284,22.05822,358.3908,-0.01291835,-0.01419307,0.006124193,-0.1606583,0.06496129,-0.02589061,0.1059953,-0.7737949,-0.1872568,14.07348,27.45089,4.202888,
26.524,-0.000727505,-0.001165459,-0.001713822,0.0004486714,0.004418127,-0.0002968935,-0.07519586,-0.2021643,-0.3745461,351.0392,20.77808,358.0481,0.0004793251,-0.001752915,0.0006915827,-0.0005137834,-0.001760317,0.00500574,-0.04782007,-0.7946861,-0.1069263,13.7451,22.0585,358.3932,-0.008749695,-0.001157634,0.003546226,-0.04712182,0.03157439,-0.07815778,0.1059768,-0.7737761,-0.1873433,13.95471,27.47856,4.130456,
40.236,-0.0007838294,-0.001172946,-0.00193343,0.002722733,0.009678327,0.001515793,-0.07520145,-0.2021694,-0.3745691,351.0389,20.76438,358.039,0.00166438,-0.002637921,-0.0003711339,0.005015178,-0.01030892,0.01482604,-0.04781304,-0.7947395,-0.1069084,13.74875,22.06148,358.3845,-0.002358263,0.01223124,0.001113299,0.05797277,-0.002042032,-0.1061644,0.1059662,-0.7736479,-0.1873827,13.81178,27.51037,4.111583,
54.064,-0.0009181402,-0.0006258279,-0.001866777,0.008584679,0.01142518,0.00156396,-0.07523596,-0.2021359,-0.3746003,351.0287,20.7562,358.0258,0.001634161,-0.001811408,-0.001960065,0.02435324,-0.01124286,3.877979E-05,-0.04779988,-0.7947947,-0.1069128,13.74201,22.06571,358.367,0.00419293,0.01965756,-0.001438221,0.1715025,-0.05230781,-0.07219615,0.1062311,-0.7732728,-0.1874492,13.60999,27.5577,3.898977,
68.076,-0.0009061302,0.000108774,-0.001707955,0.009969084,0.01262282,0.001340329,-0.07526898,-0.2020835,-0.3746274,351.0225,20.74771,358.0172,0.00184904,-0.002226287,-0.0019182,0.02195222,-0.01820583,0.02519116,-0.04779035,-0.7948439,-0.1069291,13.74113,22.06836,358.3366,0.0134297,0.02329607,-0.004062796,0.2594562,-0.1186142,0.003884113,0.1067439,-0.7728424,-0.18749,13.4412,27.63253,3.402553,
81.894,-0.0009571374,0.0004786621,-0.001640215,0.01078552,0.01250583,0.0006634499,-0.07528257,-0.2020617,-0.3746445,351.0153,20.74043,358.0093,0.0003287912,0.0007891904,-0.003295614,0.04023193,-0.009379152,-0.01212408,-0.047813,-0.7948763,-0.1069804,13.71317,22.07035,358.3171,0.02013816,0.02670811,-0.008036947,0.3450069,-0.1476176,0.04509616,0.1071921,-0.7726756,-0.1874706,13.29792,27.64494,2.958639,
95.942,-0.001002996,0.0005087284,-0.001243685,0.006634542,0.008911668,0.001332586,-0.07528602,-0.2020623,-0.374644,351.0163,20.73899,358.0076,0.0001374303,0.0005529178,-0.002363937,0.01166912,-0.0124118,-0.006752266,-0.04780464,-0.7948734,-0.1069936,13.70769,22.07639,358.3114,0.0232677,0.02315705,-0.009189732,0.3338465,-0.1546798,0.09697056,0.1076132,-0.7725674,-0.1874781,13.30545,27.64196,2.626842,
110.328,-0.0009574392,0.0008865822,-0.00133728,-0.001022819,0.01061959,-0.00151605,-0.0752909,-0.2020416,-0.3746579,351.0236,20.7251,358.0185,-0.001263133,0.001787889,-0.001604954,0.01434136,-0.00510395,-0.01305075,-0.04782987,-0.7948543,-0.1070379,13.69177,22.08153,358.3092,0.02439697,0.01765863,-0.008524938,0.2726445,-0.1422793,0.1060005,0.107613,-0.7723687,-0.1884563,13.33363,27.65887,2.454484,
123.5,-0.0009680587,0.001187754,-0.001064946,-0.002714782,0.004281595,-0.01085782,-0.07531339,-0.2019953,-0.3746632,351.0107,20.7242,358.0412,-0.003325999,0.001039275,-0.000489125,-0.004641699,0.01299985,-0.0253641,-0.04786101,-0.7948203,-0.1070473,13.68041,22.08232,358.3232,0.02517688,-0.003216217,-0.00932356,0.07231554,-0.1528721,0.1421375,0.1078371,-0.7724642,-0.1874912,13.64248,27.78446,2.580581,
137.396,-0.0007702535,0.001086704,-0.001197215,-0.0004346561,0.003752016,-0.009682299,-0.07532752,-0.2019598,-0.3746823,351.0042,20.72037,358.0446,-0.003952153,-0.001546285,0.001650339,-0.02837883,0.01729494,0.01266285,-0.04791912,-0.7947839,-0.1070625,13.69767,22.07238,358.3351,0.01617757,0.004018382,-0.001494128,0.06375712,-0.06112279,0.08669707,0.1077975,-0.7725129,-0.1878812,13.57307,27.67465,2.662606,
151.455,-0.000341717,0.0004628524,-0.001173319,0.002765501,-0.001307714,-0.001519929,-0.07530146,-0.2019685,-0.3746673,351.0053,20.73352,358.0322,-0.004663189,-0.0005425422,0.001815358,-0.01929554,0.0272001,-0.01559469,-0.04796466,-0.7947541,-0.1070404,13.69905,22.06227,358.3617,0.01260406,0.004700187,-0.005912587,0.06123748,-0.06351002,-0.001214909,0.1077363,-0.7725028,-0.18803,13.48811,27.7331,2.685345,
165.187,4.847609E-05,-0.0001395963,-0.001083082,-0.0001553516,-0.009675903,0.00149062,-0.07526658,-0.2019904,-0.3746498,351.0114,20.7539,358.0336,-0.003211939,-0.001396295,0.002352273,-0.02584874,0.01660213,0.001253705,-0.04799722,-0.7947288,-0.1070165,13.71347,22.05527,358.3778,0.0008064518,-0.001391768,-0.0004218675,0.01775667,0.01839916,0.05429751,0.1078017,-0.7725407,-0.1879336,13.52655,27.67553,2.675579,
178.838,0.0005114248,-0.0004953612,-0.001281466,0.0002735266,-0.007942613,0.003387123,-0.07523163,-0.2020027,-0.3746625,351.0153,20.75815,358.0289,-0.001496563,-0.001024916,0.001417716,-0.01743548,0.005566843,-0.01334435,-0.048015,-0.7947077,-0.1069969,13.71643,22.05725,358.3951,-0.00667641,-0.002058582,0.0006682274,-0.05568589,0.05419382,-0.01486567,0.1077047,-0.772576,-0.187949,13.5415,27.64084,2.741163,
192.896,0.0006678473,-0.0006998564,-0.001439942,-0.004204665,-0.008496364,0.003110667,-0.07521682,-0.2020008,-0.3747062,351.0247,20.76514,358.0358,0.0004237885,-0.002441377,0.001307443,-0.01892086,-0.004696122,0.004617685,-0.04801401,-0.7946905,-0.1069795,13.72755,22.06274,358.4034,-0.01275562,0.0007798063,0.002466706,-0.1023731,0.09426343,-0.09927338,0.1072949,-0.772595,-0.187777,13.47863,27.60345,3.010812,
206.915,0.0008133646,-0.000587108,-0.001615335,-0.004661577,-0.01082661,0.00297313,-0.07519914,-0.2019923,-0.3747471,351.0286,20.7768,358.039,0.001886827,-0.002508121,0.0003292134,-0.005097942,-0.01155892,0.004594292,-0.04799693,-0.7946849,-0.1069737,13.73512,22.07032,358.404,-0.01903442,0.002411265,0.003661842,-0.12007,0.131292,-0.1346216,0.1067634,-0.7725929,-0.1879173,13.38004,27.5337,3.310854,
220.92,0.001341221,-0.0001662678,-0.001829745,0.0005220687,-0.00937537,0.002256374,-0.0751414,-0.2019924,-0.374742,351.0219,20.78296,358.0336,0.002790712,-0.002363229,-0.0001824156,0.004066126,-0.01153986,0.01147959,-0.04796141,-0.7946918,-0.1069749,13.74087,22.07641,358.3966,-0.02329335,0.002423703,0.005015344,-0.1171928,0.156878,-0.1301975,0.1065203,-0.7726679,-0.1876696,13.31798,27.42797,3.503124,
234.471,0.001499287,0.0002895341,-0.001705138,0.006850612,-0.01108548,0.001806076,-0.07509688,-0.2019826,-0.374731,351.0093,20.79661,358.0235,0.003499497,-0.001600094,-0.0009143678,0.01384657,-0.01408776,0.008250332,-0.04791758,-0.794713,-0.1069853,13.73894,22.082,358.3819,-0.02254525,0.002964133,0.004855649,-0.1045736,0.1380398,-0.128039,0.1063371,-0.7726306,-0.1877753,13.27288,27.40949,3.605862,
