time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.839,0.007751086,-0.003653612,0.007446452,-0.02871491,-0.01801104,0.01552673,0.01198378,0.7447474,-0.232263,356.5663,356.8504,3.134798,0.002086124,-0.001329396,0.00554891,-0.000948635,-0.002927034,-0.003548295,-0.02661241,0.2100057,-0.0262872,1.776933,4.520117,6.026411,-0.05106982,0.02265259,-0.01633478,0.3029907,0.3053696,-0.2532953,0.1278619,0.2128389,-0.05475982,9.177591,6.067954,347.3098,
12.021,0.007054296,-0.00250732,0.006823853,-0.01997675,-0.01534085,0.01201843,0.01204903,0.744749,-0.2321809,356.5697,356.8623,3.127281,0.003885782,-0.000545911,0.00535552,0.008458142,-0.01215018,0.01210533,-0.02656876,0.2100038,-0.0262174,1.774205,4.528338,6.018263,-0.06097001,0.005696471,-0.0102026,0.07253595,0.453318,-0.5410292,0.1271242,0.2125708,-0.05457338,9.376396,5.857854,348.3801,
24.219,0.006348208,-0.001501706,0.006176753,-0.01192961,-0.01208961,0.01377009,0.01210696,0.7447615,-0.2321105,356.5605,356.8679,3.110093,0.004491498,-0.0002559125,0.005362277,0.01077968,-0.007011103,0.03102327,-0.02651005,0.210004,-0.02615019,1.77033,4.534638,5.992109,-0.05284747,-0.005990161,-0.006571531,-0.08010026,0.3669232,-0.7859843,0.1265817,0.2124568,-0.05458677,9.454072,6.116343,349.5186,
38.121,0.005800132,-0.0006954948,0.005397221,-0.003572128,-0.008145814,0.01221523,0.01217172,0.7447667,-0.2320473,356.5616,356.8695,3.106716,0.003992725,-8.683593E-06,0.005714463,0.0002251929,0.0006464588,0.03559539,-0.02644446,0.2100198,-0.02607387,1.771728,4.532483,5.960204,-0.03985392,-0.001873998,-0.004060755,-0.03912529,0.2088439,-0.6683992,0.1264669,0.2126495,-0.05481674,9.31292,6.30972,349.8383,
52.212,0.00555698,-0.0002436033,0.004504235,-0.003237265,-0.006499656,0.007724239,0.01224242,0.7447683,-0.2319995,356.5643,356.8716,3.108042,0.001530495,0.004028947,0.004089248,0.03408485,0.02212593,0.003336954,-0.02640997,0.2100544,-0.02602204,1.746486,4.516329,5.95021,-0.02263313,0.01151599,-0.005611298,0.1184931,0.01512073,-0.1882284,0.1269871,0.2128897,-0.05491743,9.091208,6.321387,349.0414,
66.41,0.005260205,-0.0001393907,0.003699414,-0.0007858599,-0.008468828,0.007193737,0.01230367,0.7447717,-0.2319741,356.562,356.8828,3.103201,0.001297616,0.00559458,0.003340394,0.03994229,0.02142893,-0.03342325,-0.02637383,0.2101034,-0.02596015,1.719387,4.503626,5.96848,-0.006196052,0.02031124,-0.00587952,0.1942097,-0.1434621,0.3316652,0.1274294,0.2131664,-0.05481698,9.027025,6.2741,347.7681,
80.026,0.004672664,-7.347105E-05,0.003188597,0.003338567,-0.01276708,0.003905132,0.01234671,0.7447872,-0.2319651,356.5534,356.9001,3.107745,0.004358292,0.00177497,0.00477755,-0.01793522,-0.01841925,-0.03118219,-0.02633712,0.2101296,-0.0259059,1.733091,4.520338,5.996007,0.004071877,0.02505766,-0.003952762,0.1982999,-0.2084412,0.9125364,0.1278928,0.2136035,-0.05534865,9.239251,5.974428,345.946,
93.754,0.004238721,0.000697359,0.002756171,0.00396336,-0.008423853,0.003467265,0.01238903,0.7448317,-0.2319583,356.5493,356.9,3.106015,0.004954468,0.0002055468,0.004042136,-0.0001351701,-0.01444804,-0.02952552,-0.02629935,0.2101255,-0.02586038,1.729405,4.533998,6.020157,2.143899E-05,0.02294069,-0.002299874,0.1616325,-0.1246699,1.08368,0.1279537,0.2138103,-0.05517018,9.457468,5.550299,344.7844,
108.076,0.003437516,0.001768038,0.003135151,0.01536635,-0.003046125,0.002129765,0.01240776,0.7448764,-0.2318866,356.5182,356.8947,3.109722,0.005226097,-0.002466164,0.005924314,-0.02668405,-0.002685669,0.01649549,-0.02621313,0.2101168,-0.02572972,1.755013,4.531791,6.009192,-0.008076812,0.02342181,0.002106661,0.1207402,0.02022912,0.9382538,0.1277576,0.2140961,-0.05385039,9.609585,5.120291,344.347,
121.634,0.002794321,0.002521025,0.003432917,0.0250206,0.006654623,0.002216667,0.01242167,0.744923,-0.2318119,356.4764,356.8696,3.113529,0.005485907,-0.0008678924,0.004180787,0.005304025,0.0009762271,0.02981785,-0.02616102,0.210103,-0.02574575,1.751131,4.525959,5.983793,-0.008074977,0.03043324,0.005334951,0.1534692,0.04174915,0.5241123,0.1276957,0.2145491,-0.05423287,9.398036,5.089763,344.6375,
135.793,0.002222408,0.002502038,0.003351544,0.02340844,0.01085874,0.002586476,0.01243527,0.7449712,-0.2317736,356.4645,356.8525,3.109023,0.005174082,0.001582951,0.002338987,0.03314085,-0.009627816,0.01422088,-0.02608568,0.2101122,-0.02565834,1.730721,4.536469,5.96629,-0.009205798,0.03116387,0.008795722,0.1392505,0.06170875,0.2138352,0.1274198,0.2147532,-0.05386357,9.26936,5.098983,345.0171,
149.654,0.001908019,0.001702309,0.002965588,0.01573809,0.01313184,0.001316596,0.01245336,0.744998,-0.231761,356.4767,356.8423,3.104519,0.003459001,0.002656794,0.001885564,0.02530193,-0.004081294,0.01157337,-0.02606208,0.2101256,-0.02566996,1.713505,4.540666,5.954503,-0.007986755,0.02046674,0.01074479,0.02332166,0.08178883,-0.08036537,0.1273122,0.2137219,-0.05423696,9.353525,5.280553,345.588,
