time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.328,0.01167932,0.005832449,0.01611522,0.0533293,-0.01560402,0.005887322,-0.06020772,0.4323592,-0.07445481,354.1721,0.9375165,358.6131,-0.1296255,0.002816608,0.02670707,0.009025606,0.1259064,-0.06424092,-0.1630974,0.320193,0.426119,340.4233,349.2051,9.585892,0.1473989,-0.01495065,0.02694438,-0.1361484,-0.02118514,0.2288191,0.0002506897,0.3386581,0.4350427,336.8101,357.5378,345.6659,
11.947,0.01246816,0.005344903,0.01680175,0.04170921,-0.01579799,0.01922108,-0.06004457,0.4323946,-0.07419327,354.165,0.9546989,358.5798,-0.200098,0.0107564,0.03271947,-0.0242212,0.2515787,-0.1656326,-0.1673971,0.3207108,0.4265243,340.5098,348.6563,9.725119,0.2053095,-0.0003267337,0.02278217,-0.05743689,-0.07926833,0.3863648,0.004414756,0.3388038,0.4355973,336.5804,358.08,345.1582,
24.64,0.01321681,0.004220894,0.01785845,0.02769853,-0.01791929,0.01121151,-0.0598086,0.4324136,-0.07390025,354.1638,0.9608443,358.602,-0.2472378,0.02397596,0.02991381,0.007700664,0.3534889,-0.122321,-0.1718467,0.3214267,0.426771,340.3657,348.2576,9.627994,0.2618441,0.008374195,0.01864793,0.01059808,-0.2234081,0.4203223,0.009234645,0.3388685,0.435889,336.3109,358.6713,344.9526,
38.636,0.01440541,0.0030705,0.01884583,0.01487727,-0.01382029,-0.01447937,-0.05955335,0.4324132,-0.07359451,354.1685,0.9471255,358.6753,-0.2979906,0.04263347,0.02260982,0.06895445,0.4072705,0.008475954,-0.1774709,0.3221627,0.4267204,340.0462,348.0596,9.334581,0.304105,0.01450165,0.01299508,0.1184734,-0.3936998,0.2660893,0.01455026,0.3388969,0.4362222,335.912,358.9812,345.3081,
52.647,0.01544643,0.002477709,0.02083516,0.007571627,-0.006420895,-0.03334014,-0.05928513,0.4324424,-0.07320932,354.1708,0.9284489,358.7275,-0.3543805,0.05660428,0.01234674,0.1453097,0.4610186,0.1686223,-0.1843458,0.3228637,0.426798,339.5807,347.9647,8.890553,0.3696419,0.030633,-0.004951186,0.3684286,-0.8223796,0.01185232,0.021515,0.3391816,0.4362702,334.9806,359.4132,346.459,
66.493,0.01641494,0.003109868,0.02327206,0.01550288,0.001614858,-0.01881204,-0.05901915,0.4325748,-0.07281426,354.1371,0.9235901,358.6746,-0.4265361,0.06151973,0.006867722,0.1198481,0.5670929,0.2104847,-0.1924025,0.3236103,0.4271224,339.3124,347.6172,8.470296,0.4498293,0.04889664,-0.02431335,0.6006753,-1.354189,-0.1903329,0.02990221,0.3394205,0.4356531,333.8485,0.1213113,347.9606,
80.584,0.01766751,0.004917507,0.02667805,0.03813959,0.0001229973,0.01595964,-0.0587309,0.4326811,-0.07234377,354.0525,0.9584709,358.5937,-0.5102888,0.05983827,0.0005584806,0.07584373,0.770285,0.2311822,-0.2017075,0.3237085,0.4265716,339.0475,346.9898,7.931282,0.5215936,0.04485712,-0.0240597,0.5833661,-1.650945,-0.2444038,0.0388063,0.3389023,0.43631,333.1423,0.9998838,349.1601,
94.102,0.01878341,0.006750057,0.03007573,0.0537353,-0.01362616,0.03709903,-0.05841342,0.4328466,-0.07182825,353.995,1.007218,358.5383,-0.6001613,0.05915971,-0.007066086,0.02244683,1.03951,0.2493363,-0.2120969,0.3247951,0.4271265,338.7759,346.111,7.228563,0.6174715,0.05301846,-0.01858959,0.4448003,-1.667599,-0.1988824,0.04990534,0.3400525,0.4366984,332.825,1.820366,349.9225,
108.261,0.01952157,0.007824641,0.03457005,0.07332405,-0.0298455,0.04124028,-0.05819057,0.4329241,-0.0711754,353.9016,1.06495,358.5161,-0.6911381,0.06474106,-0.01858309,0.0435774,1.287878,0.2587991,-0.2237667,0.3249553,0.4259259,338.3269,345.0941,6.527744,0.7216454,0.03773181,0.000482142,0.2783943,-1.4893,-0.04827472,0.06293565,0.3393738,0.4372089,332.7261,2.601719,350.1342,
122.128,0.01992452,0.008436111,0.03881223,0.06687267,-0.02672772,0.02326183,-0.05792081,0.4330831,-0.07049146,353.8806,1.057254,358.5463,-0.7829584,0.06046735,-0.02833831,-0.02671492,1.422413,0.2522888,-0.2368975,0.3257091,0.4260938,338.1208,344.1685,5.781269,0.8449576,0.01317853,0.02784199,-0.1628614,-1.520571,0.1967188,0.07692726,0.3401011,0.4392571,333.4103,4.081133,350.2255,
