time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.3,-0.01063224,0.001653747,0.02661761,-0.02232378,-0.02184998,-0.09375731,0.1872968,-0.3848825,-0.2994924,354.0211,18.01435,8.359088,0.1550131,0.06981853,-0.2218319,0.01180377,-0.7800239,0.7264708,0.3946077,-0.7109169,-0.271891,334.5815,79.76001,3.490164,0.003264375,0.01390895,-0.2011044,0.2143781,-0.4404659,0.2310752,0.5026724,-0.7304712,-0.4173347,342.9888,68.62545,352.5871,
13.103,-0.01977796,0.003546069,0.02749055,-0.008268297,0.05118259,-0.09749649,0.1867594,-0.3848082,-0.2991267,353.959,17.86052,8.397529,0.1034938,0.05672488,-0.1531336,-0.0756117,-0.2121659,0.3743803,0.3948617,-0.7104827,-0.2724285,334.6407,79.13084,3.129693,-0.01041262,0.0162907,-0.1197354,0.1122915,-0.3832593,0.2216451,0.5021029,-0.7301905,-0.4166985,342.9796,68.78603,352.7806,
26.132,-0.02938364,0.004111126,0.02768925,-0.01282254,0.1333146,-0.1034082,0.1860715,-0.3848128,-0.2987733,353.9052,17.60268,8.460163,0.06067144,0.03564379,-0.07679918,-0.0634912,0.3742382,0.1212733,0.3946064,-0.7102008,-0.27211,335.03,78.16379,2.61323,-0.02271313,0.01905074,-0.04611253,0.1160173,-0.2801154,0.1204053,0.5013894,-0.7297509,-0.4153708,342.9813,68.88317,352.6637,
39.955,-0.03955204,0.003578572,0.02727286,-0.03336157,0.2226676,-0.098189,0.1852473,-0.3848191,-0.298477,353.9011,17.25455,8.508234,0.02146297,0.02053434,-0.01116655,-0.0805071,0.7079411,0.0299012,0.3936238,-0.7100543,-0.2710439,335.3604,77.17709,2.355905,-0.03327147,0.02306163,0.01725097,0.1929084,-0.04482337,-0.09717795,0.5007197,-0.7293931,-0.4135173,342.9908,68.65721,352.122,
54.008,-0.04994339,0.00205896,0.02585433,-0.05645945,0.3105132,-0.08080206,0.1842595,-0.3848729,-0.2981563,353.9063,16.85271,8.516865,-0.03892266,0.00823975,0.05545687,-0.09951897,0.7373325,0.07158832,0.3903856,-0.7102478,-0.2687867,335.5783,76.49571,2.429678,-0.04410665,0.01784169,0.1091631,0.4288617,0.4061045,-0.3816594,0.5003439,-0.7291887,-0.4095882,343.2851,67.89178,351.0091,
67.692,-0.06045445,-0.0006588401,0.02392271,-0.08365626,0.4060841,-0.06353101,0.1831331,-0.3849716,-0.2979203,353.942,16.352,8.527836,-0.1115027,0.006807208,0.1129637,-0.1904452,0.4689447,0.2666365,0.3872879,-0.7099389,-0.2656597,335.5264,76.19603,3.123785,-0.05729843,0.006362669,0.1949766,0.5714411,0.8474631,-0.4477439,0.4993243,-0.7290205,-0.4051457,343.844,66.74232,350.2051,
81.572,-0.07054538,-0.003585702,0.0207667,-0.1146986,0.501509,-0.04592133,0.1819366,-0.3851202,-0.2977368,353.9929,15.78087,8.533144,-0.1816185,0.0033608,0.1649833,-0.2398908,0.2969499,0.3469131,0.382307,-0.7106575,-0.2620479,335.4544,75.93476,3.692863,-0.08543821,0.002109991,0.2953397,0.4803225,1.278584,-0.4930766,0.4971757,-0.7290843,-0.3998945,344.1631,65.0316,349.7937,
95.62,-0.07849261,-0.005316791,0.01744277,-0.1327491,0.5693715,-0.03783603,0.180678,-0.3851738,-0.2976174,354.0293,15.21636,8.537247,-0.2468074,-0.006954439,0.2235427,-0.2739726,0.4265435,0.1716478,0.37798,-0.7109092,-0.2578547,335.3677,75.36297,3.587806,-0.1185511,0.005799673,0.3825391,0.2295681,1.496473,-0.5428159,0.4958824,-0.7286762,-0.3928086,344.09,63.34084,349.7438,
109.571,-0.08623247,-0.005949516,0.01377984,-0.131539,0.6301882,-0.03838427,0.1793165,-0.3852471,-0.2974959,354.0206,14.6191,8.532172,-0.2934239,-0.02168213,0.2749582,-0.2741098,0.7306997,-0.1520077,0.3724782,-0.7120733,-0.2533004,335.3184,74.53579,2.89134,-0.1499272,0.01016622,0.4582341,-0.06725568,1.56986,-0.5158592,0.4929623,-0.7288475,-0.3859196,343.9029,61.74003,350.0692,
123.351,-0.09359185,-0.006061739,0.01018,-0.1285262,0.6911453,-0.04642375,0.1777355,-0.3853769,-0.2974011,353.9956,13.96092,8.532555,-0.3334187,-0.03493025,0.3269868,-0.2517999,1.121065,-0.5477564,0.367871,-0.7123961,-0.2481935,335.2636,73.4369,1.728142,-0.1829671,0.01685538,0.5203899,-0.3458476,1.558035,-0.6083378,0.4904829,-0.7287605,-0.3779744,343.403,60.17529,350.4196,
