time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.307,-0.1815217,0.2522735,0.07407744,0.1745839,-0.1444499,-0.2012541,0.1248818,0.07415384,-0.09210145,352.8622,356.258,6.356024,0.09304496,0.3536121,0.121176,0.7364944,-0.9874275,0.0439276,-0.0253832,-0.4445252,-0.0618638,13.36217,0.3624749,5.763247,-0.05388219,0.2994179,-0.1178238,-0.2751982,0.05957088,0.08589855,0.231421,-0.3388673,0.03127201,345.3243,342.6891,347.6977,
13.078,-0.1900187,0.2340521,0.07379335,0.1674528,-0.1794919,-0.2141358,0.1220911,0.07648858,-0.09106689,352.7856,356.4202,6.560208,0.1666331,0.3470273,0.2235926,0.8440452,-1.154943,0.05725564,-0.02226413,-0.4408425,-0.05583493,12.61539,1.512058,5.381907,-0.02903252,0.1330272,-0.1465842,-0.4335155,-0.2061331,-0.3536288,0.2315299,-0.3409766,0.02821472,346.3513,343.0809,348.373,
25.95,-0.1956945,0.2059,0.0739283,0.1441588,-0.2132141,-0.2010622,0.1193235,0.07829756,-0.09003095,352.7623,356.6123,6.718028,0.2252961,0.325122,0.3212307,0.8978807,-1.194875,0.007778288,-0.0184935,-0.4377682,-0.04869032,11.89905,2.545054,5.173102,-0.006369421,-0.001420114,-0.164591,-0.5456605,-0.3622868,-0.6005153,0.2318424,-0.3443212,0.02529479,347.3001,343.4922,348.9186,
40.084,-0.1984358,0.172603,0.07473133,0.1275258,-0.2539177,-0.1716303,0.1165678,0.07948497,-0.08893806,352.7173,356.8745,6.82931,0.2567329,0.3073312,0.3722785,0.9074356,-1.197549,-0.0891901,-0.01495741,-0.4348949,-0.0422572,11.24047,3.587874,5.145118,0.02343659,-0.1747556,-0.1750151,-0.7509198,-0.5356114,-0.9254118,0.232693,-0.350762,0.02244474,348.7091,344.0662,349.6757,
53.866,-0.1986784,0.1265497,0.07713692,0.1376452,-0.3191208,-0.1329031,0.1138577,0.07978058,-0.08775207,352.619,357.2386,6.935964,0.3371026,0.2504987,0.4838824,0.8735575,-1.261081,-0.5779919,-0.009186099,-0.4337542,-0.03172041,10.62375,5.226247,6.150872,0.06569183,-0.3534297,-0.1771376,-1.056013,-0.7707881,-1.260164,0.2340684,-0.3587501,0.01979917,350.5679,344.9947,350.5578,
67.765,-0.1968774,0.08006418,0.07999547,0.1661258,-0.380302,-0.1157752,0.1111963,0.07924783,-0.08651648,352.4794,357.6333,7.076486,0.3898112,0.2112349,0.5472931,0.8730262,-1.312243,-0.9624236,-0.003967616,-0.4326378,-0.02300646,9.865033,6.883868,7.196896,0.1246622,-0.5164605,-0.1909834,-1.325312,-1.00732,-1.361846,0.2369417,-0.3689368,0.01536034,352.3369,346.2637,351.2041,
81.917,-0.1939965,0.02323279,0.08347749,0.1938984,-0.4378573,-0.1067864,0.1086027,0.07770258,-0.08523943,352.3521,358.0562,7.226457,0.436999,0.1747499,0.5952123,0.918768,-1.340219,-1.323931,0.002090757,-0.4322309,-0.01296435,8.876713,8.58422,8.43647,0.1838247,-0.6758202,-0.2169871,-1.618407,-1.097669,-1.33918,0.2396407,-0.3812556,0.011834,354.2126,347.5262,351.5193,
95.825,-0.1916154,-0.04447061,0.08685911,0.1820497,-0.4886414,-0.08840428,0.1059837,0.07512307,-0.08401521,352.3217,358.4989,7.321586,0.486202,0.1279102,0.6337796,0.8292484,-1.449753,-1.563519,0.008689407,-0.4325327,-0.003137875,8.131542,10.44341,9.649507,0.2359268,-0.8416522,-0.2456165,-2.091036,-1.152482,-1.56539,0.2434573,-0.3947234,0.006815601,356.9683,348.8499,352.1268,
109.876,-0.1903436,-0.1074584,0.08870205,0.1427139,-0.5081375,-0.05411628,0.1033121,0.07165721,-0.08272517,352.3411,358.9162,7.344425,0.5320933,0.08848967,0.6563703,0.7435797,-1.59955,-1.637744,0.01581413,-0.4329371,0.006580275,7.467144,12.38947,10.61891,0.3109614,-0.9700028,-0.2924012,-2.383292,-1.429732,-1.563939,0.2482,-0.4087364,0.001096789,359.3913,350.7802,352.6401,
123.483,-0.1894132,-0.1733703,0.0902206,0.05542303,-0.5051059,-0.02514306,0.1006691,0.0676752,-0.0815661,352.5399,359.274,7.357574,0.5964764,0.0532987,0.6707509,0.7888759,-1.80722,-1.498446,0.02459329,-0.4333974,0.01721945,6.719561,14.45085,10.96942,0.3939148,-1.048766,-0.3529259,-2.458605,-1.914473,-1.569709,0.2532812,-0.4228541,-0.005672358,1.397259,353.39,353.4779,
137.3,-0.187034,-0.2363934,0.09197969,0.03473788,-0.4746187,-0.01735684,0.09824546,0.06271067,-0.08012997,352.5097,359.5703,7.423429,0.6462956,0.054981,0.6635069,1.086011,-1.870577,-1.247888,0.03316848,-0.4327928,0.02617417,5.503379,16.22373,10.68042,0.4642358,-1.090712,-0.433408,-2.407443,-2.289276,-1.589915,0.2590872,-0.4370309,-0.01512485,3.105643,356.1191,354.5279,
151.404,-0.1809653,-0.2909835,0.09674928,0.03559439,-0.4256322,-0.02699373,0.09602921,0.0575079,-0.07852932,352.5085,359.801,7.513781,0.6704548,0.08986104,0.643006,1.420698,-1.802431,-1.152121,0.04162665,-0.431485,0.0344016,3.881784,17.78197,10.3476,0.4995437,-1.109266,-0.5221871,-2.386492,-2.253252,-1.476634,0.2644812,-0.4506561,-0.0239909,4.842705,358.1752,355.265,
165.132,-0.1721244,-0.3305486,0.1008482,-0.01579701,-0.3678656,-0.07503357,0.09398708,0.05244634,-0.0771101,352.6761,359.9202,7.70492,0.7068977,0.1501844,0.590519,1.76609,-1.91337,-1.34511,0.05039361,-0.4294418,0.04133604,1.729905,19.83546,10.24408,0.5180483,-1.097624,-0.6126353,-2.327414,-2.094801,-1.290275,0.2707515,-0.4635212,-0.0351838,6.451248,359.8623,355.7844,
178.993,-0.1629285,-0.3514128,0.1022816,-0.08051398,-0.281279,-0.08264049,0.09203721,0.04776567,-0.07581528,352.8617,359.9416,7.744261,0.731958,0.1917,0.538372,1.787706,-2.164416,-1.566118,0.05904515,-0.4272071,0.04844864,359.9419,22.30687,10.49619,0.5398346,-1.068765,-0.698581,-2.295597,-2.032394,-1.11072,0.2770311,-0.4757412,-0.04629871,8.03633,1.654844,356.243,
193.122,-0.1529668,-0.3529659,0.1001697,-0.09870661,-0.171261,-0.02322109,0.09023092,0.04349369,-0.07462513,352.9096,359.9077,7.603435,0.7543933,0.2370236,0.4782862,1.68513,-2.470083,-1.769943,0.06765995,-0.4240908,0.05468749,358.2938,25.09082,10.95101,0.5608187,-1.038323,-0.7626829,-2.40425,-2.045871,-0.9541264,0.2834917,-0.4869848,-0.05769281,9.92022,3.625745,356.6651,
206.852,-0.1422436,-0.3349786,0.09354454,-0.1050176,-0.08115499,0.04511428,0.08845989,0.03993544,-0.0735593,352.9942,359.8881,7.454453,0.7607638,0.2845039,0.4246177,1.6472,-2.635474,-1.789573,0.0762163,-0.4201259,0.0608047,356.7189,27.73079,11.05038,0.5873683,-0.9803105,-0.8292069,-2.632056,-2.207386,-0.7502335,0.2901295,-0.4963886,-0.0699904,12.16181,5.984957,356.9251,
220.783,-0.1323027,-0.3043002,0.08778727,-0.1641319,-0.0253935,0.05257163,0.08695108,0.03719687,-0.07239911,353.2632,359.7935,7.436415,0.7420892,0.3314681,0.376458,1.798009,-2.526684,-1.480801,0.08389531,-0.415099,0.06564651,355.3865,29.84663,10.14536,0.6029818,-0.891304,-0.8770849,-2.679301,-2.403613,-0.6501378,0.2964911,-0.5035551,-0.08238314,14.107,8.574842,357.3576,
234.573,-0.1168428,-0.254316,0.08270932,-0.2681317,0.01877184,-0.0489003,0.08600742,0.03583667,-0.07154502,353.6663,359.5983,7.718543,0.6970995,0.3869207,0.3276524,2.05789,-2.197758,-1.156691,0.09073629,-0.408906,0.06962767,354.0201,31.3883,8.597743,0.6041374,-0.7767165,-0.9090548,-2.479851,-2.547759,-0.5098584,0.302393,-0.5087872,-0.0948045,15.48201,11.08636,357.5658,
248.518,-0.0952054,-0.1880929,0.07442931,-0.3433736,0.02067511,-0.1869326,0.08568475,0.03553504,-0.07082716,354.0302,359.4731,8.122687,0.6345953,0.4471095,0.277893,2.166212,-1.913565,-0.9843213,0.09615608,-0.4018843,0.07292563,352.7089,32.76934,7.185668,0.5766391,-0.6243635,-0.9268844,-2.15773,-2.53246,-0.2129799,0.3074888,-0.5115601,-0.1069145,16.54162,13.03093,357.1856,
262.595,-0.06884137,-0.1098117,0.06320685,-0.3875428,0.008886279,-0.212611,0.08556853,0.03660649,-0.07040277,354.3898,359.4256,8.223509,0.5514007,0.5054814,0.2350328,2.021265,-1.621632,-0.9482116,0.1002188,-0.3943684,0.07593652,351.5046,33.81126,6.320014,0.5184922,-0.4784456,-0.916274,-1.980456,-2.312979,0.1456539,0.3116555,-0.5123881,-0.1176747,17.92524,14.26731,356.5633,
276.513,-0.04309177,-0.02850783,0.05087466,-0.3533768,0.01959696,-0.1116452,0.08550318,0.03849268,-0.06995589,354.5366,359.3973,8.028214,0.4516916,0.5515248,0.2055029,1.600211,-1.261388,-0.8995434,0.1030137,-0.3862625,0.07839288,350.7074,34.25869,6.134208,0.4509218,-0.3247324,-0.8711751,-1.795734,-2.061873,0.2712443,0.3147895,-0.5109977,-0.1267441,19.08968,15.3627,356.2697,
290.565,-0.01774807,0.05728667,0.03808506,-0.30529,0.05683727,0.002644666,0.08580679,0.04149476,-0.06977849,354.6855,359.281,7.839472,0.3549896,0.5865875,0.1801517,1.046283,-0.964544,-0.7926308,0.1050613,-0.3776519,0.08021596,350.3609,34.39932,6.490895,0.382636,-0.1609081,-0.7958618,-1.61625,-1.788287,0.1342844,0.3169978,-0.5072917,-0.1343087,19.88828,16.51926,356.5839,
304.275,0.002904796,0.1255148,0.02863417,-0.1968003,0.09645656,0.04795929,0.08642623,0.04492247,-0.06955457,354.57,359.1665,7.754299,0.2701935,0.6079541,0.1470461,0.5074623,-0.803153,-0.6275634,0.1062169,-0.3689526,0.08115394,350.3975,34.54109,7.158314,0.2991219,0.04476288,-0.6659313,-1.245885,-1.469467,-0.003529107,0.3182341,-0.5009377,-0.1393752,20.10147,17.33137,356.8354,
318.419,0.02442461,0.1914663,0.01842414,-0.0754323,0.1285641,0.03941215,0.08736578,0.0490914,-0.0696098,354.4192,359.0349,7.780312,0.1934553,0.6139844,0.1005889,0.09893716,-0.7607936,-0.4796857,0.1064059,-0.3607385,0.08109396,350.5532,34.81452,7.916625,0.2381595,0.1601149,-0.5644015,-0.8313058,-1.267326,0.1443396,0.3196501,-0.4959279,-0.1438279,20.29701,17.70202,356.2986,
