time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.331,0.01442756,-0.002937605,0.01196733,-0.0396621,-0.01155944,-0.09035763,-0.1177454,-0.4479536,-0.6278625,353.7451,359.79,358.0025,-0.02109465,-0.002627381,0.003867535,0.0188195,0.08476836,0.003740124,-0.1646997,-0.9162361,-0.2690947,1.947825,359.0479,355.2605,-0.04813636,0.03169735,-0.02248328,0.3897555,0.4130147,0.1654585,-0.004327605,-0.9349065,-0.2758027,9.659427,359.6375,356.7933,
12.835,0.009183464,-0.002887763,0.0116502,-0.04072123,-0.01323838,-0.09328746,-0.1177827,-0.4479947,-0.6277567,353.7691,359.7847,358.0769,-0.0176631,0.000981166,0.002097281,0.03181062,0.08528467,-0.00179485,-0.1648779,-0.9162158,-0.2691151,1.921091,358.9828,355.2722,-0.0555247,0.03366685,-0.02323093,0.326595,0.4791225,0.1729875,-0.005033215,-0.9343565,-0.2757239,9.521522,359.1003,356.7268,
26.496,0.004404144,-0.002678926,0.01110047,-0.04806706,-0.01343607,-0.09668461,-0.1178272,-0.4480403,-0.6276752,353.8291,359.7727,358.1647,-0.01408303,0.002865925,0.0006681563,0.0385997,0.07880727,-0.004595329,-0.1649997,-0.9161964,-0.2691943,1.894107,358.932,355.2825,-0.049953,0.02632414,-0.0148817,0.199441,0.3941343,0.01916171,-0.005440794,-0.9342579,-0.2755544,9.58519,359.0156,356.9968,
40.389,8.935272E-05,-0.003012294,0.01093286,-0.05237867,-0.01637,-0.1015634,-0.1179202,-0.4481034,-0.627584,353.8823,359.7832,358.2532,-0.005379597,0.003169387,-0.001694806,0.03617208,0.02806376,-0.01510506,-0.1650837,-0.9161438,-0.2693137,1.878555,358.9226,355.2984,-0.03254889,0.01519473,-0.007351024,0.1027939,0.2070067,-0.1969246,-0.005686291,-0.9342698,-0.2756326,9.669389,359.341,357.494,
54.189,-0.003865414,-0.003779683,0.01092953,-0.05918482,-0.02375666,-0.1022488,-0.1180928,-0.4481836,-0.6274891,353.9365,359.7939,358.3391,0.001103666,0.003419557,-0.003046637,0.0352605,-0.01389497,-0.01287143,-0.1651118,-0.916091,-0.2694221,1.862678,358.9282,355.3055,-0.01864307,0.006620066,-0.00101709,0.02824206,0.08055919,-0.2344846,-0.005682046,-0.9343297,-0.2753278,9.76053,359.5647,357.7027,
68.219,-0.007003794,-0.005725084,0.01051644,-0.06839641,-0.03197972,-0.09731827,-0.1182931,-0.4483221,-0.6274064,354.0089,359.8277,358.4069,0.005254155,0.005004924,-0.003176461,0.02991989,-0.02246546,0.03260427,-0.1650866,-0.9159674,-0.2696056,1.827253,358.9442,355.2816,-0.003637326,0.002710916,0.002650634,-0.003573534,-0.04145161,-0.1886229,-0.005476026,-0.9344337,-0.2755867,9.799204,359.7481,357.6425,
81.697,-0.00946743,-0.008262475,0.01005207,-0.08011167,-0.04766398,-0.09191713,-0.1184947,-0.4485222,-0.6273247,354.0888,359.8792,358.4753,0.004534999,0.01008683,-0.004968614,0.1005751,0.001651143,0.0475663,-0.1650211,-0.9157981,-0.2699211,1.691609,358.9222,355.2262,0.006451575,4.947745E-05,0.004680784,-0.02540178,-0.1039589,-0.1523945,-0.005479039,-0.9345123,-0.275333,9.84053,359.8858,357.6748,
95.573,-0.01189836,-0.009672594,0.009404814,-0.07927658,-0.06480554,-0.0794037,-0.1187079,-0.4487228,-0.6272599,354.1416,359.9578,358.524,0.006623327,0.00862492,-0.002655418,0.05274924,-0.004684602,0.03052575,-0.1649499,-0.9156968,-0.2698517,1.682781,358.9202,355.217,0.01661803,-0.0008968272,0.008385528,-0.0582667,-0.1505713,-0.1446399,-0.005346085,-0.9344907,-0.2744657,9.92776,0.1469423,357.7967,
110.034,-0.0139268,-0.009395139,0.008972976,-0.05874646,-0.07707389,-0.06983038,-0.1189416,-0.4488669,-0.6271844,354.133,0.01732686,358.5757,0.01077037,0.009537138,-0.002025239,0.05440195,-0.0452143,-0.04645569,-0.1648584,-0.9155816,-0.2700969,1.623906,358.9716,355.281,0.02793336,0.00656035,0.0109102,-0.02060977,-0.2230025,-0.1637657,-0.004704077,-0.9341475,-0.2750521,9.892372,0.5936415,357.9708,
123.576,-0.01611155,-0.008884626,0.008687433,-0.02946372,-0.08376753,-0.05808865,-0.1192907,-0.4489935,-0.6271143,354.1068,0.08770429,358.6117,0.0152138,0.009517848,-0.0009524598,0.04018616,-0.08775803,-0.1197688,-0.1645294,-0.9153725,-0.269695,1.578234,359.1052,355.4608,0.03853662,0.009140597,0.01230919,-0.01809608,-0.2964278,-0.1586137,-0.004490056,-0.9342328,-0.2739098,9.88337,0.9838141,358.027,
137.325,-0.0178571,-0.008965233,0.008156896,-0.0204645,-0.08742652,-0.04192094,-0.1196099,-0.4491391,-0.6270471,354.1149,0.1670352,358.6149,0.01952968,0.01166411,0.0008403771,0.03157126,-0.1037185,-0.1402134,-0.1643347,-0.9150971,-0.2703026,1.547306,359.2338,355.6284,0.04593845,-0.0005756496,0.01276958,-0.1124136,-0.3222142,-0.2115159,-0.003867051,-0.9348906,-0.2743256,10.10814,1.373746,358.2352,
151.419,-0.01945374,-0.01029975,0.007772455,-0.02418353,-0.09371864,-0.03085341,-0.1198836,-0.4493478,-0.6269855,354.151,0.2446102,358.6323,0.02294846,0.01666839,1.409557E-05,0.07846959,-0.1208718,-0.1831144,-0.1638575,-0.9147462,-0.269964,1.390097,359.4032,355.9043,0.05423731,-0.005296329,0.01106553,-0.1769947,-0.3533685,-0.304675,-0.003326754,-0.934209,-0.2738358,10.3532,1.846631,358.5959,
165.358,-0.02090233,-0.01181886,0.007372403,-0.03623993,-0.0999326,-0.02640158,-0.1201767,-0.4495908,-0.6269407,354.2017,0.3311521,358.6673,0.02614913,0.01808909,0.001270466,0.07154201,-0.1184128,-0.1695673,-0.1635223,-0.9145653,-0.2701893,1.33643,359.4982,356.0247,0.06836644,-0.003262491,0.005689451,-0.1185704,-0.4365152,-0.33595,-0.002532428,-0.9344774,-0.2741896,10.30876,2.433337,358.839,
