time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.301,0.006203336,0.002092012,-0.005475295,0.008993187,-0.04637053,-0.023708,-0.02949458,0.4298467,0.08310047,357.9187,1.202543,0.4058757,0.005847204,0.02905024,0.05608171,0.02783714,-0.1576499,0.04507847,-0.1573993,0.08945122,0.306424,331.8526,351.2694,8.603408,-0.005224248,-0.04837821,0.0768016,-0.5683886,0.2310721,0.0775925,0.09709314,0.07314725,0.284707,334.5807,4.935094,350.5359,
13.097,0.00634091,0.003213611,-0.008434476,0.02256116,-0.04461923,-0.03377397,-0.02940096,0.4299325,0.08291243,357.868,1.234042,0.4390167,0.009677384,0.0587427,0.08482736,-0.02680186,-0.3210162,0.03155883,-0.1573977,0.09159397,0.3083515,332.0786,351.6098,8.834603,-0.02406911,-0.02248124,0.08334799,-0.4119559,0.3092968,-0.05276608,0.09655019,0.07398738,0.2862133,334.699,4.456049,350.6053,
26.473,0.006224398,0.003636902,-0.01107529,0.03539276,-0.0430317,-0.02992999,-0.02931623,0.4300132,0.08270843,357.8237,1.264797,0.4423403,0.01563864,0.09394468,0.1020161,-0.003478596,-0.3862775,0.0946039,-0.1574676,0.09410401,0.3101863,332.1015,352.0467,8.884132,-0.03495315,0.01072182,0.08612998,-0.2629699,0.1765448,-0.1527411,0.09595268,0.07543586,0.287517,334.6255,4.25148,350.9164,
40.252,0.00580982,0.003132927,-0.01447986,0.02624037,-0.04534924,-0.01348797,-0.02925006,0.4300664,0.08243196,357.8389,1.305477,0.4113598,0.02020156,0.1516823,0.1102791,0.1355026,-0.2696345,0.2235689,-0.157326,0.09774841,0.3118622,331.6997,352.4139,8.613819,-0.04082,0.0860934,0.07873407,0.1510711,-0.09906222,-0.2493195,0.09541567,0.07873999,0.2883251,333.7377,4.253994,351.4017,
54.207,0.00518851,0.0009492363,-0.01807199,0.01090794,-0.04742778,0.008491236,-0.02920964,0.4300438,0.08208691,357.8617,1.348858,0.3824298,0.02603881,0.2235707,0.1107476,0.380613,-0.03588917,0.4045505,-0.1571233,0.1023891,0.3138404,330.8123,352.756,8.003618,-0.03725836,0.1713636,0.05375428,0.7300686,-0.2793283,-0.2829455,0.09531138,0.08248245,0.2887483,332.1129,4.256536,351.709,
68.176,0.004418989,-0.001825708,-0.0220962,-0.01545892,-0.04625041,0.01876894,-0.02922109,0.42986,0.08150578,357.9221,1.381453,0.349951,0.02994503,0.2973979,0.1168049,0.5461374,0.211175,0.5347211,-0.1568799,0.1082295,0.3163204,329.886,353.0032,7.227984,-0.02672058,0.2692404,0.03066622,1.255414,-0.4000798,-0.2829112,0.09536546,0.08793797,0.2905622,330.1126,4.27081,351.9361,
82.13,0.003899555,-0.004420272,-0.02675014,-0.04322115,-0.03592917,0.02198329,-0.02916016,0.4297519,0.08098374,358.0066,1.384454,0.3351417,0.0306882,0.3699648,0.1240535,0.6825463,0.4242851,0.5965033,-0.1567009,0.1143698,0.3183306,328.9063,353.1374,6.445395,-0.01099141,0.356602,0.04387899,1.320295,-0.3865143,-0.2679141,0.09591696,0.09439653,0.2924593,328.8839,4.192866,352.1327,
95.926,0.003416559,-0.006391056,-0.03174309,-0.06803426,-0.02169954,0.01845721,-0.0291376,0.4296429,0.08038577,358.0973,1.382232,0.3363089,0.03036454,0.4390741,0.1355615,0.7443444,0.4544485,0.5883112,-0.1565581,0.1224946,0.3215473,328.0869,353.3372,5.909419,0.01063921,0.416531,0.06962399,1.204469,-0.3624257,-0.1416066,0.09666557,0.1017019,0.2950097,328.1142,4.399193,352.068,
110.083,0.002850168,-0.007917616,-0.03630623,-0.08112872,-0.01051364,0.01373762,-0.02906969,0.4295115,0.07973294,358.183,1.365458,0.3454975,0.02899456,0.5069646,0.1487303,0.7867407,0.2821119,0.5316778,-0.1566906,0.1303424,0.3237664,327.3607,353.6851,5.786767,0.04354948,0.4914257,0.09965664,1.120971,-0.3603739,0.08819091,0.09776571,0.1101096,0.2976005,327.3681,5.03082,351.6249,
123.663,0.002704303,-0.008535844,-0.04207261,-0.09296485,0.003365773,0.01636035,-0.02902925,0.4294348,0.07897448,358.268,1.350266,0.3178127,0.02650293,0.5710655,0.1637608,0.7810519,0.009818831,0.4542997,-0.15681,0.1401286,0.3273481,326.8116,354.1502,5.985143,0.07242294,0.5581504,0.1266016,1.146068,-0.3522085,0.3079727,0.09898266,0.1192406,0.2999978,326.4349,5.85736,350.9539,
