time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.299,0.01490449,-0.000208471,-0.001179346,0.02072883,-0.02916867,0.003788852,-0.07730079,0.427158,-0.06531176,356.0176,358.6264,359.9345,-0.142572,-0.02257253,0.02566781,-0.1273473,0.2911276,0.05913436,-0.172225,0.2673769,0.4393815,337.4454,345.5809,3.43537,0.2021624,0.002652846,0.02424623,-0.1702566,-0.3528478,-0.1731886,0.007046116,0.2654693,0.4573393,344.5109,358.0076,349.8743,
12.844,0.01532492,-0.001426399,-0.0003307764,0.006849729,-0.02913314,0.003951745,-0.07707481,0.4271066,-0.06530696,356.031,358.6476,359.9325,-0.1802133,-0.01669389,0.02591548,-0.1294954,0.3677538,0.09652343,-0.1759202,0.2674237,0.439645,337.4185,345.3809,3.081815,0.2619168,0.01608391,0.02097685,-0.09381591,-0.254733,0.1209382,0.01219745,0.2659131,0.4576223,344.365,358.3486,349.2936,
26.244,0.0156908,-0.002176626,0.0009110323,-0.006025922,-0.02683701,0.004942876,-0.07683809,0.4270578,-0.06524298,356.0612,358.6727,359.926,-0.23332,-0.004868778,0.0196543,-0.07542507,0.4688612,0.1285825,-0.1806545,0.2675299,0.439713,337.2397,345.0711,2.742614,0.3224819,0.0340574,0.02097298,-0.04918634,-0.3279241,0.1963724,0.01794749,0.2668432,0.4580319,344.2396,358.815,349.1113,
40.114,0.0153814,-0.002092953,0.0028714,-0.01007677,-0.02728688,0.01772348,-0.07662544,0.4270339,-0.06512713,356.0637,358.6947,359.8694,-0.2873006,0.001602998,0.01204826,-0.02978681,0.5785928,0.1260372,-0.1859569,0.2673841,0.4397281,337.0613,344.64,2.424874,0.3855077,0.05309346,0.01886414,0.03160344,-0.5272092,0.1596723,0.0245089,0.2679952,0.4583212,343.9548,359.4737,349.2713,
53.947,0.01481358,-0.002020907,0.004707048,0.005539412,-0.02859145,0.04053387,-0.0764319,0.427011,-0.06500238,356.0125,358.7321,359.8045,-0.3368236,0.001361458,0.009856537,-0.01951206,0.6354724,0.05019823,-0.191645,0.2673522,0.4400724,337.0211,344.1119,2.261867,0.4416928,0.07070392,0.01719013,0.1129042,-0.6646301,0.1424537,0.03177793,0.2693072,0.4587395,343.6013,0.1385065,349.4268,
67.979,0.01377309,-0.00282623,0.006211136,0.003879026,-0.02946799,0.05026123,-0.07627214,0.4269527,-0.06489229,356.0244,358.7658,359.7622,-0.398058,-0.002307331,0.01433255,-0.103707,0.6941862,-0.01373091,-0.1985109,0.2671323,0.4401908,337.1924,343.5846,1.989876,0.5248942,0.09085146,0.009789452,0.224296,-0.7882469,0.2164513,0.0411419,0.2703963,0.4581206,343.0814,0.9606199,349.3944,
81.868,0.01284304,-0.00413727,0.007465396,-0.01869866,-0.02268843,0.03599563,-0.07612211,0.426861,-0.06476825,356.0992,358.7632,359.7703,-0.4501576,-0.001513285,0.01495405,-0.1859764,0.803457,0.003827258,-0.205881,0.267858,0.441085,337.3285,343.0662,1.47612,0.605775,0.1044561,-0.00295715,0.2939506,-0.8419778,0.3901076,0.05101029,0.2721962,0.4584669,342.59,1.897852,349.0244,
95.756,0.01192885,-0.005499607,0.008891141,-0.03356151,-0.007909006,0.0005815083,-0.07595313,0.4267484,-0.06462935,356.1411,358.7244,359.8472,-0.4951839,0.01087722,0.007627413,-0.1531858,0.9415127,0.0878493,-0.2136408,0.2683929,0.4410815,337.1563,342.4879,0.8533815,0.6742684,0.1138781,-0.01783925,0.3586643,-0.8189516,0.5470753,0.06161543,0.2734323,0.4578285,342.0717,2.783355,348.4831,
109.469,0.01146738,-0.006304582,0.01037217,-0.03548561,0.006541144,-0.03721248,-0.07577923,0.4266372,-0.06446603,356.1726,358.6882,359.9361,-0.5497484,0.02914566,-0.005433962,-0.06675136,1.084291,0.1667717,-0.2224908,0.2685355,0.440031,336.7794,341.8062,0.2145864,0.7610822,0.1116392,-0.02984491,0.3384594,-0.8109359,0.6510053,0.07400825,0.2752426,0.4573675,341.7283,3.708282,347.9483,
123.351,0.01158727,-0.006862394,0.01167286,-0.03096935,0.01347843,-0.05842316,-0.07560623,0.4265104,-0.06428823,356.1871,358.662,-0.002294239,-0.6101241,0.04631507,-0.01780374,0.03093711,1.128978,0.1441371,-0.2324418,0.2698997,0.440458,336.4496,341.0561,359.854,0.8208584,0.1221011,-0.03531277,0.2290076,-0.8707181,0.5833294,0.08626739,0.2766056,0.4573319,341.6053,4.589482,347.839,
137.268,0.01234897,-0.00734414,0.01301984,-0.04166348,0.01362313,-0.05799585,-0.07541624,0.4263723,-0.06408891,356.2609,358.6548,0.02051624,-0.6745394,0.05830563,-0.02820015,0.04587697,1.148598,0.06921317,-0.2433276,0.2705402,0.4395011,336.3297,340.2645,359.5622,0.8992736,0.12518,-0.04834613,0.1430646,-1.148877,0.5326183,0.09996609,0.2780288,0.4551323,341.4057,5.997066,347.9613,
