time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.793,-0.07984723,0.6723956,-0.01352619,0.5717572,0.02142455,0.142907,0.2053405,0.3898405,0.1425819,354.3297,356.0676,358.9273,-0.1456528,1.104706,1.802325,2.26947,0.08422279,4.306662,-0.06045768,-0.4427035,0.06856309,49.25571,306.8959,349.136,0.2806464,-1.693945,-1.102569,-5.684812,-0.927357,-0.09906229,0.4489214,-0.280915,0.2753853,13.60842,8.167792,355.401,
12.029,-0.08205876,0.5958272,-0.01142238,0.6680714,0.006809336,0.07703568,0.2041572,0.3952006,0.1425368,353.7042,356.0388,359.035,-0.08981287,1.183043,1.897031,2.698856,0.005386889,3.967389,-0.06007115,-0.4261288,0.09482311,46.63923,310.4258,353.4865,0.2858681,-1.709592,-1.278728,-5.991838,-0.9050027,0.3071446,0.4516088,-0.3001839,0.2560134,18.85371,9.47957,355.971,
24.917,-0.08355865,0.506843,-0.007614351,0.6983526,0.01307587,0.03763264,0.2029892,0.3988083,0.142596,353.1541,355.9716,359.1421,-0.041279,1.266845,1.974286,3.009681,-0.3320575,3.704627,-0.05880923,-0.4083115,0.1216486,43.47161,313.6266,356.8176,0.2744788,-1.706857,-1.421783,-6.102361,-0.8832185,0.7692521,0.4542639,-0.3187481,0.2349678,24.06887,10.50742,356.1615,
39.036,-0.08482225,0.3997287,-0.002967624,0.658608,0.03215006,0.01341532,0.201775,0.4003645,0.1427242,352.7547,355.8904,359.2041,0.05255912,1.378825,2.074452,3.735458,-0.5973995,3.332139,-0.05597276,-0.3882493,0.1498131,40.14999,318.0544,0.686034,0.2652517,-1.664501,-1.588689,-5.935911,-0.9028756,0.9796401,0.4572212,-0.3367451,0.2108109,28.65522,11.54372,356.4537,
52.963,-0.08645909,0.2582044,0.00395166,0.5275984,0.05860584,0.02738139,0.2005626,0.3996672,0.1429539,352.6194,355.8018,359.1429,0.123462,1.493666,2.129069,4.239527,-0.7970581,3.21364,-0.05316144,-0.3671969,0.177245,36.30546,321.9044,4.022261,0.2726293,-1.59216,-1.699497,-5.658785,-0.8774789,0.5840865,0.4594621,-0.35304,0.1866239,32.27632,13.54291,358.408,
66.479,-0.08765452,0.1154897,0.01065697,0.364652,0.08431681,0.08396255,0.1992645,0.3970825,0.143253,352.5876,355.7475,358.9314,0.2137929,1.646635,2.164012,4.940439,-0.9166968,3.130511,-0.04904217,-0.3435827,0.204529,31.8525,326.1249,7.476777,0.2624731,-1.500578,-1.807961,-5.238119,-0.6901204,0.3945726,0.4618101,-0.3690058,0.161102,35.3422,15.05428,0.2376639,
80.81,-0.08893812,-0.03288746,0.01814316,0.2515517,0.09567532,0.1686422,0.1979672,0.3923858,0.1436881,352.4903,355.7324,358.6353,0.3005275,1.821906,2.145518,5.547113,-1.062174,3.185974,-0.04409004,-0.3174089,0.2292309,26.68689,330.0115,10.30942,0.2568623,-1.436193,-1.875543,-4.993373,-0.6325963,0.3484738,0.4645652,-0.3847418,0.1360402,38.57131,16.73814,2.023205,
94.573,-0.09025447,-0.1838649,0.02602776,0.2059727,0.09819354,0.2535777,0.1966505,0.3854577,0.1443194,352.2887,355.7402,358.3133,0.373569,1.995446,2.066506,6.034667,-1.020654,3.277064,-0.0388514,-0.2902862,0.252325,21.17326,333.3247,12.67741,0.2594491,-1.384667,-1.949134,-4.843412,-0.8140264,0.431344,0.4675487,-0.4011005,0.110153,41.97764,18.66414,3.446552,
108.366,-0.09173076,-0.3339492,0.03409108,0.155153,0.08787473,0.3090439,0.1953187,0.3766372,0.1450241,352.2184,355.7736,358.0085,0.4370954,2.145699,1.937099,6.519662,-0.7658204,3.101491,-0.03362311,-0.2617886,0.2726342,15.74752,336.5143,15.1852,0.2548242,-1.37899,-2.021435,-5.02752,-1.131689,0.6394944,0.4703903,-0.4183748,0.08353557,46.26688,20.93149,4.856544,
122.228,-0.09290405,-0.4766262,0.04094896,0.05082472,0.05924686,0.307071,0.193958,0.3664281,0.1457177,352.3679,355.8525,357.7919,0.4885421,2.290632,1.754764,6.941165,-0.5376028,3.084895,-0.02727712,-0.2320061,0.2887215,9.740561,339.2773,17.09727,0.2806323,-1.316082,-2.068418,-5.042644,-0.9910905,0.2547802,0.4744284,-0.4322672,0.05822632,49.31059,24.93488,8.603166,
