time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.307,0.01124516,-0.002356323,-0.04314478,0.003405154,-0.07641761,-0.01197485,0.04270607,0.04852058,-0.3610129,5.069374,3.192711,355.9008,0.006787072,0.4553611,0.1044942,1.00024,0.3767852,-0.009518648,-0.1359924,-0.4234216,-0.1549945,4.000499,349.6885,21.10888,0.002811047,0.3182894,0.0226821,0.6824456,-0.1433589,-0.2958452,0.1287824,-0.4269685,-0.12483,6.16221,5.29936,351.9013,
13.223,0.009645628,-0.0004383749,-0.04255991,0.01125175,-0.0778162,-0.01720029,0.0427959,0.0486421,-0.3615735,5.03667,3.259311,355.897,0.0189198,0.5050097,0.1048204,1.132672,0.3288361,0.1629718,-0.1356124,-0.4157771,-0.1536879,2.799619,349.913,21.08167,-0.006187197,0.3434748,0.0200617,0.7816615,0.0380297,0.323265,0.1291094,-0.4221506,-0.1246773,5.68199,4.541751,350.5219,
26.486,0.008260755,0.0008552293,-0.04222442,0.02537872,-0.07518831,-0.02006195,0.04286528,0.04863663,-0.3621838,4.982002,3.311314,355.9075,0.03571526,0.5689438,0.1059624,1.359749,0.2231689,0.2330345,-0.1353143,-0.4070653,-0.1521579,1.394939,350.4587,21.22431,-0.01244419,0.3697819,0.02356356,0.7920968,0.1842663,0.4230734,0.129289,-0.41696,-0.123951,5.188859,3.911517,349.9436,
40.032,0.006387955,0.0008339412,-0.04254758,0.03214663,-0.07008401,-0.02407081,0.04291427,0.04852815,-0.3628395,4.941718,3.359831,355.9277,0.04600748,0.630905,0.1097515,1.495786,0.1330539,0.2722818,-0.1350564,-0.3975535,-0.1504959,0.04467232,351.0462,21.34468,-0.001729026,0.3952205,0.03287228,0.6771855,0.08463031,0.08217878,0.1293909,-0.4106061,-0.1228997,4.753975,4.047061,350.3937,
53.954,0.004514157,-0.0002938658,-0.0434467,0.02526058,-0.06306961,-0.0265774,0.04296637,0.04849871,-0.3635197,4.946219,3.391999,355.949,0.05250226,0.7181336,0.1219202,1.58647,0.0134083,0.2316369,-0.1349874,-0.3858678,-0.1480227,358.799,351.7621,21.56513,0.01623681,0.4382825,0.05331522,0.547393,-0.07383715,-0.1314525,0.1298621,-0.402648,-0.1218323,4.422554,4.44509,350.8323,
68.004,0.002916843,-0.0001064551,-0.04434347,0.01158342,-0.05132243,-0.03734609,0.04297978,0.04858346,-0.3641469,4.942904,3.426523,356.0074,0.04968322,0.8003966,0.13778,1.698322,-0.05088916,0.05110648,-0.135263,-0.3735268,-0.1461543,357.5507,352.4731,22.18249,0.03166182,0.5057478,0.07255504,0.6622514,-0.1582818,0.0434086,0.1308583,-0.393802,-0.1201487,3.729325,4.538302,350.3676,
81.671,0.001773818,0.002212132,-0.04445161,0.02088608,-0.04546965,-0.04798703,0.04300839,0.04876922,-0.3647819,4.887486,3.457658,356.0476,0.03865387,0.888758,0.1542191,1.796248,-0.05311466,-0.03612262,-0.1357621,-0.3599085,-0.1427399,356.175,353.1001,22.70932,0.04180021,0.5995241,0.09076548,0.8581074,-0.155454,0.4142899,0.131925,-0.3826744,-0.1185465,2.863663,4.335135,349.2369,
95.842,0.0008032992,0.004449354,-0.04466616,0.045494,-0.04567213,-0.05030961,0.04297185,0.04885784,-0.3654047,4.797515,3.499942,356.0771,0.02193646,1.014729,0.1614895,1.9958,0.04379625,0.02398255,-0.1364382,-0.3435193,-0.1409186,354.3735,353.6499,22.98382,0.03157116,0.700389,0.09988817,1.18091,0.05515601,0.7263823,0.1324117,-0.3724937,-0.1173926,1.596835,3.523489,347.9316,
109.922,-0.0005967815,0.004773395,-0.04567549,0.05341283,-0.03965201,-0.05435708,0.04288226,0.04885104,-0.3660527,4.747334,3.521082,356.1152,0.007991602,1.128811,0.1526352,2.230578,0.2381408,0.2215128,-0.1372534,-0.3264764,-0.1387483,352.1246,354.0716,22.8548,0.01041727,0.8057011,0.1164851,1.281957,0.3287627,0.5606853,0.1329121,-0.3575751,-0.1141388,0.5837278,2.527806,347.7097,
123.752,-0.002181584,0.003011592,-0.04665651,0.04979335,-0.02180998,-0.05958323,0.04284108,0.04881594,-0.3667369,4.718374,3.505548,356.1729,-0.01272294,1.270971,0.1324042,2.414727,0.5588774,0.5619659,-0.1382993,-0.3065047,-0.1373898,349.5205,354.2157,22.12033,0.0150304,0.9116496,0.1309114,1.427531,0.2404193,0.2453621,0.1336133,-0.3428664,-0.1130394,359.1661,2.251279,347.9467,
