time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.308,0.01255935,-0.02375944,-0.02443002,-0.1557563,-0.01666572,0.05913217,-0.4417505,0.001648068,-0.6396465,5.848683,4.994555,358.3217,0.04442444,0.2355996,0.2700263,0.2307927,-0.1616804,1.062515,-0.5843058,-0.5297881,-0.4924225,328.1977,322.8902,0.1731637,-0.03537616,0.1708875,0.2430627,0.1541588,0.4164866,-0.6876556,-0.3196779,-0.5340425,-0.4957051,351.1843,17.02394,6.459702,
13.205,0.01321858,-0.02189557,-0.03014124,-0.1376864,-0.04578127,0.06645916,-0.4415495,0.001424253,-0.6402335,5.931844,5.061039,358.2598,0.02487232,0.2702285,0.3049993,0.379571,-0.1655141,1.021278,-0.5848045,-0.5256253,-0.4868857,327.4174,322.9185,0.6750905,-0.06252649,0.2009572,0.2840456,0.02769672,0.380585,-1.037033,-0.320927,-0.5303886,-0.4910302,350.5124,16.39734,7.731258,
26.772,0.01424801,-0.02005617,-0.03604888,-0.1232661,-0.06109859,0.0607533,-0.4413157,0.001162618,-0.6409434,6.007491,5.117176,358.2355,0.007836365,0.306345,0.3338048,0.4892694,-0.1254351,0.9943181,-0.5855272,-0.5206617,-0.4811005,326.5989,322.8613,1.164636,-0.08281672,0.2543112,0.3122812,0.2125234,0.5734652,-1.139783,-0.321337,-0.5258855,-0.4861008,349.4739,15.44743,8.238023,
40.411,0.01503261,-0.01845323,-0.0414662,-0.1067421,-0.06836063,0.05206609,-0.4411177,0.000975579,-0.6416447,6.081816,5.184213,358.2245,-0.01543309,0.367448,0.3617714,0.6445306,-0.02421096,0.9899487,-0.5866427,-0.5138608,-0.4745825,325.6139,322.521,1.794641,-0.08223371,0.3323494,0.3375758,0.4750067,0.6436992,-1.162366,-0.3213192,-0.5196018,-0.4805757,348.236,14.72307,8.483166,
54.579,0.01515262,-0.01681571,-0.04598848,-0.09162427,-0.08118458,0.05002537,-0.440969,0.0007922947,-0.6423453,6.126862,5.264761,358.1753,-0.03650924,0.4465245,0.3839106,0.8390417,0.016793,1.047599,-0.5877255,-0.5060407,-0.468402,324.458,322.1044,2.691009,-0.06344924,0.4210151,0.3535718,0.7812048,0.6340579,-1.072943,-0.3209922,-0.5120493,-0.475135,346.8893,14.31501,8.403716,
68.506,0.01546035,-0.01547434,-0.05030448,-0.08309563,-0.08276239,0.04381516,-0.4407618,0.0005991161,-0.6431601,6.179129,5.318638,358.151,-0.05977466,0.5245834,0.3970848,1.06449,0.01402108,1.072594,-0.5894527,-0.4969118,-0.4616978,323.3074,321.4729,3.945189,-0.03767624,0.5247473,0.3701128,1.101679,0.7293749,-0.8470455,-0.3201611,-0.5025864,-0.4687936,345.4941,13.89993,7.77604,
82.138,0.01500808,-0.01450616,-0.05385209,-0.07089592,-0.08467221,0.05235858,-0.440611,0.0004203618,-0.6439848,6.232132,5.379953,358.0878,-0.09156813,0.6374508,0.4152422,1.312133,-0.05931047,1.06654,-0.5915278,-0.4853685,-0.4547267,322.2516,320.6525,5.631753,-0.008469984,0.638974,0.3873345,1.390481,0.8591062,-0.6199356,-0.3188333,-0.491511,-0.4632505,344.0297,13.45942,6.852148,
96.056,0.01372679,-0.01269763,-0.05627512,-0.06673035,-0.089019,0.06494233,-0.4404575,0.0003752708,-0.6448133,6.302917,5.437844,358.0174,-0.107382,0.741424,0.4195758,1.478206,-0.009343609,1.166679,-0.5936035,-0.4725557,-0.4474082,320.9079,319.8347,7.194752,0.03029965,0.7655255,0.39769,1.727092,0.9004255,-0.4477859,-0.3168604,-0.4787226,-0.4565315,342.3152,13.26672,5.726491,
110.302,0.01270468,-0.01004936,-0.05799617,-0.05786898,-0.08070884,0.06322277,-0.4403161,0.0002618432,-0.6456721,6.32618,5.477583,357.9836,-0.1020511,0.8534406,0.4092836,1.583305,0.1578905,1.495356,-0.5948292,-0.4594316,-0.4415974,318.8863,319.2745,8.53875,0.06652553,0.8804259,0.4005383,2.015937,0.8522085,-0.3983941,-0.314682,-0.4648262,-0.4502476,340.3931,13.241,4.695786,
123.694,0.0115977,-0.008562244,-0.06000786,-0.06405994,-0.06573424,0.04794536,-0.4401832,6.479025E-05,-0.6465852,6.396841,5.514029,357.9984,-0.09638733,0.9633799,0.3864665,1.711105,0.3762631,1.799756,-0.5972457,-0.4438304,-0.4349498,316.5475,318.6046,9.976179,0.1146724,1.032037,0.3936977,2.369139,0.6425906,-0.4933646,-0.3119937,-0.4480355,-0.4448592,337.982,13.57767,3.844827,
