time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.325,-0.003221219,-0.00125513,0.0002576927,-0.004795135,-0.002822921,-0.005553346,0.07790345,-0.1834638,-0.2751732,349.8187,2.521423,0.5497125,-0.0007759706,0.002223981,-0.001421652,0.002867406,-0.009597734,-0.01282893,0.04384419,-0.8165139,-0.06460866,351.9742,24.06431,353.2657,-0.02278256,-0.0261649,-0.03896601,0.5622215,0.2879701,-0.2592226,0.1449121,-0.8229855,-0.07872097,4.567048,327.6988,11.59603,
11.843,-0.003232714,-0.0009245985,-8.322729E-05,-0.01027205,0.002100845,-0.007004804,0.07785577,-0.18347,-0.2751787,349.8354,2.508523,0.5579493,-0.0007938507,0.001911393,-0.001606692,0.003292698,-0.01005317,-0.009184913,0.04383168,-0.8164974,-0.06462227,351.9656,24.07109,353.2706,-0.03554556,-0.02531475,-0.04007953,0.5203938,0.2713012,-0.3286506,0.1445107,-0.8229387,-0.07935084,4.795885,327.661,12.12148,
25.152,-0.003171974,-0.00114681,0.0002678799,-0.002051425,0.0007899274,-0.01162256,0.07780844,-0.1834945,-0.2751601,349.8223,2.505013,0.5739983,-0.001140273,0.001199519,-0.001374888,-0.0008413971,-0.006975836,-0.008306673,0.04381952,-0.8164983,-0.06464113,351.9608,24.07379,353.2748,-0.03850924,-0.007202165,-0.0483632,0.3712928,0.3520992,-0.08513442,0.1444447,-0.8228704,-0.07994471,4.406569,327.257,12.08572,
38.941,-0.003090976,-0.001030776,0.0004461176,-0.002083319,-0.0005625953,-0.01225648,0.07777476,-0.1835115,-0.2751198,349.8239,2.50423,0.5850806,-0.001488857,0.0003516452,-0.0005554592,-0.00388292,0.0007552581,-0.003171441,0.04380389,-0.8165052,-0.06465687,351.957,24.07569,353.2784,-0.0387054,0.003214092,-0.04540134,0.2991031,0.3428327,-0.0102909,0.1441082,-0.8229843,-0.08007711,4.214981,327.0322,12.17209,
52.906,-0.002950973,-0.00096261,0.0007181519,-0.001062872,0.002800435,-0.01243502,0.07775551,-0.1835345,-0.2750525,349.8221,2.494197,0.5934376,-0.00154355,-0.0001253251,0.0002156903,-0.002283784,0.00681038,0.003718808,0.04379614,-0.8165091,-0.06465964,351.9575,24.0721,353.2809,-0.03496475,-0.0003626598,-0.02928772,0.2747815,0.23702,-0.0827956,0.1434851,-0.8229027,-0.07972288,4.31095,327.0728,12.41411,
66.861,-0.003134149,-0.001033071,0.001258617,-1.948642E-06,0.002814844,-0.01251202,0.07772326,-0.1835612,-0.2749746,349.8195,2.488983,0.6027616,-0.001355127,-7.976644E-05,0.00107653,-0.01385366,0.005888803,0.009897515,0.04378985,-0.8165005,-0.06464455,351.9628,24.06831,353.2852,-0.02627457,0.002070886,-0.01720799,0.145211,0.1548531,-0.03211967,0.1439182,-0.8226073,-0.08022082,4.302231,327.085,12.28023,
80.833,-0.003092902,-0.0006099527,0.001194079,-0.005215732,0.006798375,-0.01022827,0.07767951,-0.1835526,-0.274972,349.8297,2.475855,0.605899,-0.002092569,0.001648039,0.0008127489,-0.006545619,0.008521485,-0.00683017,0.04377424,-0.8164842,-0.06463648,351.9586,24.0636,353.2938,-0.02006882,-0.0001922639,-0.009023312,-0.1637331,0.1277813,0.005327269,0.1437287,-0.8228482,-0.07920046,4.465401,326.9208,11.75101,
94.447,-0.003122542,-0.0008941026,0.001573822,-0.0007408188,0.006924284,-0.007167353,0.0776338,-0.1835684,-0.2749503,349.8214,2.470784,0.6049198,-0.002235404,0.002654864,-0.0004992026,0.00538881,-0.008987652,-0.02929348,0.04375909,-0.8164644,-0.06461423,351.9469,24.06161,353.3079,-0.01066771,-0.007594483,0.003740528,-0.4776391,0.05530776,-0.005214958,0.1442683,-0.8224528,-0.07909542,4.87084,326.647,10.83126,
108.673,-0.002928399,-0.001025258,0.001783193,-0.002733066,0.007602853,-0.005014306,0.07760638,-0.1835985,-0.2749062,349.8278,2.462195,0.6048707,-0.001083036,-0.0001210237,0.001669643,-0.02272128,0.008760544,0.01003102,0.0437717,-0.8164477,-0.06457333,351.963,24.05596,353.3158,0.004887597,-0.006402163,0.01726997,-0.6552814,-0.06033707,0.0806957,0.1447112,-0.8225477,-0.07812284,5.029941,326.6678,9.93432,
122.463,-0.002678667,-0.001075398,0.001833585,-0.004696338,0.009633849,-0.002227707,0.07758641,-0.1836366,-0.2748511,349.8358,2.452134,0.6009098,-0.001078865,-0.0003932363,0.001425469,-0.02090356,0.01113799,0.01015002,0.04376882,-0.8164409,-0.06457534,351.9714,24.05009,353.3234,0.02247482,-0.0143355,0.03491376,-0.5396785,-0.2355582,-0.002062112,0.1451107,-0.8237253,-0.07716069,5.298861,327.0755,9.671938,
