time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.343,-0.0024444,0.002215597,-0.001776158,0.01736322,0.02048572,-0.005391333,-0.01116097,0.2337144,-0.4063283,6.485632,1.048063,0.04198217,-0.005043515,-0.0005566809,-0.0001218452,-0.00281428,0.02559212,-0.001821817,-0.1361813,-0.5006692,-0.3217066,29.43187,358.7546,9.611355,-0.008755998,0.004467447,-0.00302699,0.07324686,0.02056567,0.03615746,0.1448632,-0.5139076,-0.3335095,31.16658,4.407954,2.770571,
12.944,-0.001718242,0.002000918,-0.001666341,0.01737905,0.01273703,-0.005011303,-0.0111689,0.233739,-0.4063317,6.471475,1.054746,0.04340857,-0.003987689,-0.002930257,-0.0008875149,-0.01298823,0.01322065,-0.001267219,-0.1362268,-0.500706,-0.3217039,29.43944,358.7478,9.617146,-0.008018493,-0.01261164,-0.001625714,-0.09726486,0.05454743,-0.02646841,0.1446809,-0.5141118,-0.3333949,31.30661,4.437186,2.884552,
25.805,-0.0008588062,0.001634211,-0.001551907,0.01634381,0.002662715,-0.004047775,-0.01116061,0.2337554,-0.4063333,6.459988,1.06097,0.04221194,-0.002511018,-0.004281415,-0.001163672,-0.02502353,0.0007460733,-0.003916571,-0.13626,-0.5007522,-0.3217062,29.45804,358.7441,9.618729,-0.005759152,-0.009249151,-0.000935866,-0.06728912,0.07343835,-0.06147594,0.1446238,-0.5140213,-0.333437,31.33212,4.476331,2.999217,
40.014,-0.0001494156,0.001627318,-0.001515107,0.008880646,-0.003811338,-0.004318991,-0.0111509,0.2337706,-0.4063523,6.464464,1.075578,0.04372324,-0.003148376,-0.0001122844,-0.0009773945,0.009134521,0.01577429,0.01437021,-0.1362833,-0.5007742,-0.3217174,29.45779,358.7301,9.611364,-0.005225406,0.004952984,-8.85578E-05,0.04884811,0.04302511,0.004126336,0.1446315,-0.5140339,-0.3334548,31.24157,4.429692,2.953825,
53.959,0.0002436563,0.001222959,-0.001025071,0.00789108,-0.01129248,-0.0005665813,-0.01114523,0.2337627,-0.406361,6.459852,1.094935,0.03471685,-0.001960902,0.0007484854,8.501863E-05,-0.001645376,0.01139349,0.0007716617,-0.136307,-0.5007745,-0.3217214,29.45356,358.7213,9.611788,-0.001263274,0.006581633,0.0001790126,0.06736429,-0.02253783,0.03961955,0.1446499,-0.5140252,-0.3334518,31.18782,4.397557,2.88739,
67.762,0.0007798881,0.0008983186,-0.0008358413,0.0005151729,-0.01568344,0.004021866,-0.0111202,0.2337539,-0.4063789,6.471462,1.111581,0.02215391,-0.001135283,0.002765211,0.0001800688,0.01751733,0.02305432,0.0007566918,-0.1363243,-0.5007545,-0.3217331,29.44241,358.7118,9.623023,0.003951781,0.007092404,0.001189332,0.06420455,-0.06245416,0.03605281,0.1447344,-0.5139808,-0.333387,31.152,4.396738,2.813414,
81.382,0.001372953,0.00018098,-0.0006563662,-0.00590133,-0.01982966,0.003183333,-0.0110622,0.2337239,-0.4064043,6.487803,1.131267,0.01196661,0.0002534612,0.003159639,-0.0001935128,0.02718267,0.02156899,-0.003366573,-0.1363214,-0.5007524,-0.321744,29.43307,358.7117,9.633972,0.009012778,0.01194861,0.003262601,0.09328847,-0.105956,0.05459091,0.1450332,-0.5136558,-0.3334429,31.04119,4.39222,2.624155,
95.659,0.001565307,-0.0006485658,-0.0004064912,-0.01017299,-0.02293944,0.002548336,-0.01101315,0.2336791,-0.4064243,6.503235,1.160827,0.0150081,0.002600544,-4.24071E-05,-0.0001917451,-0.005390109,-0.02363722,-0.004618406,-0.1363016,-0.5007715,-0.3217393,29.43569,358.7242,9.632817,0.01315665,0.01618197,0.004041389,0.1448174,-0.134904,0.07232706,0.1454746,-0.5136403,-0.3334171,30.83731,4.368924,2.354135,
110.033,0.0015119,-0.0008267623,-0.0001463155,-0.009080406,-0.02112429,0.004041195,-0.01098955,0.2336513,-0.4064189,6.504696,1.163401,0.008815708,0.001894727,8.690392E-05,-0.0006998113,0.01632128,-0.01729854,0.005445627,-0.136275,-0.5008032,-0.321762,29.42407,358.7367,9.621719,0.01803439,0.009468311,0.005501767,0.06139082,-0.1396593,0.02599938,0.1455504,-0.5137559,-0.3330419,30.91709,4.468277,2.370178,
123.096,0.0014379,-0.0006264058,6.087043E-05,-0.002619599,-0.01645721,0.00717714,-0.01097274,0.2336398,-0.406408,6.499763,1.170392,-0.003182916,7.202181E-05,-0.002366668,0.0002752972,-0.01477383,-0.02380593,0.0008332304,-0.1362719,-0.5008262,-0.3217741,29.4329,358.7458,9.610056,0.02291602,-0.01351053,-0.000627213,-0.1117994,-0.1136286,-0.07351805,0.1456914,-0.5138339,-0.3332052,31.15804,4.70129,2.527724,
