time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.39,-0.05199751,-0.002760783,-0.04851105,-0.004319617,0.05089045,-0.05877417,0.3636933,0.03545737,0.07337627,359.1113,352.7845,2.703546,0.07905386,-0.1002063,0.4097692,-0.3026158,-0.6583308,-0.2477678,-0.2437884,-0.2984888,0.08253584,340.0961,284.2177,347.0642,0.0998973,-0.1043405,0.4513148,-0.1467416,0.8362507,-0.0344511,1.065189,-0.3506208,-0.1384673,343.662,95.65022,3.445032,
12.166,-0.0504992,-0.001984786,-0.05153911,-0.008798885,0.05345307,-0.03908275,0.3629609,0.0354965,0.07259199,359.1186,352.7407,2.660754,0.09765638,-0.1039135,0.4394222,-0.3757184,-0.6824139,-0.2984153,-0.2424501,-0.3001459,0.08845452,340.0647,285.0612,346.7665,0.09676542,-0.1154018,0.4913094,-0.04463836,0.9093257,0.1145815,1.06615,-0.3521472,-0.1314864,343.9651,94.74923,3.795915,
24.78,-0.0494434,-0.001295378,-0.05361756,0.005274844,0.05935405,-0.007677742,0.3622383,0.03549275,0.07180607,359.0612,352.6863,2.617913,0.1148597,-0.1105181,0.4569945,-0.3561445,-0.6860437,-0.2154453,-0.2409516,-0.3021568,0.09443574,340.0308,285.6624,346.7957,0.08139262,-0.1161134,0.5309812,-0.1215787,1.047414,0.1870397,1.06658,-0.3535915,-0.1242727,344.0206,93.57438,3.993448,
38.899,-0.04948086,-0.0007700165,-0.05485334,0.02368814,0.06204879,0.01290347,0.3615205,0.03540489,0.07109642,358.9943,352.6301,2.608892,0.1303168,-0.1262359,0.4733815,-0.233295,-0.8263674,-0.05488861,-0.2390491,-0.304883,0.1008172,340.1823,286.2752,347.2854,0.06043795,-0.1051431,0.5574697,-0.313308,1.122664,0.1909278,1.067002,-0.3547855,-0.1171115,343.7545,92.3948,4.035041,
52.914,-0.05049482,-0.002569772,-0.05444672,0.04615862,0.06396054,0.03135294,0.3607039,0.03522852,0.0704177,358.907,352.5879,2.563631,0.1463622,-0.1564165,0.5024895,-0.03215125,-1.148015,0.04474423,-0.2375996,-0.3078055,0.1079645,340.7232,287.2484,348.0601,0.03697756,-0.08457716,0.5683709,-0.5421708,1.131164,0.06077945,1.066559,-0.3556854,-0.1099686,343.2638,91.37642,3.758579,
66.641,-0.05150623,-0.005046572,-0.05445851,0.04801789,0.07018498,0.04618704,0.3598834,0.03512159,0.06960982,358.8693,352.5232,2.517095,0.169999,-0.1861447,0.5417537,0.04822191,-1.336043,0.005999893,-0.2345431,-0.3113241,0.1155804,341.2364,288.3593,348.5089,0.007550821,-0.06223343,0.5772375,-0.8686817,1.236633,-0.261443,1.06628,-0.3568758,-0.1028516,342.4615,90.16775,2.896726,
80.476,-0.0514947,-0.008397231,-0.05564469,0.03907149,0.07850889,0.01139505,0.3591743,0.03482082,0.06875294,358.8725,352.4368,2.614849,0.20477,-0.2129361,0.5934764,-0.1031484,-1.428802,-0.1816586,-0.2316912,-0.3151702,0.1241992,341.5562,289.8064,348.3227,7.416308E-05,-0.06647061,0.5866719,-0.8513649,1.345868,-0.490432,1.066813,-0.3587974,-0.0953601,342.2035,89.00742,2.080911,
94.614,-0.05051026,-0.01294109,-0.05848789,-0.01619941,0.07934245,-0.04100065,0.3585886,0.0344654,0.06786749,359.044,352.3761,2.696686,0.2465626,-0.2386958,0.6567732,-0.4390132,-1.3733,-0.5551222,-0.2277922,-0.3192182,0.1333841,341.7943,291.5233,347.2708,0.01436792,-0.09829314,0.6056625,-0.5273035,1.455266,-0.453082,1.067279,-0.3605941,-0.08719923,342.6964,87.86086,1.780406,
108.551,-0.04841126,-0.01663916,-0.06085008,-0.08471228,0.06798413,-0.05402995,0.3580347,0.03427315,0.06695622,359.2376,352.3378,2.678138,0.2817444,-0.2513699,0.6928294,-0.7546743,-1.124797,-0.800054,-0.2245722,-0.3229103,0.1428622,341.819,292.9247,345.9616,0.02861488,-0.1289068,0.6188764,-0.2443187,1.417844,-0.2581728,1.06875,-0.3628188,-0.07912323,343.2551,86.87424,1.863211,
122.504,-0.04595241,-0.01681155,-0.06239869,-0.1218722,0.04045036,-0.06221109,0.3574523,0.03422397,0.06609327,359.381,352.3583,2.697576,0.3075442,-0.2626441,0.7167882,-0.8309541,-1.032787,-0.9541765,-0.2203737,-0.3263933,0.1520237,342.1508,294.2734,344.9507,0.03849512,-0.155712,0.6286583,-0.04360379,1.307074,-0.007478818,1.068581,-0.3652985,-0.07092775,343.809,86.03059,2.229566,
136.449,-0.04238124,-0.01362033,-0.06262345,-0.1128635,0.02609697,-0.06504261,0.3569884,0.03422195,0.06527528,359.4263,352.3407,2.744323,0.3380206,-0.2610269,0.7254654,-0.8281251,-1.177839,-0.852477,-0.2152055,-0.3295357,0.1601401,342.369,295.7674,344.5981,0.0556837,-0.1678713,0.6306772,0.1064185,1.251253,-0.001113135,1.009906,-0.3537505,-0.02162836,348.516,86.65929,359.0904,
150.415,-0.03840554,-0.008443363,-0.06227979,-0.07704158,0.02395627,-0.07223805,0.3565656,0.03423643,0.06442311,359.4347,352.3177,2.818663,0.3641206,-0.2470429,0.7194548,-0.7070528,-1.353761,-0.641489,-0.2110402,-0.3318338,0.168673,342.5657,297.1272,344.7515,0.05672827,-0.1715351,0.6272814,0.09134691,1.158429,0.08618328,1.009865,-0.356123,-0.01400907,348.7292,85.8904,359.3069,
163.887,-0.03483493,-0.004610587,-0.0619996,-0.05449158,0.02392351,-0.05003057,0.3562676,0.03422168,0.06359959,359.4353,352.2987,2.787713,0.3846664,-0.2267945,0.703078,-0.5186806,-1.473011,-0.3880045,-0.2054988,-0.3341751,0.1764657,342.6751,298.2608,345.2519,0.03055292,-0.1575198,0.6401734,0.05139407,1.112364,0.1016148,1.008542,-0.3539236,-0.003496446,346.6183,84.27253,0.8297441,
178.013,-0.03141821,-0.002623743,-0.06241775,-0.03761802,0.007768925,-0.01047129,0.3560285,0.0341585,0.0626519,359.4277,352.3295,2.718717,0.3990985,-0.212624,0.6826862,-0.2693838,-1.549334,-0.1790178,-0.2002313,-0.3365801,0.1845097,342.85,299.2044,346.0064,0.01741876,-0.1487553,0.6441746,0.03661495,1.232546,-0.07784605,1.008286,-0.3555594,0.00470807,346.8143,83.20905,0.4186088,
192.249,-0.02720651,-0.002885183,-0.0651579,-0.05404079,-0.02150744,0.02924677,0.3557822,0.0340302,0.06164014,359.5027,352.4003,2.614729,0.4108104,-0.2078827,0.6707883,0.0032686,-1.644547,-0.1114455,-0.1945883,-0.3388698,0.1926835,343.2984,300.1564,346.8768,-0.001289934,-0.1377643,0.6537571,-0.01811071,1.420147,-0.2520455,1.008243,-0.356956,0.01292619,346.909,81.85611,359.9183,
205.464,-0.02368858,-0.004708859,-0.06825378,-0.08446695,-0.05558824,0.03480021,0.3554914,0.03394023,0.06053203,359.6374,352.508,2.565435,0.4326812,-0.2022977,0.6662803,0.1067197,-1.711941,-0.08205926,-0.1882132,-0.3411496,0.2008381,343.6557,301.2671,347.569,-0.03180048,-0.1243558,0.6687461,-0.06063361,1.487811,-0.3046329,1.00495,-0.3573699,0.0225775,346.7934,80.59962,359.7962,
219.575,-0.01921351,-0.007376639,-0.07266925,-0.1103846,-0.0763554,0.004916781,0.3554391,0.03372347,0.05937678,359.7771,352.5725,2.612889,0.467319,-0.191298,0.6698999,-0.03745695,-1.715433,-0.06951696,-0.1812325,-0.3432986,0.2093409,343.7404,302.595,347.782,-0.08013621,-0.1029911,0.6859177,-0.1160018,1.400289,-0.2337671,0.999309,-0.3565542,0.03391564,346.4713,79.60838,0.1168669,
233.528,-0.01461976,-0.009347282,-0.07730458,-0.1286181,-0.08879772,-0.03155747,0.3554584,0.03359905,0.05818182,359.9358,352.6523,2.664861,0.5037129,-0.1766536,0.6744575,-0.3008417,-1.637173,-0.06269829,-0.1738362,-0.3451118,0.2176445,343.636,303.9961,347.5712,-0.1074248,-0.09458744,0.694728,-0.1284685,1.286525,-0.1660118,0.9956273,-0.3573819,0.04446957,346.3911,78.77875,0.2832657,
