time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.318,0.02249567,-0.005417929,0.004570232,-0.04245904,-0.03773677,0.01981143,0.4063595,0.342298,-0.2903704,5.059245,353.1165,355.0218,-0.4983686,0.01215021,0.009833405,0.01741114,0.7448719,-0.3913977,0.2390764,0.1442573,0.2066444,349.5709,339.9431,8.94151,0.5276358,0.1481197,0.02061835,0.506981,-0.9622805,-0.2924054,0.4380427,0.1287804,0.2183139,4.212677,7.128519,352.2734,
12.757,0.02256373,-0.006400887,0.005638039,-0.05217376,-0.04832449,0.02866995,0.4067066,0.3421953,-0.2902392,5.09725,353.1551,354.9807,-0.556872,0.01342429,0.003978352,-0.00787114,0.9195905,-0.3240556,0.2305946,0.144315,0.2069157,349.4924,338.901,8.873515,0.593356,0.1369634,0.03440809,0.2285715,-1.106452,-0.4681422,0.4469954,0.1299638,0.2192971,4.191082,8.386549,352.8653,
26.383,0.02331767,-0.006886793,0.007164316,-0.05092126,-0.03839526,0.0129019,0.4071019,0.3420947,-0.2900631,5.128258,353.1624,355.0121,-0.6197777,0.009180769,-0.0009886893,-0.07826432,1.049215,-0.3019464,0.2210413,0.1443615,0.2071642,349.554,337.8139,8.751887,0.6649519,0.1225901,0.0425896,0.008441234,-1.24184,-0.6308963,0.4570919,0.1316097,0.2200639,4.211085,9.779349,353.6355,
40.327,0.02351601,-0.006990018,0.00928005,-0.04305517,-0.02840839,-0.01671436,0.4074506,0.3419905,-0.2898284,5.166099,353.1834,355.0773,-0.6802169,0.006111355,-0.01023206,-0.09236203,1.133325,-0.3147251,0.2107095,0.1442869,0.20692,349.6054,336.7173,8.742249,0.7321258,0.1308952,0.03920248,0.1369584,-1.31342,-0.5248329,0.4684155,0.1334405,0.2202513,3.684269,10.90854,353.6642,
54.01,0.02345617,-0.007236432,0.0115696,-0.03536979,-0.02657039,-0.02436096,0.4077672,0.3418873,-0.2896224,5.187725,353.214,355.081,-0.7398407,0.003377239,-0.02305359,-0.08072709,1.188518,-0.3476311,0.1994509,0.1443285,0.2068788,349.6556,335.6061,8.820077,0.809476,0.1571566,0.02367476,0.4832099,-1.395586,-0.2704485,0.4811365,0.1354049,0.2199429,2.665568,11.95443,353.0041,
67.986,0.02263888,-0.007380692,0.01346617,-0.03681126,-0.03853782,-0.004577416,0.4080524,0.341794,-0.2893867,5.201453,353.254,355.0156,-0.7978118,0.0007310289,-0.04194298,-0.01949652,1.27474,-0.3308772,0.187706,0.1438018,0.2057234,349.5178,334.4101,8.909841,0.8768239,0.1684345,0.004082667,0.6454571,-1.48151,-0.1239496,0.4941247,0.1369843,0.2196874,1.818584,13.12365,352.4526,
81.788,0.0208522,-0.006979458,0.01569315,-0.04926852,-0.06114242,0.03938212,0.4082062,0.3417253,-0.2890732,5.232373,353.3407,354.8775,-0.8593999,-0.009265047,-0.06276128,-0.05545096,1.440845,-0.3592132,0.1750424,0.1434681,0.2053784,349.5375,332.9307,8.874456,0.9404752,0.1738832,-0.01457192,0.6888382,-1.547046,0.0243965,0.5078201,0.1390907,0.2198169,1.196842,14.33608,351.8426,
95.609,0.01864123,-0.006378101,0.01783619,-0.05654852,-0.07369293,0.06978656,0.4083591,0.3416682,-0.2887546,5.258964,353.4001,354.764,-0.9148868,-0.02362007,-0.08629277,-0.04753326,1.553206,-0.4044045,0.162219,0.1424314,0.2034447,349.5582,331.4248,8.937301,0.9942611,0.179083,-0.03510506,0.7518189,-1.533641,0.1965505,0.5220375,0.1412098,0.2180316,0.5934405,15.40359,351.0298,
109.86,0.01615675,-0.005520103,0.02063039,-0.05702224,-0.06118326,0.05856264,0.4085573,0.3416121,-0.2883859,5.29741,353.4077,354.7682,-0.9629723,-0.04446509,-0.104792,-0.1090064,1.56426,-0.5244355,0.1484198,0.1417495,0.2027019,349.9078,330.0219,9.005437,1.041354,0.1768518,-0.0578916,0.8011832,-1.487034,0.2883812,0.5370305,0.1424985,0.2171724,359.9877,16.37127,350.2613,
123.36,0.013888,-0.004677406,0.02319474,-0.05335298,-0.03910108,0.03237789,0.4087302,0.3415569,-0.2879775,5.330468,353.3964,354.7854,-1.006797,-0.05706985,-0.1304397,-0.08602234,1.605293,-0.5772642,0.1345695,0.1406664,0.199894,350.1041,328.5619,9.143701,1.092012,0.158117,-0.07638345,0.6667163,-1.479429,0.3715071,0.5527684,0.1438218,0.2165255,359.7879,17.4742,349.6479,
137.383,0.01086306,-0.003794454,0.02625563,-0.04910995,-0.02584128,0.0203706,0.4087803,0.3415517,-0.2874986,5.363367,353.4073,354.7647,-1.048647,-0.06437869,-0.1605234,-0.07308462,1.67538,-0.6171567,0.1199009,0.1399396,0.1979232,350.2968,326.9927,9.252303,1.14096,0.1205347,-0.08891578,0.3597961,-1.532339,0.3576634,0.5684231,0.1438525,0.2147835,359.9082,18.81534,349.4324,
