time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.309,0.09077793,0.0007520262,-0.002339078,-0.04891451,-0.5456932,-0.252577,-0.4141853,0.2104761,0.06042889,346.4987,17.20284,6.116684,1.319503,0.04038838,-1.002631,1.112245,-3.809236,0.665962,-0.2410688,-0.1783401,0.2781501,340.1095,61.85424,1.953094,-0.2761024,-0.1921401,-1.667128,1.130897,-4.006535,-0.05683535,-0.09006212,-0.2026037,-0.1921219,350.5569,83.73952,6.533084,
14.586,0.09008335,-0.0006173085,-0.002218178,-0.05488814,-0.5182087,-0.2450316,-0.4129263,0.2104115,0.06037834,346.4515,17.46944,6.382712,1.235287,0.03075157,-1.052781,1.170484,-3.7579,0.5924631,-0.2272526,-0.1780064,0.2648287,340.1864,64.92402,2.056453,-0.3625297,-0.1902355,-1.613867,1.104774,-3.933228,-0.0557335,-0.09785198,-0.2043517,-0.2102554,351.0513,86.77448,6.950979,
26.522,0.09130815,-0.002635135,-0.002608713,-0.07767233,-0.5023435,-0.2268911,-0.4115598,0.2103442,0.06035185,346.4734,17.73338,6.665522,1.146961,0.02168551,-1.094547,1.23138,-3.665259,0.4580935,-0.2145852,-0.1778395,0.2512046,340.1938,67.92402,1.983639,-0.4530673,-0.1663218,-1.553499,0.9005159,-3.80077,-0.1287887,-0.1061992,-0.2059545,-0.2275451,351.0144,89.55881,7.221524,
40.154,0.0931565,-0.004621156,-0.002512434,-0.08601509,-0.4971664,-0.216742,-0.4101814,0.210264,0.06029144,346.4565,17.99889,6.944643,1.06759,0.01427315,-1.123179,1.261241,-3.567746,0.306901,-0.2026416,-0.1777824,0.2375966,340.1428,70.85225,1.815846,-0.5253961,-0.1441216,-1.498456,0.7459065,-3.731577,-0.1555079,-0.114902,-0.2074221,-0.2438727,350.8863,92.36317,7.586917,
54.236,0.09506123,-0.004961613,-0.002850138,-0.09467504,-0.4886386,-0.2024837,-0.4087932,0.2102229,0.0602822,346.444,18.26111,7.207431,0.9769652,0.004651853,-1.147146,1.280814,-3.452907,0.1532098,-0.1923525,-0.178099,0.2236216,340.0797,73.69765,1.522954,-0.6041662,-0.1197191,-1.424997,0.5973971,-3.614513,-0.2232481,-0.1245973,-0.2088104,-0.259335,350.6696,95.0228,7.772249,
68.098,0.09713543,-0.004163948,-0.002942933,-0.08672085,-0.480415,-0.1863711,-0.4074134,0.2102661,0.0601722,346.4228,18.52967,7.427114,0.8835543,-0.00532448,-1.161986,1.251675,-3.354034,-0.0001062751,-0.1829914,-0.17843,0.2097036,339.9186,76.4764,1.18536,-0.6511852,-0.1126181,-1.371222,0.6050183,-3.59352,-0.2576063,-0.1338015,-0.210332,-0.2740654,350.717,97.8412,8.076526,
81.92,0.1001627,-0.003941325,-0.003102489,-0.06124471,-0.4795934,-0.1662199,-0.4059482,0.2102211,0.06010121,346.3863,18.84389,7.606502,0.8053344,-0.01602601,-1.166331,1.243168,-3.283113,-0.08349265,-0.1741806,-0.1787147,0.1961135,339.8799,79.24876,0.8912597,-0.6902001,-0.1162399,-1.308699,0.7115937,-3.564978,-0.322184,-0.1442701,-0.2117706,-0.287852,351.0769,100.667,8.4219,
95.877,0.1039825,-0.00395861,-0.003844662,-0.03668127,-0.4833034,-0.1323519,-0.4043972,0.2101324,0.05999914,346.3662,19.19048,7.742523,0.7059859,-0.02819888,-1.156617,1.207772,-3.164855,-0.1229539,-0.1676494,-0.1794283,0.1826791,339.8995,81.81737,0.6687732,-0.7225801,-0.1256714,-1.239115,0.8004671,-3.489093,-0.4945908,-0.1536715,-0.2132917,-0.3007765,351.6299,103.4393,8.532108,
110.026,0.1074727,-0.004883687,-0.004799113,-0.015899,-0.4911945,-0.101828,-0.4027796,0.2099762,0.05992246,346.3471,19.55112,7.87095,0.6319504,-0.03382169,-1.137326,1.125351,-3.073878,-0.09669042,-0.1607622,-0.1797907,0.169799,339.8447,84.23711,0.6825244,-0.7437831,-0.1343647,-1.186834,0.8025831,-3.405166,-0.6826073,-0.1638277,-0.2149185,-0.3132459,352.2043,106.1681,8.489288,
123.537,0.1108265,-0.006810925,-0.006467987,0.001007248,-0.4972754,-0.0711511,-0.4011795,0.2097888,0.05977869,346.3408,19.91829,7.9717,0.5573487,-0.04384329,-1.107225,1.110962,-2.977544,0.00627616,-0.1550834,-0.1804737,0.1573472,339.9595,86.51143,0.9594883,-0.7627525,-0.1454452,-1.123718,0.7247373,-3.292469,-0.8687487,-0.1740021,-0.2170145,-0.3248372,352.8115,108.7864,8.247923,
