time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.315,0.2510796,-0.0327176,-0.1688149,-0.1492807,-2.926828,0.4774336,0.1171382,0.02413726,0.003612459,358.8011,38.90995,354.9894,1.744054,0.09098335,-0.6515488,0.9814188,-4.470353,0.5254834,0.1855179,-0.3872798,0.2733787,346.4027,29.89126,5.878958,-0.3916757,-0.2144169,-2.323694,1.040488,-4.786995,0.1811606,0.4661024,-0.3952574,-0.2117695,356.7244,97.35455,358.1277,
13.157,0.2558672,-0.03971661,-0.1860899,-0.1898694,-3.113286,0.5751672,0.120827,0.02352175,0.0004505515,359.2556,41.74089,354.9773,1.675035,0.08138585,-0.7479425,0.969606,-4.422038,0.464712,0.2045811,-0.3861257,0.2624334,346.3294,33.39702,6.005226,-0.5371944,-0.2218941,-2.27961,1.040942,-4.802019,0.06785983,0.45559,-0.3977757,-0.2383887,357.4486,101.2217,358.2851,
26.73,0.2588395,-0.04525413,-0.2022139,-0.1950806,-3.287717,0.6404775,0.1244774,0.02279902,-0.002804756,359.6668,44.69408,354.9637,1.609761,0.0700867,-0.8241709,0.9454284,-4.378233,0.4160405,0.2227224,-0.3852456,0.251037,346.3065,36.8585,6.170948,-0.6828513,-0.2179204,-2.225125,0.9441919,-4.816763,-0.007257415,0.4432728,-0.4002112,-0.2640227,357.9153,105.0918,358.4677,
40.634,0.2596484,-0.04911268,-0.2194636,-0.1859719,-3.453275,0.6700116,0.1280259,0.02208048,-0.006380618,0.01646374,47.72801,354.9819,1.529312,0.05268703,-0.8998599,0.8893641,-4.294965,0.3780271,0.2397623,-0.3847949,0.2388533,346.3526,40.1475,6.410579,-0.8391498,-0.2093173,-2.151473,0.859102,-4.851969,-0.05541563,0.4290298,-0.402403,-0.2883308,358.3263,109.02,358.7142,
54.535,0.256475,-0.05025075,-0.2361488,-0.1805722,-3.572666,0.6446805,0.1313969,0.02143162,-0.01014364,0.2716298,50.73967,355.0405,1.446506,0.0317976,-0.9664159,0.8485776,-4.198614,0.3699304,0.2552709,-0.3849252,0.2255011,346.479,43.34631,6.628638,-0.9720726,-0.1964392,-2.072527,0.7523823,-4.844563,-0.08327521,0.4137495,-0.4046051,-0.3114325,358.6178,112.8731,358.9674,
68.42,0.2501695,-0.04920791,-0.2486669,-0.1661591,-3.622693,0.6020939,0.1346911,0.02073109,-0.01383424,0.4637954,53.69705,355.0803,1.372862,0.01285876,-1.019407,0.8134929,-4.128212,0.3512717,0.2702799,-0.3852074,0.21229,346.6194,46.50648,6.896166,-1.081395,-0.1841864,-1.99393,0.6346658,-4.783499,-0.1467803,0.3977648,-0.4064755,-0.3335195,358.9218,116.5849,359.0897,
81.913,0.2389356,-0.047647,-0.2607219,-0.1207975,-3.639347,0.5561579,0.1377919,0.0201267,-0.01755404,0.6687426,56.60862,354.9984,1.279094,-0.01556586,-1.079474,0.7632045,-4.057898,0.3920739,0.2837371,-0.3860112,0.1978402,346.9485,49.58023,7.241435,-1.19732,-0.1721687,-1.897413,0.4731179,-4.692004,-0.271421,0.3806712,-0.4080847,-0.3543292,359.3195,120.1622,358.9202,
96.185,0.2266342,-0.04693731,-0.2703558,-0.05764093,-3.638225,0.526954,0.1406779,0.01944357,-0.02145827,0.9189776,59.50343,354.8672,1.195179,-0.04055588,-1.127342,0.755969,-3.989018,0.4124748,0.2970905,-0.3868033,0.183931,347.2817,52.62684,7.559581,-1.317868,-0.1618229,-1.784118,0.2342283,-4.630846,-0.4102304,0.3608827,-0.4097733,-0.3731905,359.808,123.7293,358.4108,
110.361,0.2098362,-0.04829312,-0.2808424,-0.001854204,-3.623048,0.5091411,0.1431509,0.01858175,-0.02552801,1.223063,62.37088,354.7579,1.120554,-0.05924628,-1.162796,0.7758118,-3.906042,0.3994486,0.3089391,-0.3877544,0.1693218,347.5931,55.60281,7.828116,-1.402295,-0.1573885,-1.692495,0.05775531,-4.615489,-0.4924136,0.3419313,-0.4113911,-0.391168,0.4247343,127.352,357.9586,
123.761,0.1919679,-0.05087267,-0.2874749,0.04005155,-3.577472,0.492892,0.1453523,0.01759079,-0.02958047,1.50644,65.1253,354.6692,1.020266,-0.08154321,-1.199946,0.793346,-3.774532,0.3538378,0.3194192,-0.3892139,0.1540704,347.8519,58.40601,8.051984,-1.484434,-0.156767,-1.578969,-0.04510164,-4.592055,-0.5326463,0.3224973,-0.4134787,-0.4074968,1.127444,130.9254,357.6427,
137.836,0.1732495,-0.05224168,-0.2895583,0.06881833,-3.485869,0.4705306,0.147403,0.01693901,-0.03334498,1.787597,67.72277,354.5807,0.9305314,-0.09932607,-1.224157,0.8085072,-3.65215,0.3184789,0.3280879,-0.3908754,0.1384103,348.1497,61.13779,8.266465,-1.553078,-0.1478186,-1.457549,-0.05674367,-4.561639,-0.4788585,0.301007,-0.4141182,-0.4214002,1.682625,134.4798,357.6555,
151.885,0.1552173,-0.05104383,-0.2878294,0.06755303,-3.351503,0.443153,0.1493415,0.01631415,-0.03706753,2.009221,70.14479,354.574,0.8510556,-0.1128157,-1.238389,0.7781373,-3.584894,0.3130437,0.3368007,-0.3924658,0.1235497,348.4812,63.83117,8.660953,-1.615778,-0.1322766,-1.331119,-0.1347615,-4.493136,-0.2747836,0.2801956,-0.4158002,-0.4342509,1.784734,137.9379,357.4454,
165.684,0.1383905,-0.05029252,-0.2835034,0.06154443,-3.207603,0.4025667,0.151064,0.01550967,-0.04066026,2.188183,72.47436,354.5287,0.7624824,-0.1270305,-1.245388,0.7444049,-3.528096,0.3653373,0.3444073,-0.3941518,0.1087546,348.9417,66.42987,9.232751,-1.661237,-0.1207324,-1.200835,-0.0982115,-4.424779,-0.1427285,0.2591024,-0.417293,-0.4451275,1.86844,141.3455,357.4495,
179.807,0.1224901,-0.05098566,-0.2772529,0.07934695,-3.094426,0.3604304,0.1526034,0.01473948,-0.04404426,2.425148,74.77493,354.3984,0.6879156,-0.1377647,-1.246621,0.7393714,-3.470216,0.3734308,0.3509768,-0.3960641,0.09395979,349.3799,68.9892,9.786825,-1.686244,-0.1183972,-1.069971,-0.006378926,-4.373822,-0.1182239,0.23823,-0.4189753,-0.4543418,2.050416,144.7455,357.6977,
193.781,0.106455,-0.05272718,-0.2706858,0.1072142,-2.997579,0.3427057,0.1539621,0.01396582,-0.04741442,2.737089,77.0227,354.3354,0.606112,-0.1502776,-1.241364,0.7557282,-3.397178,0.3703756,0.3566487,-0.3981278,0.07943614,349.8716,71.47028,10.32397,-1.692721,-0.1293889,-0.9251013,-0.05017835,-4.284773,-0.1868879,0.2177747,-0.4208144,-0.4618401,2.542705,147.9951,357.8291,
207.542,0.09176222,-0.05523264,-0.2652812,0.128146,-2.904793,0.3530989,0.1549017,0.01307154,-0.05090582,3.06847,79.20261,354.3575,0.5292481,-0.1627029,-1.226658,0.7858832,-3.298343,0.3455718,0.3613754,-0.400412,0.0653877,350.3899,73.8505,10.81357,-1.685209,-0.138854,-0.7987031,-0.19695,-4.186262,-0.1672209,0.1978399,-0.4226844,-0.4682899,3.066878,151.1363,357.6664,
221.08,0.07849537,-0.05667154,-0.2571411,0.1319764,-2.788399,0.3592541,0.1557209,0.01226404,-0.05416721,3.342542,81.22368,354.4064,0.4573651,-0.1766731,-1.204152,0.8314827,-3.154682,0.2866584,0.3655446,-0.40289,0.051735,350.928,76.08855,11.17104,-1.663141,-0.1445617,-0.6742014,-0.3606722,-4.063338,-0.05937234,0.1785371,-0.4245534,-0.4731466,3.566631,154.1337,357.2792,
