time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.318,-0.0260816,-0.2058056,-0.01711943,0.1325778,0.0492931,-0.08074933,0.5212266,0.6896471,0.2335851,353.2133,346.6554,358.5907,-0.003999052,0.03737,0.04134789,0.6408457,-1.203635,-0.2207052,1.016447,0.9696966,0.2106656,43.60938,272.7311,272.9345,-0.1565599,-0.5001796,0.06468855,-0.9933665,0.02442252,-0.5702609,0.5501486,0.3618453,0.3930209,320.3962,5.486526,335.3759,
12.365,-0.02385626,-0.2114192,-0.02434065,0.1454653,0.08148126,-0.06509987,0.5209971,0.6867787,0.2329671,353.0771,346.5182,358.6593,-0.007313561,0.04214118,0.03485675,0.7592041,-1.357524,0.03014161,1.015247,0.9695014,0.216491,43.19626,273.8501,275.0285,-0.1843057,-0.7565784,0.1486624,-1.694748,-0.1359584,-0.9246212,0.5472969,0.3454229,0.396176,322.7355,4.488353,337.5132,
25.764,-0.02165389,-0.2115009,-0.03095478,0.1941542,0.1169124,-0.02394336,0.5207506,0.6840395,0.232394,352.8055,346.351,358.6954,-0.01019455,0.04938698,0.03218889,0.8658655,-1.54916,0.2248252,1.013944,0.9698737,0.2218172,42.62423,275.1773,277.4361,-0.2042742,-0.9475482,0.2115135,-2.242022,-0.2445617,-1.290804,0.5445975,0.3284065,0.3996581,325.2985,3.360261,339.8035,
39.765,-0.01938839,-0.2055119,-0.03724729,0.2932254,0.1605181,0.0286426,0.520524,0.6814507,0.2318211,352.3689,346.1344,358.7717,-0.01279092,0.06459814,0.03693921,0.9057367,-1.882267,0.3024841,1.011839,0.9709279,0.2301296,41.61244,276.9851,280.1781,-0.2326094,-1.187716,0.281199,-2.854808,-0.5453827,-1.951035,0.5417963,0.3072942,0.4039513,328.5056,1.675029,343.3329,
53.63,-0.01795576,-0.1955153,-0.04221736,0.3588414,0.2086333,0.08248845,0.5203336,0.6791658,0.231131,351.9694,345.8777,358.7698,-0.01360346,0.08547696,0.04715495,0.7809588,-2.262272,0.2346405,1.009494,0.9733522,0.2389617,40.09319,279.0882,282.7365,-0.2317618,-1.446358,0.312965,-3.063484,-1.037244,-2.656454,0.5408564,0.2829984,0.4070948,331.3175,359.8885,347.5571,
67.242,-0.01715821,-0.1761487,-0.0478537,0.3118043,0.25322,0.1441397,0.5201046,0.6776253,0.2303271,351.8067,345.6622,358.5794,-0.01442452,0.1121776,0.05456287,0.6594379,-2.747204,0.3004576,1.006476,0.9777414,0.2489391,38.07794,281.352,285.6367,-0.1952247,-1.63019,0.308443,-2.997334,-0.8546168,-3.047647,0.5416092,0.2579106,0.4098534,334.0027,357.9976,350.5635,
81.258,-0.01593102,-0.1489002,-0.05225122,0.2007758,0.2680297,0.1856649,0.5199356,0.6769981,0.2294777,351.7723,345.5121,358.3312,-0.01794574,0.1429465,0.04898589,0.4172673,-3.205477,0.6300513,1.002372,0.9843001,0.2588752,35.49374,283.0923,288.54,-0.1191476,-1.853096,0.30879,-3.433321,0.05606474,-3.311109,0.5449976,0.2299763,0.4134941,338.2489,355.7019,352.3015,
94.914,-0.01281644,-0.1068507,-0.05292356,0.1533787,0.2601833,0.2049944,0.5199263,0.6773182,0.2289408,351.579,345.3633,358.2166,-0.01993251,0.1715288,0.03628957,0.07379055,-3.527313,1.040041,0.997046,0.9935778,0.2685139,32.53467,284.3633,291.1528,-0.001396015,-2.092385,0.3114492,-4.902694,0.9544877,-3.525211,0.5504199,0.2022812,0.4174596,345.4319,353.9428,353.5332,
109.534,-0.007032354,-0.04647116,-0.04842856,0.2181339,0.2472324,0.1851157,0.5200495,0.6787176,0.2286042,351.2198,345.1828,358.2866,-0.0155257,0.1911402,0.0287477,-0.006674409,-3.80818,1.393061,0.9912164,1.005176,0.2781396,29.67649,285.9448,294.2299,0.1972588,-2.265137,0.2585695,-6.643225,0.80743,-3.71127,0.5594983,0.1763699,0.4187518,354.1169,354.0359,355.5421,
122.905,-0.002701631,0.018227,-0.04372947,0.2432885,0.2463709,0.201509,0.5201934,0.6811985,0.22823,350.9303,345.0071,358.1671,-0.00871774,0.2156722,0.01923254,0.007121682,-4.200653,1.890228,0.9855824,1.019737,0.2883441,26.40371,287.7484,297.9503,0.4883899,-2.248544,0.138593,-7.14081,-1.211731,-4.154626,0.5703274,0.1558604,0.4169115,0.7073054,357.5945,0.114415,
