time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.307,0.0135812,-0.04802341,-0.1265833,-0.2645446,0.1047267,-0.1366036,-0.002193525,0.1135801,-0.2524887,353.4024,359.4332,356.1179,0.2467861,1.290439,-0.2958638,2.075095,1.321528,1.633231,-0.2198927,0.05773195,-0.1256428,292.0292,315.6207,55.97269,0.03195952,1.09572,-0.5418246,3.274903,-2.071941,-0.1418719,0.135169,0.02868519,-0.1150493,294.2368,108.2498,267.2501,
13.047,0.01168459,-0.05081525,-0.1259696,-0.2744607,0.07783194,-0.1435091,-0.002148017,0.1127592,-0.2541681,353.6363,359.4054,356.2589,0.2840765,1.263616,-0.306069,1.924568,1.524693,1.333818,-0.2163773,0.07375871,-0.1288341,290.0358,316.0025,56.18151,0.02438033,1.080696,-0.5181593,3.134987,-1.924453,-0.009589002,0.1354648,0.04369247,-0.1191675,294.8342,114.2144,261.4217,
26.53,0.01011175,-0.05263038,-0.124302,-0.2819654,0.05541319,-0.177991,-0.002038687,0.1120147,-0.2557893,353.8777,359.3566,356.4775,0.3157696,1.241899,-0.3136401,1.861974,1.714748,1.068,-0.2127066,0.08960772,-0.1316656,287.8778,316.3103,56.35279,0.008074969,1.069861,-0.5028312,3.113267,-1.855781,0.2009372,0.135811,0.05890594,-0.1230364,295.6335,120.5831,255.5152,
40.433,0.007443309,-0.05203675,-0.119475,-0.2466107,0.03658285,-0.1957722,-0.002044901,0.1114104,-0.2572225,353.9755,359.3286,356.6402,0.3488173,1.221792,-0.3124001,1.712304,1.899832,0.7278584,-0.2086885,0.1053972,-0.134433,285.7305,316.9695,55.63107,-0.006305888,1.061095,-0.4815175,3.143512,-1.697649,0.3922452,0.1360195,0.07437369,-0.1265103,296.8781,126.3886,250.4174,
54.291,0.004299928,-0.05118056,-0.1134397,-0.1514194,0.02138787,-0.1754453,-0.002071232,0.1106605,-0.2585406,353.8968,359.3086,356.7173,0.3716348,1.207862,-0.2960684,1.523158,1.957768,0.5706638,-0.2047033,0.1218424,-0.1369349,283.8843,318.9014,53.77431,-0.007399499,1.057932,-0.4530866,3.09266,-1.53017,0.3578768,0.1361229,0.08960534,-0.1295949,298.3699,130.8802,246.2055,
68.089,-0.0001715682,-0.04994958,-0.106836,-0.1013809,0.01228936,-0.1108063,-0.002248213,0.1100194,-0.2597748,353.9425,359.329,356.6591,0.3862301,1.199636,-0.2887813,1.515577,1.962994,0.4064324,-0.2004437,0.1374282,-0.1395069,281.9496,320.2433,52.573,-0.0133986,1.073959,-0.4145777,2.882586,-1.47256,0.2422365,0.1363274,0.1068931,-0.1321718,299.6472,134.4436,242.4934,
81.63,-0.003585521,-0.04648341,-0.1005116,-0.121423,0.001522563,-0.08532871,-0.00233385,0.1097784,-0.2610343,354.1359,359.3384,356.7241,0.4006996,1.203079,-0.2897877,1.62743,1.954957,0.1473179,-0.1957355,0.1549218,-0.1417659,279.8123,320.1709,52.58384,-0.03631423,1.106456,-0.3770211,2.669276,-1.482759,0.2530308,0.1353152,0.1234151,-0.1345835,300.7249,137.976,238.8827,
95.669,-0.005350072,-0.03910176,-0.09211811,-0.1148859,-0.01213795,-0.1312432,-0.002403468,0.1095733,-0.2620431,354.1932,359.3321,356.9703,0.4213924,1.214696,-0.2845326,1.658163,1.993933,-0.3333381,-0.1904241,0.1711033,-0.1436933,277.5833,319.527,52.37196,-0.070416,1.140838,-0.3404989,2.564678,-1.567548,0.3565392,0.1344243,0.1417707,-0.1360454,301.8525,141.8825,234.9747,
109.8,-0.006732577,-0.03130867,-0.0833254,-0.07583806,-0.01638445,-0.1779339,-0.00245811,0.1092448,-0.2628298,354.161,359.2855,357.1967,0.439792,1.227623,-0.2797839,1.723853,1.92131,-1.10292,-0.1847418,0.189507,-0.1456304,275.3627,313.7447,56.21115,-0.09930631,1.198769,-0.2770327,2.124648,-1.473094,0.4891577,0.1334165,0.1605595,-0.1363991,302.2372,144.6833,232.2806,
123.434,-0.008824492,-0.02241916,-0.07265642,-0.04097494,0.0008859169,-0.1703306,-0.002644911,0.1091336,-0.2635043,354.1414,359.2275,357.2576,0.4517048,1.243733,-0.2676027,1.779425,1.743297,-1.632531,-0.1791466,0.2072966,-0.1472869,273.4696,301.1815,66.7552,-0.1215503,1.258386,-0.2095482,1.591565,-1.302685,0.5608644,0.1319349,0.1795579,-0.1369981,302.1582,146.5176,230.5209,
137.422,-0.01070389,-0.01501267,-0.06225372,-0.0133428,0.01810452,-0.1336163,-0.002813444,0.1091825,-0.2640527,354.1195,359.1783,357.2804,0.4629537,1.265637,-0.2439897,1.814764,1.58534,-1.95423,-0.1739771,0.2246814,-0.1480349,271.9561,271.79,94.1471,-0.1349371,1.311576,-0.1366815,1.012125,-1.100171,0.5899786,0.1306694,0.1990892,-0.1369822,301.6723,147.7278,229.358,
151.267,-0.01255357,-0.009010734,-0.05180149,0.05183872,0.0217621,-0.08301634,-0.003030926,0.1092248,-0.264456,353.9327,359.1599,357.2438,0.4449172,1.286575,-0.2027621,1.689622,1.234263,-2.041795,-0.1693635,0.2441788,-0.1483193,271.8826,231.7755,132.4469,-0.1484992,1.346338,-0.07334726,0.565832,-0.8876216,0.6635445,0.1288409,0.2179472,-0.136345,301.0494,148.8166,228.5055,
165.102,-0.01456876,-0.005177164,-0.04140228,0.1234293,0.01226938,-0.03701928,-0.003278062,0.1091022,-0.2646841,353.7058,359.1741,357.2206,0.4146654,1.308383,-0.1610809,1.579459,0.8420703,-2.046988,-0.1649165,0.2624837,-0.1480745,272.644,211.0462,151.5648,-0.1608341,1.370781,-0.02072129,0.2316918,-0.5047643,0.7677012,0.1266836,0.2374437,-0.1356649,300.3802,149.2621,228.7541,
