time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.32,0.02496525,0.006232473,-0.05756555,0.06536275,0.02005656,0.005433483,0.04266006,0.01358789,-0.05900627,4.257157,358.8849,356.5392,-0.1566957,1.798798,-0.3032472,2.468358,1.931174,1.735366,-0.1643443,-0.1261658,0.2138241,300.9164,290.1031,46.4738,0.1155885,1.625456,-0.2886181,2.534196,-1.344847,-0.04216643,0.2036696,-0.09117337,0.184139,308.6091,18.01565,346.5404,
13.25,0.02599592,0.006706519,-0.05193117,0.05728176,0.01106828,0.01861986,0.04307574,0.01364255,-0.05959564,4.248638,358.8713,356.5094,-0.1418947,1.788886,-0.3379645,2.430069,2.047482,1.540456,-0.1664654,-0.102433,0.2107126,299.3401,286.0291,50.94556,0.1018135,1.619738,-0.3418162,2.681073,-1.294786,-0.1015566,0.2050276,-0.07028449,0.1794765,306.0842,18.82033,346.0344,
26.557,0.02678945,0.00607514,-0.04533997,0.03312836,0.001213995,0.0285269,0.04341847,0.01368433,-0.0600633,4.272636,358.8819,356.4708,-0.1256968,1.771323,-0.3576,2.261288,1.960315,1.340876,-0.1682162,-0.07853387,0.2073765,298.2313,282.4847,54.8897,0.1043752,1.609632,-0.4120464,2.992396,-1.094747,-0.1347012,0.2068605,-0.0498114,0.174156,303.2248,20.29166,344.3461,
40.147,0.02675623,0.005183167,-0.03939877,0.01336268,-0.00651728,0.04227266,0.04375738,0.01373556,-0.06038016,4.287638,358.8943,356.3996,-0.1149138,1.75382,-0.3544208,2.023592,1.776067,1.213012,-0.1699144,-0.0552587,0.2042159,297.4188,279.5767,58.3516,0.1196962,1.590053,-0.4612318,3.141935,-0.5964674,-0.255278,0.2088314,-0.02937875,0.16886,300.8923,22.03778,341.3747,
54.288,0.02580683,0.003272081,-0.03260204,-0.007292838,-0.01215151,0.05737725,0.0440774,0.01370054,-0.06059253,4.31445,358.8971,356.3275,-0.1059619,1.734585,-0.3427461,1.738387,1.567208,1.065453,-0.1716246,-0.03243928,0.2010043,296.8013,277.3623,61.02462,0.1232182,1.561994,-0.4701991,2.966078,0.000210464,-0.6130662,0.2107389,-0.009772304,0.1639779,299.393,22.55448,338.6275,
68.186,0.02398102,0.002412346,-0.02646322,-0.0475721,-0.01987594,0.04728267,0.04435331,0.01377624,-0.06075376,4.444078,358.9279,356.324,-0.1065902,1.700284,-0.3379578,1.49649,1.272815,0.715314,-0.1735312,-0.009723723,0.1971316,296.6424,275.4216,62.80345,0.1166795,1.527425,-0.4444725,2.479026,0.4732484,-0.8950586,0.2122705,0.01087635,0.1599953,298.8481,22.2329,336.7441,
81.904,0.02342713,0.0003096964,-0.02007352,-0.08143912,0.003464309,0.02970024,0.0446288,0.01371223,-0.06085199,4.570196,358.8816,356.3348,-0.1139491,1.66468,-0.3529566,1.510267,1.089795,0.460023,-0.1751445,0.01177906,0.1927161,296.6696,272.417,65.54388,0.1019535,1.502682,-0.4265386,2.130054,0.5789237,-0.9800505,0.2132202,0.03005011,0.1547102,298.1425,22.08788,335.4016,
96.122,0.02274047,-0.001094587,-0.01424318,-0.1182844,0.03349479,0.001238795,0.04491812,0.01372966,-0.06085056,4.728704,358.8107,356.3898,-0.1264892,1.615183,-0.3812416,1.609549,0.8473002,0.3752531,-0.1770253,0.03337406,0.1879573,297.1669,269.3232,68.59988,0.08322236,1.477214,-0.4092302,1.814889,0.5292901,-0.9462649,0.2137642,0.04976542,0.1508772,297.501,21.97027,334.4906,
110.176,0.02374899,-0.0009483267,-0.007209074,-0.1289904,0.07599081,-0.0224615,0.0454064,0.01377499,-0.0606997,4.842391,358.6846,356.4519,-0.1297399,1.566792,-0.3985054,1.534136,0.6071464,0.4952702,-0.1780649,0.05322324,0.1826261,297.71,267.3858,71.06799,0.06621294,1.45278,-0.3863048,1.416857,0.4009142,-0.7819917,0.2147296,0.06960978,0.1458753,297.1535,21.8128,334.2369,
123.609,0.02526782,0.00191177,0.001857551,-0.1010526,0.09436824,-0.01553283,0.04588866,0.01391789,-0.06034917,4.839975,358.5759,356.4253,-0.125856,1.516785,-0.4095055,1.379821,0.3815909,0.7744732,-0.1794137,0.07378143,0.1772199,298.2921,266.3792,73.18858,0.07172295,1.423056,-0.3943917,1.499121,0.4305619,-0.558947,0.2152313,0.08674258,0.1412365,296.3066,23.4868,331.92,
