time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.376,-0.001592688,0.000395472,-0.002318447,0.00561966,-0.005679512,-0.001591796,0.005686164,-0.21234,-0.7685483,4.282924,359.0725,359.1691,-0.001733767,7.403377E-05,0.001704903,-0.0008670868,0.001720305,-0.00706447,-0.09706282,-0.7707608,-0.4897773,356.632,2.175353,12.57026,-0.001315087,-0.006852833,0.003648174,-0.05162933,-0.001579937,-0.01403416,0.1323889,-0.7819279,-0.491491,2.894391,1.241813,358.9141,
12.878,-0.00142377,0.0006400426,-0.002385493,0.00352188,-0.006489811,-0.002904944,0.005691171,-0.212316,-0.7685776,4.283996,359.0793,359.1732,-0.003018751,0.0004735364,0.002016926,0.001326303,0.00941397,-0.007125908,-0.09708734,-0.7707555,-0.4897508,356.6287,2.167654,12.57631,0.001685736,-0.00263718,0.001640804,-0.005252709,-0.02103189,-0.006867228,0.1324067,-0.781919,-0.4914657,2.901833,1.252059,358.9159,
26.475,-0.00137186,0.001045301,-0.002314973,0.003553408,-0.007363852,-0.004114269,0.005686641,-0.2122922,-0.7686006,4.28103,359.0871,359.178,-0.003169738,-0.0004998279,0.00245261,-0.008662933,0.003237471,-0.01967262,-0.09712046,-0.7707525,-0.4897167,356.6331,2.161475,12.58776,0.002982187,0.003875031,-0.001547033,0.05307558,-0.01209351,0.03592742,0.1324586,-0.7818761,-0.4914865,2.85226,1.263477,358.8866,
40.372,-0.001562614,0.001071459,-0.001977823,0.007788006,-0.008539879,-0.004069082,0.005670071,-0.2122887,-0.7686071,4.267603,359.0959,359.181,-0.002864468,-0.000415836,0.002666209,-0.009209226,0.005221423,-0.008982368,-0.09713893,-0.7707474,-0.4896806,356.6398,2.156343,12.59521,0.003230951,0.005640472,-0.001686777,0.05985408,0.003043571,0.07091612,0.1325447,-0.7818003,-0.491502,2.795058,1.249783,358.8078,
54.015,-0.001718892,0.001265196,-0.001638913,0.00688272,-0.006062538,-0.005899075,0.005649805,-0.2122762,-0.7686116,4.264192,359.0978,359.1894,-0.003226703,0.0008269746,0.001259853,0.006915781,0.0173308,-0.01216749,-0.09715857,-0.7707413,-0.4896506,356.6367,2.144498,12.59962,0.004434458,0.008083085,-0.001853059,0.06235141,-0.001017166,0.0710257,0.1326237,-0.781664,-0.4915366,2.741797,1.24495,358.7427,
68.093,-0.001715924,0.001229575,-0.001421436,0.00719993,-0.001171169,-0.00945771,0.005613327,-0.212257,-0.7686365,4.259195,359.0932,359.2034,-0.001030931,-0.0002095083,0.001891405,-0.0128799,-0.01214615,-0.008470492,-0.09716942,-0.7707283,-0.489629,356.6395,2.144875,12.60838,0.004718088,0.009438888,-0.003763347,0.09367082,0.003710265,0.07759185,0.132739,-0.7816154,-0.4916847,2.641981,1.229661,358.6592,
82.124,-0.002130142,0.001351793,-0.001089164,0.008170899,0.001423428,-0.005779691,0.005559444,-0.2122319,-0.7686536,4.251346,359.0873,359.2028,-0.000626124,-0.0003822132,0.001630623,-0.01242248,-0.008090065,-0.0006781365,-0.09717751,-0.7707256,-0.4896254,356.6389,2.146592,12.61633,0.004946866,0.005357595,-0.00282434,0.06344305,-0.002959652,0.05826263,0.1327583,-0.7815962,-0.491608,2.641338,1.233621,358.6443,
95.606,-0.002100882,0.001062798,-0.0009809725,0.0101905,0.007837507,0.0006854209,0.005539298,-0.2122303,-0.7686704,4.240451,359.0687,359.1932,-0.0003359131,-0.0005750795,0.0009408471,-0.01676873,-0.0003081097,0.01129124,-0.09717849,-0.7707213,-0.48962,356.6374,2.138533,12.61466,0.008191502,-0.01808291,0.005702849,-0.1410618,-0.07034117,-0.03390452,0.1327279,-0.7814725,-0.4915575,2.888641,1.361149,358.719,
110.027,-0.002026738,0.0009772707,-0.0009474615,0.005780315,0.01041547,0.005155909,0.00553143,-0.2122305,-0.7686856,4.242607,359.0552,359.1827,0.0004478604,0.001288443,-1.215071E-05,0.01146477,-0.00050735,-0.006034209,-0.09717061,-0.7707117,-0.4896196,356.6338,2.139646,12.61697,0.002389845,-0.006946658,0.003532628,-0.03966927,-0.002251999,-0.03021801,0.1328168,-0.7817041,-0.4915136,2.798968,1.284117,358.7102,
123.686,-0.002089891,0.000357321,-0.0007503589,0.005867829,0.009712842,0.002898435,0.005505443,-0.2122518,-0.7686974,4.2371,359.0486,359.1841,0.0009035719,0.000995541,-2.565019E-05,0.007216257,0.0007332163,0.007595964,-0.09715471,-0.770698,-0.4896119,356.6295,2.142905,12.61366,0.004133624,0.003764302,-0.002855132,0.05640668,-0.01404416,0.02112424,0.1328512,-0.7816649,-0.4914929,2.730693,1.299302,358.6854,
