time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.352,-0.0007696953,-0.001002739,-0.01944346,-0.004074426,-0.05599155,0.02442937,-0.004626561,0.0322598,-0.1999928,358.7554,0.08565961,359.6275,-0.0396371,0.1982037,-0.1803365,1.127823,-0.1556676,0.6541455,-0.1024775,-0.4505422,0.0125329,13.99264,341.961,2.21443,-0.05248354,-0.06809962,-0.01845825,-0.3013895,0.4442838,0.4191003,0.04558683,-0.4661147,-0.03615382,5.955716,343.5125,322.044,
13.108,-0.004630586,0.001909408,-0.02143769,0.002632255,-0.02621889,0.02466472,-0.004969347,0.03246089,-0.2004478,358.7325,0.05132144,359.6049,-0.0298668,0.1687582,-0.1913933,1.119508,-0.2209877,0.6622543,-0.1028248,-0.4501851,0.009417828,12.94994,342.2336,2.214364,-0.05889932,-0.07597879,-0.01535845,-0.004126212,0.26455,-0.2859665,0.04450283,-0.4667806,-0.03640438,6.167603,343.7799,323.5061,
26.457,-0.008923458,0.003790165,-0.02336506,0.01669599,-0.003935894,0.02627568,-0.005191717,0.03256043,-0.2008752,358.6971,0.01542361,359.5757,-0.02341907,0.1255401,-0.2017383,0.9752898,-0.2593099,0.6199083,-0.1030836,-0.4504367,0.006116781,12.25842,342.4451,2.113103,-0.04209307,-0.06807507,-0.01215516,0.2283517,-0.07912521,-0.8597858,0.04397653,-0.4670847,-0.03677363,6.080923,344.5544,325.2943,
40.291,-0.01250873,0.005415592,-0.02541217,0.02862545,0.02390317,0.03616252,-0.005484276,0.03266488,-0.2012445,358.6508,359.9649,359.5204,-0.01551571,0.07467498,-0.206822,0.7734315,-0.3319388,0.5223516,-0.1033411,-0.4512149,0.003449991,11.88066,342.765,1.964124,-0.02906086,-0.04287783,-0.007838026,0.442366,-0.3721137,-0.9260894,0.04369289,-0.4673914,-0.03688715,5.482869,345.1223,326.4374,
54.253,-0.01637006,0.006536784,-0.02672634,0.04358394,0.03566439,0.04340584,-0.005788069,0.03278873,-0.2016505,358.5945,359.9311,359.4748,-0.00994407,0.0279932,-0.2082793,0.6309872,-0.3488249,0.4428599,-0.1034392,-0.4522431,-6.942078E-05,11.53388,343.0298,1.859168,-0.008548808,-0.009540481,-0.004343483,0.4909167,-0.6134887,-0.7861113,0.0437833,-0.4671703,-0.03718762,4.793711,345.7368,327.08,
67.918,-0.01921831,0.007409147,-0.02732927,0.05844902,0.03989426,0.04773675,-0.006079581,0.03289045,-0.2020465,358.516,359.8836,359.4294,-0.008128686,-0.009087242,-0.2072184,0.5269892,-0.300433,0.3862588,-0.1035763,-0.4537475,-0.002774388,11.22151,343.1532,1.784281,0.004108233,0.01120925,-0.0005467621,0.3465415,-0.603585,-0.5076261,0.04391207,-0.4667422,-0.0372364,4.485446,346.0796,327.0701,
82.066,-0.0218225,0.00811413,-0.0273799,0.07861988,0.04733798,0.05524945,-0.006420977,0.03299733,-0.2024075,358.4152,359.8243,359.3741,-0.004720071,-0.06152828,-0.2006208,0.3225471,-0.2478624,0.2726546,-0.1035304,-0.4559741,-0.005617715,11.28664,343.2212,1.685669,0.0001809945,0.02421421,0.001493336,0.09947146,-0.2053567,0.0194167,0.04428131,-0.4659757,-0.03691873,4.728647,345.529,326.048,
95.933,-0.02322097,0.008320946,-0.0277926,0.09149669,0.05689875,0.06036883,-0.006819323,0.0331113,-0.2027691,358.3292,359.7862,359.3185,0.001284054,-0.1028223,-0.1935976,0.1211835,-0.2560066,0.1859373,-0.1034572,-0.4584348,-0.007765323,11.48973,343.3718,1.499716,0.0006172967,0.04504146,0.0008821495,0.07926876,-0.06678084,0.445906,0.04485466,-0.4651051,-0.03677349,4.293448,345.0919,325.0813,
110.028,-0.0252069,0.008510251,-0.02794359,0.09455553,0.04714372,0.05763444,-0.007227384,0.03326443,-0.2031758,358.2651,359.7729,359.2796,0.01241309,-0.1507915,-0.1781327,-0.2489139,-0.3153479,0.09609374,-0.1030845,-0.4610771,-0.008939333,12.21984,343.5602,1.018313,0.009109179,0.06517187,-0.00313387,0.1204403,-0.05042891,0.776429,0.04536596,-0.4647484,-0.03715723,3.645196,344.6888,324.0837,
123.802,-0.02595626,0.008783111,-0.02807378,0.09268514,0.04557415,0.04280155,-0.007584192,0.03336839,-0.2035441,358.1864,359.7256,359.2745,0.02591458,-0.1830607,-0.1578307,-0.5076981,-0.3287666,-0.0393087,-0.102455,-0.4632041,-0.01068791,13.06151,343.7567,0.6923989,-0.002711776,0.06229278,-0.00888716,0.168103,0.289317,0.959004,0.04596304,-0.4642086,-0.03725413,3.477013,343.6005,323.171,
