time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.402,-0.005314904,-0.0003969519,0.004593391,0.009979182,-0.01266817,-0.01463276,0.02685919,0.3756217,0.167764,352.4828,354.925,356.8665,-0.001166815,0.0004295416,-0.001545903,0.01424136,-0.02094098,0.05241465,-0.146005,-0.4892972,0.1500137,66.43726,259.6281,246.5588,-0.002560887,0.0005579386,-0.02084875,-0.1099116,-0.1120215,0.03220771,0.240029,-0.4718401,0.1837799,69.32603,70.45821,111.4778,
13.129,-0.006061839,-1.308112E-05,0.00461663,0.01878629,-0.004380988,-0.02071998,0.02674824,0.3756151,0.1678298,352.4612,354.9105,356.8966,-0.0009034236,0.0001828568,-0.001666247,0.01112777,-0.01365014,0.05126701,-0.1458458,-0.4893057,0.1502175,66.43467,259.5941,246.5633,0.01294971,-0.0001350659,-0.01947636,-0.1761345,-0.01217674,0.04968408,0.2404733,-0.471887,0.1836819,69.20213,70.67462,111.9156,
25.997,-0.006701323,0.0005556198,0.004538815,0.02175119,0.006485076,-0.0242109,0.02664822,0.3756561,0.1679013,352.4461,354.8848,356.9132,-0.0002875447,-0.0003389957,-0.001771586,0.002321651,0.002703689,0.04338003,-0.1456552,-0.4893636,0.150482,66.43721,259.5457,246.5459,0.02314755,0.0001593116,-0.007772482,-0.1864952,0.08458659,0.1489105,0.2407977,-0.471808,0.1836643,68.91349,70.24962,111.8579,
40.04,-0.007286063,0.0009559978,0.004471468,0.02266502,0.01879953,-0.02287991,0.02654159,0.3756965,0.1679712,352.4328,354.8378,356.9261,0.0003664865,-0.0005499013,-0.0008091466,0.009302408,0.01167061,0.02343845,-0.1454701,-0.4894173,0.1507163,66.44577,259.5121,246.5288,0.02831201,0.001599522,0.006681526,-0.11433,0.150031,0.2074288,0.2409847,-0.4715991,0.1838719,68.64906,69.56676,111.2985,
53.951,-0.007970526,0.001393935,0.004509195,0.02230879,0.02659575,-0.02282594,0.02640724,0.3757321,0.1680333,352.4283,354.7974,356.9477,0.0003732032,-0.0007885952,-0.001541541,-0.01584421,0.01968475,0.02038954,-0.1453021,-0.4894712,0.1509354,66.45549,259.4615,246.4841,0.02928403,0.002483156,0.01735885,0.01081172,0.1709833,0.1812659,0.2410794,-0.4710491,0.1842752,68.48733,69.05072,110.6534,
67.732,-0.00835866,0.001418959,0.004444736,0.02450078,0.03724492,-0.02304734,0.026272,0.3757523,0.1680878,352.4045,354.7455,356.9578,0.001033324,-0.0004968318,0.001011286,0.02079226,0.01553593,-0.01243389,-0.1451471,-0.4895084,0.1511329,66.47082,259.4753,246.4931,0.03159098,0.004932753,0.02940975,0.1586635,0.2022766,0.1464954,0.2417822,-0.4711319,0.184678,68.29976,68.45892,109.7783,
81.596,-0.008300103,0.001531882,0.0043931,0.02225638,0.04370421,-0.02978715,0.02615371,0.3757781,0.1681448,352.4114,354.6972,356.9972,0.0005530677,-0.0002635126,0.0005482017,0.0122045,0.008113113,-0.00597359,-0.1449596,-0.4895311,0.1513029,66.48191,259.4849,246.5024,0.03857341,0.006035117,0.03414983,0.2454386,0.2577498,0.02241698,0.2422556,-0.4713544,0.1851246,68.0467,68.4768,109.3711,
95.559,-0.008072246,0.001835872,0.004515959,0.02552985,0.04806235,-0.03258427,0.0260551,0.3758194,0.168211,352.3776,354.645,357.0229,2.520123E-05,1.212476E-05,0.0001004292,0.01100688,-0.001627782,0.006159242,-0.1447146,-0.4895748,0.1514754,66.49,259.5059,246.5259,0.04030153,0.003960145,0.02965936,0.2847561,0.2317758,-0.12283,0.2424581,-0.4708717,0.1855469,67.96689,68.90075,109.3202,
109.661,-0.007986218,0.001724666,0.005012559,0.03138169,0.04802807,-0.02453862,0.02595139,0.3758474,0.168295,352.3533,354.6067,357.0196,-0.000317908,0.0004251732,0.0005405206,0.02036549,-0.01353095,0.005430737,-0.1445748,-0.4896108,0.1516862,66.49203,259.5467,246.5765,0.04077843,0.001419222,0.02569968,0.2486578,0.2243221,-0.1677579,0.2432656,-0.4715642,0.1856148,67.8362,69.25388,109.4024,
123.555,-0.007745116,0.001534328,0.005288425,0.02922474,0.04715105,-0.0157,0.02582178,0.3758641,0.1683832,352.3435,354.572,357.0183,-0.0003188415,0.0005169285,0.000824024,0.02685802,-0.01610453,0.004094872,-0.1444619,-0.4896281,0.1519435,66.49026,259.5793,246.6246,0.04428405,-0.003887532,0.01943462,0.1078733,0.2507629,-0.1807068,0.2435067,-0.4718966,0.1859577,67.60011,69.8558,109.9804,
137.501,-0.007111849,0.00089985,0.005446271,0.02234668,0.04001474,-0.01744997,0.02571312,0.3758585,0.1684704,352.3474,354.5491,357.0447,-0.0003958785,0.0003174021,1.001544E-05,0.007161241,-0.01043278,0.00757264,-0.1444101,-0.4896408,0.1521311,66.48753,259.5693,246.6248,0.04674813,-0.006882741,0.01524718,0.00807244,0.2729636,-0.151003,0.2439025,-0.4720083,0.1860598,67.34024,70.20303,110.3799,
151.262,-0.006098598,0.0003625444,0.005287236,0.01124289,0.03092249,-0.02524786,0.02565089,0.3758509,0.1685431,352.3647,354.5361,357.0682,0.0002372083,-7.725063E-05,0.0003470051,0.01334939,0.001633763,0.001232137,-0.1442475,-0.4896717,0.152298,66.48977,259.5519,246.6199,0.04534935,-0.009328252,0.007090438,-0.0732618,0.2468821,-0.1515174,0.2443589,-0.4723539,0.1859181,67.1803,70.73276,110.9704,
165.04,-0.004930127,-0.0002797123,0.005141813,0.002598798,0.02237292,-0.02928195,0.0256196,0.3758325,0.1686149,352.3791,354.5274,357.0989,0.0002299316,-0.0003982774,-0.0006753679,-0.003302052,0.009636635,0.01139267,-0.1440413,-0.4897235,0.152333,66.49074,259.5137,246.5896,0.04427197,-0.01368516,-0.007050252,-0.2094642,0.2481216,-0.2157654,0.2437952,-0.4724112,0.1859833,66.96355,71.84046,112.1674,
179.048,-0.00398533,-0.0007413828,0.004962247,-0.005368044,0.009357528,-0.02853574,0.02559534,0.3758116,0.1686815,352.401,354.5364,357.1149,-0.0003337424,-0.0004334458,-0.002191131,-0.02030581,0.007308842,0.03554812,-0.1437961,-0.4897926,0.1522956,66.48652,259.428,246.5244,0.02151557,-0.0149454,-0.01890694,-0.1236669,0.02369707,-0.2757003,0.2438647,-0.4722096,0.1855319,67.36617,72.56359,112.6996,
193.009,-0.002895527,-0.0009614077,0.004741295,-0.008999278,0.0005946048,-0.02124168,0.02558783,0.3757899,0.1687276,352.4095,354.548,357.113,-0.0005021077,-0.0003289386,-0.002288641,-0.01791904,0.003475175,0.0405645,-0.1435155,-0.4898704,0.1522051,66.48277,259.3456,246.4674,0.001453911,-0.01097274,-0.01955005,-0.03550222,-0.1097119,-0.2315333,0.2436343,-0.472139,0.1853546,67.6786,72.474,112.5135,
206.649,-0.001949518,-0.0009239339,0.004389294,-0.01174246,-0.005653809,-0.01671496,0.02558991,0.3757757,0.1687676,352.4176,354.5607,357.1184,-0.0002735143,-0.000359992,-0.001818415,-0.01558114,0.005894323,0.03048043,-0.1433565,-0.4899173,0.1521352,66.48161,259.2988,246.4332,-0.01023129,-0.01059677,-0.01869592,-0.02547635,-0.16605,-0.1794992,0.2434804,-0.4721915,0.1852963,67.89281,72.58243,112.6228,
220.471,-0.000887119,-0.0005289637,0.003991595,-0.01342513,-0.00838303,-0.01067225,0.02560994,0.3757801,0.1688241,352.4307,354.5694,357.1234,-8.797087E-05,-9.736325E-05,-0.0005271802,-0.004151596,0.001445613,0.009170839,-0.1432115,-0.48995,0.1521167,66.48073,259.2796,246.42,-0.0100444,-0.00892878,-0.01681344,-0.05227133,-0.1237901,-0.1313826,0.2434972,-0.4722681,0.1852549,67.88805,72.64563,112.7363,
234.492,-0.0002639474,-0.0006681283,0.003891646,-0.009184088,-0.01006331,-0.001354194,0.02562639,0.3757699,0.1688919,352.4267,354.584,357.1111,0.0002073327,-0.0002274682,-0.000198549,-0.007217668,0.00707293,-0.002310945,-0.1431375,-0.489972,0.1520651,66.48063,259.2619,246.3993,-0.006268273,-0.007521955,-0.01400514,-0.09169218,-0.05870403,-0.08423596,0.243433,-0.4722922,0.1852246,67.83329,72.72708,112.8874,
248.415,0.0004322493,-0.0007239063,0.003455047,-0.009079532,-0.007768977,0.003689034,0.02564663,0.3757546,0.1689289,352.432,354.59,357.099,0.0004190531,-0.0003172364,4.81407E-05,-0.004858932,0.01034218,-0.007228706,-0.1431744,-0.4900218,0.1519937,66.48302,259.2592,246.3903,-0.006046337,-0.006039968,-0.00993606,-0.09672241,-0.02770751,-0.0341689,0.2433365,-0.4723195,0.1851906,67.81274,72.7615,112.9807,
262.536,0.0006960188,-0.0006176163,0.002953494,-0.009621426,-0.004661201,0.01175968,0.02564624,0.3757317,0.1689398,352.4358,354.5953,357.075,0.0002644655,-6.43762E-05,0.0004585419,0.00402562,0.003097567,-0.008702267,-0.1432579,-0.4900138,0.1519555,66.48942,259.2694,246.3927,-0.009048495,-0.005030467,-0.00565677,-0.07872481,-0.02224474,0.01240657,0.2432093,-0.4723512,0.1851607,67.81432,72.73615,113.0127,
276.211,0.001123474,-0.0006131844,0.002464527,-0.007295108,0.002110525,0.0137902,0.02565557,0.3757041,0.1689441,352.4346,354.5873,357.0588,0.0001358832,0.0001444262,0.0007947281,0.01768062,-0.003864547,-0.004912292,-0.1434202,-0.4899885,0.151923,66.49702,259.2939,246.4155,-0.01349623,-0.005115785,-0.006136087,-0.03875482,-0.04475862,-0.003892412,0.2430343,-0.4723837,0.1850962,67.85182,72.76721,113.0541,
290.052,0.001209961,-0.0005875357,0.0021419,-0.004102886,0.004163715,0.01505097,0.02568129,0.3757021,0.1689651,352.4301,354.5854,357.0441,-4.996604E-05,0.0001900587,0.0004737519,0.02008962,-0.006848771,0.005273568,-0.1435672,-0.4899428,0.1519065,66.50167,259.3202,246.4506,-0.01898071,-0.006333654,-0.01025732,-0.009810628,-0.09024684,-0.05075853,0.2426038,-0.4722621,0.1849283,67.98032,72.95377,113.2096,
303.84,0.0012662,-0.0004772079,0.001713441,-0.005049729,0.006566736,0.01531071,0.02570981,0.375705,0.1689769,352.4333,354.5798,357.0296,-0.001649722,0.001062257,-0.000778324,-0.01463983,-0.03227242,0.01538969,-0.143749,-0.4899075,0.1518819,66.48842,259.3232,246.476,-0.02311103,-0.00715715,-0.01460942,-0.01258279,-0.1262948,-0.06959802,0.2420612,-0.4719079,0.1846179,68.16107,73.19986,113.4302,
317.881,0.00127781,-0.0006028794,0.001354001,-0.006903996,0.006473142,0.01380011,0.02573079,0.3756908,0.1689863,352.4401,354.5765,357.0194,-0.0003268732,-0.0003867575,-0.002041287,0.003028818,0.002936517,0.05040923,-0.1439314,-0.4898961,0.1518275,66.47962,259.243,246.438,-0.02215644,-0.007372321,-0.0205707,-0.05076613,-0.1322129,-0.09666912,0.2416703,-0.4717343,0.1843101,68.29499,73.61424,113.8544,
331.431,0.001524021,-0.0005971513,0.0008680464,-0.008992777,0.006676886,0.008763373,0.02575523,0.3756755,0.1689855,352.451,354.5707,357.0179,-0.0004916876,-2.116532E-05,-0.001301621,0.0360884,-0.01010181,0.06058763,-0.1440848,-0.489871,0.1517379,66.49216,259.2276,246.494,-0.02048402,-0.008377768,-0.02212598,-0.08281,-0.1218432,-0.08354783,0.2414643,-0.4718488,0.1841571,68.36537,73.87671,114.1808,
