time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.388,-0.0007543148,0.002411601,0.0008383607,0.0160112,-0.009187556,0.004342976,0.4192933,0.34474,-0.258552,3.140299,351.2985,357.5543,-0.005081658,-0.001337667,0.000664998,-0.001107538,0.003463679,0.01249195,0.2464094,-0.5013193,-0.2549347,49.8587,323.3422,306.0943,0.001898019,-0.01925678,-0.01275241,-0.03067355,-0.1624869,-0.02904433,0.5937389,-0.4906432,-0.2107227,41.0017,32.87542,59.72958,
13.219,-0.0007067054,0.002458025,0.0005143376,0.01714376,-0.001936002,0.01350434,0.4192789,0.3447841,-0.2585784,3.120226,351.2864,357.533,-0.005196146,-0.001440918,-0.0004185275,0.002466831,0.01009872,0.01831444,0.2463562,-0.5013254,-0.2549263,49.86106,323.3255,306.0909,-0.001950042,-0.02252037,-0.01260665,-0.1003621,-0.1503433,-0.01941104,0.5937675,-0.4909003,-0.2106643,41.18198,32.9297,59.85696,
26.365,-0.001314017,0.002465669,0.0005292004,0.01473437,-0.002447519,0.01038107,0.4192461,0.3448251,-0.2585821,3.109689,351.289,357.5344,-0.005044255,-0.001611339,-0.001219159,0.006550251,0.0154005,0.01909156,0.2462917,-0.5013273,-0.2549274,49.86784,323.2997,306.0888,-0.005259737,-0.01713598,-0.008538721,-0.1241077,-0.05548974,-0.004623167,0.5936181,-0.4908695,-0.2107213,41.1405,32.90273,59.96212,
40.526,-0.001820614,0.002453554,0.0008314136,0.01400466,-0.002807813,0.005579669,0.4192326,0.344861,-0.2585527,3.100173,351.2903,357.5396,-0.005049897,-0.001918968,-0.001218017,-0.003790953,0.018311,0.02361792,0.2462362,-0.5013142,-0.2549247,49.87559,323.2734,306.0823,-0.01018749,-0.01015751,-0.002938845,-0.06708156,-0.02844886,0.0508955,0.5935702,-0.4909434,-0.2106985,41.12817,32.80876,59.88747,
54.088,-0.002037651,0.002094675,0.00142318,0.01826945,0.001021302,0.007461911,0.4192241,0.3448831,-0.2585075,3.077294,351.2797,357.5371,-0.004914032,-0.001761163,-0.0006657763,-0.004548623,0.01759119,0.02647332,0.2461952,-0.5012882,-0.2549233,49.8796,323.2569,306.0821,-0.01565005,-0.002655752,0.002937421,-0.008281398,-0.01019952,0.1001616,0.5933355,-0.4908081,-0.2107634,41.13924,32.65691,59.77017,
67.721,-0.002111169,0.002057049,0.001802017,0.01626562,0.006942621,0.01202057,0.4192064,0.3448882,-0.2584875,3.063287,351.2543,357.5276,-0.003427746,0.0001558054,0.0008427681,0.0176348,-7.601554E-05,0.003542817,0.2461585,-0.5012244,-0.2549348,49.87482,323.2543,306.0902,-0.02025043,0.004285668,0.007669531,0.05835374,0.004473671,0.1509254,0.5931414,-0.4908358,-0.2106417,41.12253,32.36635,59.4851,
82.03,-0.002556856,0.001539486,0.00268769,0.01379922,0.004903714,0.01207909,0.4191743,0.3448643,-0.2584445,3.054037,351.2603,357.5179,-0.003339225,-0.001178936,0.001165051,-0.02139106,0.0003110904,0.01127592,0.2461294,-0.5011531,-0.2549292,49.87673,323.2355,306.0712,-0.01944584,0.006113581,0.009330779,0.08427281,-0.02053132,0.1260566,0.5930022,-0.4908936,-0.2103673,41.13529,32.26529,59.31306,
95.963,-0.002671963,0.0009391076,0.003249974,0.008659119,0.009010843,0.01536242,0.4191429,0.3448491,-0.2583968,3.051329,351.2447,357.5019,-0.001269145,0.001282929,0.002752198,0.01320082,-0.02035788,-0.02049045,0.2461072,-0.501072,-0.25493,49.86361,323.2561,306.0825,-0.02086546,0.01113938,0.01126991,0.09513979,0.03554788,0.1535652,0.592767,-0.4907202,-0.2104541,41.04179,31.99056,59.06527,
109.659,-0.002713268,0.0002376051,0.003632178,0.002064187,0.01191627,0.01237046,0.4191047,0.3448367,-0.2583408,3.060239,351.2316,357.4959,-0.001418777,0.0007390946,0.002783835,0.002111243,-0.01815468,-0.01311931,0.2461009,-0.5010108,-0.2549114,49.85959,323.2597,306.0722,-0.01792568,0.01025828,0.01180845,0.06043558,0.04449796,0.1035412,0.5925944,-0.4906671,-0.2102541,41.01662,31.99589,59.09538,
123.253,-0.003256389,-0.0005012613,0.004264864,-0.004158608,0.009337794,0.009985112,0.4190423,0.3448123,-0.2582679,3.073324,351.2307,357.4887,-0.001410213,0.001404815,0.00310178,0.02155697,-0.01554567,-0.01550931,0.2460879,-0.5009143,-0.2548918,49.84899,323.2738,306.0756,-0.0165821,0.01085763,0.0127031,0.05375916,0.07833529,0.1034052,0.5922757,-0.4901927,-0.2104998,40.92517,31.84808,58.99846,
