time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.297,-0.0004976753,0.0004122498,-0.009505552,-0.008308482,0.1474888,0.008466278,-0.04303825,0.1881574,-0.6449634,350.0887,3.150064,358.4818,0.7906081,-0.06317132,0.1587129,0.005718889,-0.54174,-0.6462344,-0.2364125,-0.08854554,-0.09248406,10.62298,10.109,27.66768,-1.178423,-0.01824728,-0.05500627,0.7442097,1.618382,0.1551198,0.06692268,-0.1063786,-0.06866909,5.414198,352.0458,336.6436,
12.65,0.0007624026,-0.003487854,-0.006909528,-0.06767655,0.1331384,-0.02332724,-0.0430007,0.187978,-0.6449966,350.2346,3.046192,358.5821,0.6981577,-0.118865,0.1535232,-0.4241818,-0.3745255,-0.6981884,-0.2289488,-0.09109705,-0.09026655,11.42604,9.998266,28.63708,-1.112226,-0.03016789,-0.0811324,0.6610401,1.523127,0.0291117,0.05426139,-0.1071257,-0.07005446,5.513659,351.0028,337.0031,
26.262,0.001538354,-0.006249736,-0.00414254,-0.09246924,0.1271993,-0.03580042,-0.04296756,0.1878006,-0.6449684,350.3328,2.938326,358.6066,0.6424991,-0.153979,0.1498507,-0.6030853,-0.3390348,-0.5822017,-0.2214411,-0.09347982,-0.08821453,12.15192,9.997952,29.11621,-1.06177,-0.04267683,-0.1004881,0.574311,1.527238,-0.1133389,0.04212102,-0.1076586,-0.0715542,5.790659,349.8845,337.515,
40.163,0.001316432,-0.007740535,-0.001159672,-0.09461873,0.1277327,-0.01193607,-0.04296839,0.1876366,-0.6448894,350.4016,2.858777,358.5262,0.5848737,-0.1911238,0.1389576,-0.6601702,-0.4046442,-0.2776529,-0.214678,-0.09635486,-0.08655494,12.97217,9.99491,28.96237,-1.007486,-0.04793404,-0.1194023,0.5068985,1.624838,-0.1562618,0.0312966,-0.1077003,-0.07331115,6.180383,348.52,337.9249,
53.856,0.001108819,-0.007768955,0.0008564063,-0.09647172,0.1301234,0.01805726,-0.04291779,0.1875247,-0.6448388,350.4888,2.778082,358.4566,0.5477498,-0.2167527,0.1263557,-0.7033997,-0.5453195,-0.05595233,-0.2083405,-0.09908687,-0.08480107,13.92083,10.16174,28.72389,-0.9381909,-0.02714161,-0.1372094,0.5383142,1.595806,0.07478889,0.022054,-0.1072258,-0.07492591,6.124091,347.1239,337.7423,
67.949,0.001244788,-0.008131191,0.003138945,-0.09890692,0.1259331,0.032231,-0.04284006,0.1873993,-0.644756,350.5819,2.699525,358.4181,0.4975424,-0.2363195,0.1096775,-0.7697681,-0.6602868,0.1248205,-0.2033903,-0.1014184,-0.08372105,14.99797,10.28629,28.40966,-0.8463944,0.005625808,-0.1535716,0.6398734,1.354067,0.2690851,0.01453782,-0.1070792,-0.07758996,5.59916,346.1456,337.5014,
81.948,0.001731743,-0.008230827,0.004962323,-0.1055842,0.1242447,0.03000794,-0.04277885,0.1872756,-0.6446429,350.6776,2.611562,358.3997,0.4311456,-0.2327435,0.08828035,-0.7029227,-0.5957401,0.1678065,-0.1992112,-0.1039681,-0.08260748,15.59828,10.29682,28.27473,-0.7506055,0.02102086,-0.1594603,0.6468434,1.129592,0.218305,0.007212596,-0.1068707,-0.07855966,5.306267,345.5093,337.6646,
95.305,0.001914767,-0.007465451,0.007138784,-0.09674888,0.1231728,0.03414442,-0.04275703,0.1871848,-0.6444693,350.7401,2.527206,358.3484,0.3818711,-0.2161866,0.07332747,-0.5459368,-0.5042242,0.1436239,-0.1956065,-0.1060278,-0.08201964,15.86142,10.39081,28.21401,-0.6665007,0.02372463,-0.1555561,0.5944942,1.069531,0.1569144,0.001605599,-0.1064719,-0.08062404,5.268708,344.7125,337.8544,
109.659,0.002481289,-0.006270686,0.008838352,-0.0831444,0.1180958,0.03364358,-0.04271722,0.1871238,-0.6442859,350.7843,2.455913,358.3221,0.3196732,-0.1922041,0.05757345,-0.3492653,-0.3058036,0.1324639,-0.1931438,-0.1080515,-0.08236782,15.74994,10.27929,28.12868,-0.5755972,0.02721085,-0.1458961,0.5159794,0.9724432,0.1878466,-0.003029632,-0.1061765,-0.08118759,5.200783,344.0226,337.8263,
123.459,0.003287147,-0.006172162,0.01024228,-0.07838687,0.101487,0.02092847,-0.04266989,0.1870375,-0.6440963,350.8536,2.416009,358.3278,0.253119,-0.182287,0.04360758,-0.3064783,-0.2301572,0.188593,-0.19132,-0.1100922,-0.08190326,15.95282,10.11645,27.93169,-0.4761765,0.03105421,-0.1281989,0.4233842,0.8336229,0.2234593,-0.005843926,-0.1058439,-0.08229092,5.114528,343.5156,337.7045,
