time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.314,0.01620659,-0.00253945,0.004663098,-0.03709793,-0.0513017,0.1079918,0.3839352,0.3454468,-0.2927065,4.300088,351.788,354.4749,-0.437907,0.06501102,-0.03652713,0.1399284,0.5563334,-0.3724898,0.2452366,0.144951,0.2110303,340.7163,343.1169,5.78272,0.337095,0.1140174,-0.04880726,0.227726,-0.2616421,-0.3924244,0.4245842,0.135031,0.2153833,358.2071,2.680002,354.6203,
12.154,0.01522854,-0.001302171,0.007372348,-0.008310843,-0.04046716,0.08278567,0.3841195,0.3454551,-0.2924948,4.27546,351.7747,354.4691,-0.5139011,0.06240298,-0.03701495,0.09488109,0.66378,-0.4440228,0.2367592,0.1458928,0.2106583,340.8479,342.2151,5.967698,0.4173407,0.1303539,-0.04328586,0.1126483,-0.4107147,-0.4147923,0.4323008,0.1373149,0.2148852,358.2272,3.254054,355.0029,
25.591,0.01507666,-0.001378448,0.007572264,-0.009532407,-0.009514521,0.03967897,0.3843498,0.3454031,-0.2923577,4.325529,351.7303,354.5251,-0.583097,0.06554965,-0.04536141,0.1102756,0.7698906,-0.4075757,0.2274142,0.146772,0.2099616,340.7621,341.3617,6.007613,0.5040337,0.1609465,-0.04666308,0.2434665,-0.6361025,-0.3815556,0.4412153,0.139956,0.2139574,357.7003,4.089873,355.2272,
39.251,0.01532559,-0.002736395,0.006888018,-0.01633285,0.02411071,-0.01719856,0.3845984,0.3452919,-0.2922535,4.398319,351.6749,354.6318,-0.6503688,0.0701877,-0.05938065,0.1506234,0.8975362,-0.3381381,0.2171856,0.1477052,0.2091609,340.5202,340.4461,5.950995,0.5915373,0.1903168,-0.05583658,0.4105426,-0.8598887,-0.2656668,0.4509958,0.1426629,0.2132896,356.973,5.104533,355.1894,
53.043,0.01582466,-0.003601618,0.006349209,-0.01907555,0.03905285,-0.03949805,0.3848332,0.3452331,-0.292182,4.42484,351.6408,354.665,-0.7103869,0.06790317,-0.07279741,0.1807978,0.9973246,-0.3340793,0.2063599,0.1481719,0.2080236,340.3173,339.434,5.980509,0.6709347,0.2139111,-0.06519505,0.5388632,-1.010067,-0.06623177,0.4615906,0.1455763,0.2118351,356.2572,6.149977,354.8287,
67.069,0.01549766,-0.00392872,0.00665226,-0.01124002,0.03000198,-0.02254545,0.3850358,0.3451926,-0.2920851,4.406354,351.6494,354.6246,-0.7965715,0.05462573,-0.08922138,0.1885233,1.138952,-0.4820333,0.193812,0.1486057,0.2071796,340.334,338.0461,6.231795,0.7387748,0.2314626,-0.07843693,0.6500551,-1.041693,0.1954729,0.4728969,0.1484685,0.2107059,355.5836,7.055814,354.1225,
80.846,0.01558084,-0.003570223,0.006389976,-0.006887075,0.03298391,-0.008224959,0.3852736,0.3451679,-0.2920147,4.410779,351.5997,354.612,-0.8574412,0.040713,-0.1033592,0.2011533,1.206544,-0.6317579,0.1815267,0.148665,0.2054399,340.4551,336.6368,6.605534,0.7957471,0.2407538,-0.0916704,0.7148505,-0.9532102,0.4388549,0.4849774,0.1512382,0.209777,355.0115,7.711471,353.2266,
95.013,0.01595589,-0.002468837,0.006114083,-0.002460554,0.05168113,-0.00610295,0.3855453,0.3451755,-0.2919579,4.41275,351.5252,354.6348,-0.91491,0.02338573,-0.1219293,0.2562176,1.188073,-0.7451078,0.1683137,0.1484936,0.2040263,340.5815,335.3138,7.130596,0.8585573,0.2423323,-0.1079255,0.7449511,-0.9969717,0.4208647,0.4977997,0.153644,0.2080263,354.3616,8.557984,352.7949,
109.212,0.01618589,-0.00117551,0.006941346,0.007255265,0.06017796,-0.00611719,0.3858066,0.3452037,-0.2918541,4.392472,351.4613,354.6454,-0.9546595,0.006560681,-0.1351658,0.2282209,1.170518,-0.7965316,0.1549215,0.1483423,0.2025884,340.8209,334.1017,7.468241,0.9056876,0.2372114,-0.1159586,0.6591623,-1.128011,0.2922028,0.5105046,0.1563299,0.206651,353.8973,9.642188,352.7573,
122.64,0.01682178,0.000496463,0.008684217,0.02948357,0.06396338,0.01310484,0.386069,0.3452957,-0.2917109,4.317192,351.3965,354.6192,-0.9959052,-0.01333636,-0.1503962,0.1625485,1.200476,-0.8077323,0.1410889,0.1474157,0.1996112,341.0832,332.8733,7.624879,0.9594309,0.2299982,-0.1241571,0.5614633,-1.272033,0.2054864,0.5242822,0.1588948,0.2054878,353.4938,10.88003,352.7642,
