time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.301,-0.1473036,0.005371201,0.1217439,-0.02334034,1.999931,-0.1546922,0.04355633,0.1798706,-0.61068,357.4563,61.80718,355.0465,-0.7355114,0.09511839,0.7243375,-1.919274,2.460858,-0.0006519556,0.1322507,-0.07326467,-0.3909629,324.0523,76.37381,13.56785,0.3321595,0.07580259,0.9536977,-0.7057738,1.906081,-0.2008186,0.3631552,-0.1437312,-0.7845109,340.2832,78.75127,355.3725,
13.119,-0.1557054,0.0003630188,0.1233853,0.0292536,2.072439,-0.1274468,0.04118228,0.1796412,-0.6089193,357.6004,60.04164,355.0363,-0.7898263,0.1025058,0.7075413,-1.94461,2.431476,-0.07101214,0.1204053,-0.07177082,-0.3835262,323.8905,73.99678,13.41433,0.3109812,0.07389084,0.9928326,-0.7425554,1.986813,-0.2027639,0.3670472,-0.1426625,-0.7712727,340.2674,76.85125,355.5558,
26.944,-0.1649612,-0.005130205,0.1249115,0.08988178,2.139468,-0.09801195,0.03854036,0.1794085,-0.6071939,357.7936,58.22833,354.9763,-0.864062,0.1127563,0.6781469,-2.01934,2.402388,-0.176483,0.1070378,-0.07011256,-0.376793,323.5955,71.54105,13.26994,0.2726426,0.07756163,1.042318,-0.8109179,2.125906,-0.3249627,0.3703607,-0.1415534,-0.7572665,340.1248,74.72607,355.5564,
40.553,-0.1753521,-0.009429294,0.1256669,0.1432129,2.20791,-0.07124043,0.03578365,0.1791458,-0.6055008,357.9828,56.35283,354.9138,-0.9187613,0.1191402,0.6475427,-2.036669,2.367708,-0.3113165,0.09359592,-0.06856848,-0.3705097,323.291,69.20006,13.04491,0.2382946,0.08429077,1.073603,-0.843707,2.183286,-0.4484719,0.3733326,-0.1402524,-0.7431738,339.9325,72.70599,355.4921,
54.737,-0.1865119,-0.01302629,0.1257383,0.1708463,2.283352,-0.04220813,0.03287715,0.1788413,-0.6037914,358.1815,54.41408,354.8816,-0.9859484,0.123783,0.6008768,-2.035107,2.347295,-0.492198,0.07921938,-0.06699941,-0.3649809,322.9138,66.93196,12.69133,0.1925584,0.09639071,1.109482,-0.888442,2.262242,-0.6134899,0.3749596,-0.1388916,-0.7286572,339.6297,70.55226,355.3445,
68.67,-0.1973718,-0.01515745,0.1249125,0.1808225,2.359565,-0.0007861629,0.0297876,0.1785721,-0.6021341,358.419,52.41082,354.8799,-1.033138,0.1240351,0.5630486,-2.015779,2.400567,-0.6774758,0.06462783,-0.06558281,-0.359909,322.5773,64.59399,12.22155,0.1422912,0.1069431,1.144244,-0.924636,2.346555,-0.7744878,0.3768636,-0.1374616,-0.7133238,339.273,68.29755,355.1764,
82.311,-0.2074528,-0.0164711,0.1235121,0.1618475,2.434651,0.03620516,0.02659142,0.178254,-0.6005261,358.6357,50.35751,354.9318,-1.083128,0.12069,0.5189876,-1.995799,2.522226,-0.8837448,0.04882678,-0.06477071,-0.3557195,322.2598,62.12886,11.60645,0.0932174,0.1159357,1.179058,-0.9401711,2.410064,-0.8177999,0.3773872,-0.1357457,-0.6978627,339.0386,66.00497,355.1863,
96.525,-0.217977,-0.01802167,0.1205524,0.1366706,2.507433,0.06379735,0.02325749,0.1778876,-0.5989846,358.8621,48.25091,354.9951,-1.125616,0.1117995,0.4699205,-1.870859,2.755605,-1.018395,0.03305322,-0.06334971,-0.3522532,322.2701,59.63073,10.79156,0.03733014,0.1260962,1.208421,-1.016675,2.432454,-0.9122334,0.3774539,-0.1342598,-0.6820297,338.604,63.64974,355.2636,
110.579,-0.2278682,-0.02020162,0.117939,0.122449,2.575522,0.07089371,0.01982409,0.1774683,-0.5974528,359.0482,46.08467,355.0262,-1.162961,0.102171,0.4246564,-1.789468,2.909925,-1.139046,0.01765445,-0.06230225,-0.3490615,322.2245,57.04994,10.05865,-0.01352068,0.1316416,1.236137,-1.025346,2.470145,-0.9101934,0.3772255,-0.1322061,-0.6656361,338.3849,61.28394,355.428,
124.336,-0.2375705,-0.02112653,0.11448,0.1387561,2.645223,0.06295153,0.01618654,0.1772106,-0.5959901,359.2281,43.86411,354.982,-1.195353,0.09172376,0.3805815,-1.676254,3.102345,-1.176675,0.001098465,-0.06108177,-0.3467781,322.4102,54.38824,9.298044,-0.07106243,0.1378131,1.258384,-1.028509,2.537637,-1.042424,0.3753415,-0.1309094,-0.6496599,337.9942,58.79126,355.4436,
