time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.402,-0.0423474,0.04255683,0.005465331,-0.2366329,0.4208477,-0.3892294,-0.5804282,-0.0288088,-0.7206095,14.66284,261.0444,0.8489159,0.05338363,-0.1310496,0.06007263,-1.061654,0.3987297,0.2261388,-0.604942,-0.4436078,-1.02168,340.5741,206.9635,7.030938,0.09442006,-0.1353763,-0.3116113,0.2907705,0.1087493,0.4613966,-0.8338938,-0.3912696,-0.7875804,349.7864,256.795,338.2384,
12.896,-0.0424167,0.04629176,0.02231604,-0.1919241,0.212423,-0.3739347,-0.5809579,-0.02812922,-0.7199581,14.48206,261.1521,0.6239955,-0.1046214,-0.100113,0.1279882,-0.7429243,0.04549529,0.1089944,-0.6111455,-0.4441672,-1.018464,340.5251,207.5701,6.958839,0.08324188,-0.1287178,-0.1918968,0.1950363,-0.2842688,0.5952086,-0.8328165,-0.391928,-0.7869059,350.3129,257.2217,339.1615,
26.599,-0.04068559,0.04920435,0.04069486,-0.1234727,-0.02456867,-0.3353553,-0.5813931,-0.0273782,-0.7189808,14.36336,261.5058,0.4369209,-0.2337331,-0.07679848,0.1867968,-0.3984341,-0.3406016,0.04669585,-0.6177567,-0.4446183,-1.01495,340.3607,208.567,6.431431,0.08208562,-0.106666,-0.0953415,0.02380951,-0.4256411,0.5507624,-0.8316121,-0.3926095,-0.7854552,350.3528,257.5586,339.7935,
40.454,-0.03758059,0.05137208,0.05763775,-0.0513711,-0.2583169,-0.2858984,-0.5818293,-0.02663076,-0.7178787,14.25604,262.0742,0.2979114,-0.4023408,-0.04824273,0.2684571,-0.06706005,-0.9253098,-0.08951631,-0.6268467,-0.4446215,-1.010239,339.9902,210.4433,5.492583,0.08315545,-0.07371753,0.01857294,-0.1727961,-0.4684628,0.4469292,-0.8309324,-0.3927,-0.781946,350.0818,257.8765,340.3061,
54.198,-0.03350844,0.05412256,0.07378793,0.02579217,-0.4943321,-0.2211158,-0.5821354,-0.02578348,-0.7165656,14.19576,262.8528,0.220957,-0.5120099,-0.02841083,0.3252384,0.03673203,-1.287321,-0.2247779,-0.6357747,-0.4445627,-1.005625,339.7375,212.242,4.881316,0.07961216,-0.0385185,0.1519824,-0.3427465,-0.646208,0.2622327,-0.829735,-0.3923741,-0.7759392,349.7049,258.6839,340.7056,
68.04,-0.02874433,0.05601847,0.08750048,0.07804285,-0.7102774,-0.1678214,-0.5822732,-0.02494594,-0.715017,14.10429,263.7727,0.1611114,-0.6206971,-0.006594259,0.3819051,-4.693866E-05,-1.608838,-0.3091621,-0.6463969,-0.4432986,-1.000537,339.6666,214.2256,4.421304,0.07666595,0.003062841,0.3077659,-0.4708183,-0.7645102,-0.19289,-0.8293056,-0.3917332,-0.7680324,349.0248,259.9406,340.3585,
82.021,-0.02223571,0.05876426,0.1019652,0.1327595,-0.9259406,-0.1244939,-0.5822705,-0.02408159,-0.7133261,14.00753,264.8441,0.108593,-0.7074536,0.01926247,0.4386009,-0.239594,-1.892206,-0.4380018,-0.6569101,-0.4420317,-0.9939318,339.6283,216.3582,4.449485,0.06801637,0.03070732,0.4602634,-0.4292088,-0.7842854,-0.6234702,-0.829204,-0.3911146,-0.758204,348.5551,261.2204,339.5061,
95.518,-0.01589991,0.06059004,0.1124263,0.174783,-1.095672,-0.09393889,-0.5821314,-0.02318683,-0.7114977,13.94086,265.997,0.0676337,-0.7787704,0.04940409,0.4973582,-0.6309355,-2.191452,-0.5099573,-0.6685283,-0.4396297,-0.9874014,339.7354,218.7326,4.906858,0.05574057,0.04744434,0.633514,-0.4463875,-1.097824,-0.8986319,-0.8289635,-0.3904538,-0.7464051,348.2913,263.1583,338.9597,
109.332,-0.007973169,0.06044121,0.1219118,0.2175391,-1.258528,-0.1035686,-0.5818588,-0.0223819,-0.7095716,13.86444,267.2519,359.9354,-0.8314542,0.08542983,0.5698752,-0.9502932,-2.466028,-0.6803753,-0.6796565,-0.4377394,-0.9788678,339.4738,221.3747,5.420427,0.04670905,0.05152872,0.7687896,-0.4285966,-1.375582,-0.942243,-0.828307,-0.3895986,-0.7335835,348.2689,265.0057,338.7651,
123.315,0.0009678619,0.05914219,0.1306323,0.2525278,-1.419333,-0.1431521,-0.581426,-0.02159637,-0.7074815,13.76944,268.635,359.7517,-0.8692262,0.1126228,0.6366805,-1.05413,-2.664141,-0.7625804,-0.6916686,-0.4351578,-0.9702775,339.1839,224.0763,5.552248,0.03959302,0.04025215,0.8921317,-0.3687188,-1.800428,-0.7926531,-0.8272995,-0.3890318,-0.7194765,348.5645,267.0877,339.1216,
