time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.312,0.01671509,-0.03584695,0.0354563,0.2378935,-0.004751721,-0.02056877,-0.1782754,0.1774238,-0.6005213,352.5387,1.502504,358.0817,0.1580921,-0.03647856,0.08037746,0.01103867,-0.2015871,-0.4415476,-0.2599913,-0.360679,-0.4190715,32.07763,21.37232,33.50831,0.04601642,-0.09868839,0.0107564,-0.0223163,0.1295316,-0.273234,-0.05168909,-0.3221393,-0.4019554,14.42326,348.1825,326.377,
12.851,0.01901625,-0.04644481,0.0379849,0.2502374,0.01165663,-0.04054452,-0.1779165,0.1763853,-0.599864,352.3268,1.45311,358.1371,0.1767842,-0.01486451,0.09578586,0.1060703,-0.1151841,-0.5957465,-0.2574529,-0.3603553,-0.417257,31.64312,22.11386,33.9863,0.03977691,-0.1120782,-0.00109835,-0.02601417,0.1252809,0.09392194,-0.05097516,-0.3242163,-0.4022516,14.34201,347.7542,325.7333,
26.027,0.02140531,-0.0600054,0.04088353,0.2581859,0.02181507,-0.0500312,-0.1775962,0.1750738,-0.5992215,352.1069,1.400346,358.1617,0.1994416,0.01862245,0.1126712,0.3832762,-0.1196608,-0.6793645,-0.2546369,-0.3595668,-0.4152952,30.92668,22.83724,33.9552,0.03594758,-0.1299925,-0.009748312,-0.06867899,0.139821,0.3838112,-0.05018816,-0.3266831,-0.402364,14.32222,347.261,324.9453,
40.172,0.0240949,-0.07364622,0.043202,0.2372623,0.02873018,-0.04890187,-0.1772014,0.1736664,-0.5985622,351.985,1.362792,358.1844,0.2181074,0.05349756,0.1278045,0.7337254,-0.1882641,-0.6672056,-0.2517791,-0.3585308,-0.4133324,30.08566,23.4309,33.39249,0.03533041,-0.1527136,-0.01757005,-0.1147512,0.2151808,0.5050431,-0.04912218,-0.3292204,-0.4027731,14.47045,346.7598,324.3393,
53.878,0.02826108,-0.09016313,0.04493318,0.2192874,0.03129299,-0.04685022,-0.1766894,0.1719649,-0.5979153,351.8185,1.333271,358.2065,0.2284813,0.0780073,0.1416884,0.9308705,-0.2910229,-0.5879217,-0.2488621,-0.3572958,-0.4106948,29.45617,23.90417,32.67754,0.05540955,-0.1699592,-0.02627865,-0.1637999,0.1657458,0.3860353,-0.04739837,-0.3318756,-0.403643,14.63249,346.7409,324.144,
67.583,0.03269029,-0.1051527,0.04551245,0.2256598,0.03362426,-0.05755476,-0.1760558,0.1700248,-0.5972621,351.6132,1.269275,358.2703,0.228281,0.09730572,0.1548484,0.8985691,-0.2558823,-0.522338,-0.2464728,-0.3555851,-0.4086748,28.96374,24.23306,32.32926,0.1182612,-0.1782651,-0.03776981,-0.2449901,-0.1692656,-0.04944739,-0.04477009,-0.3342287,-0.4045763,14.67047,347.8487,324.6592,
81.795,0.03770217,-0.1226764,0.0456708,0.2304555,0.04533407,-0.06986602,-0.1754453,0.1678612,-0.596617,351.4313,1.190116,358.3236,0.2233949,0.113001,0.1673754,0.7257614,-0.1401379,-0.5072238,-0.2438597,-0.3539484,-0.4059122,28.57791,24.53762,32.4188,0.16437,-0.1810495,-0.0511249,-0.2876073,-0.4186993,-0.3441932,-0.042454,-0.3368342,-0.4063187,14.60956,349.0045,325.1995,
95.653,0.04221223,-0.1405134,0.04478464,0.2370316,0.06805562,-0.07772994,-0.1747239,0.1652962,-0.596032,351.2226,1.064387,358.3778,0.2167875,0.1381025,0.1850992,0.5094467,-0.0001183464,-0.4693614,-0.240896,-0.3515856,-0.4023101,28.28422,24.68891,32.7146,0.1788445,-0.1884888,-0.06924848,-0.2293771,-0.4067959,-0.4792379,-0.04066641,-0.3397577,-0.4079825,14.61562,349.6389,325.7406,
109.63,0.04658962,-0.1551518,0.04374975,0.1509227,0.09274752,-0.0723832,-0.1739396,0.1630249,-0.595468,351.3454,0.9462991,358.3977,0.2075645,0.1861716,0.203934,0.5393502,0.1989128,-0.3137292,-0.2384433,-0.3472665,-0.4002181,27.66166,24.32563,32.48452,0.1616541,-0.2019306,-0.08549744,-0.122494,-0.1313555,-0.4357519,-0.03911383,-0.3428192,-0.4090233,14.82277,349.4738,326.0872,
123.526,0.0510709,-0.1607366,0.04147536,0.01778063,0.1107756,-0.02886389,-0.1730289,0.1610067,-0.5950357,351.5635,0.8611284,358.3199,0.2117025,0.2641869,0.21872,0.9287707,0.2364382,-0.0512001,-0.2345984,-0.3415558,-0.3972607,26.75823,23.69092,31.15859,0.1438245,-0.2131743,-0.1055144,-0.005483436,0.1038727,-0.319663,-0.03691851,-0.3458284,-0.4117106,14.9625,349.0455,326.2866,
