time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.337,0.1853755,-0.6144667,-0.03502542,-0.7825156,0.1462888,-0.115993,-0.3129586,0.0008628368,-0.1049873,2.669103,0.8881088,359.9861,0.02451227,-1.570939,-0.09752449,-2.143744,0.81151,0.7679042,-0.4186802,-0.4751034,0.006556999,344.7004,1.185202,353.0162,0.1220961,0.5652582,0.6243462,2.698682,0.8109727,-0.6109647,-0.2310152,-0.5058026,0.03498523,17.4239,3.311672,0.994808,
13.166,0.1864841,-0.6654315,-0.04519928,-0.9752141,0.1382739,-0.0306582,-0.3103108,-0.008169979,-0.1057905,3.657481,0.8067858,359.8736,-0.03592154,-1.767374,-0.1066148,-2.520721,1.052704,0.7267749,-0.4206441,-0.5028878,0.004723415,347.4917,0.566625,352.298,0.113018,0.5824898,0.6287305,2.982859,1.192522,-1.181796,-0.2289971,-0.4984476,0.04271539,14.26033,3.065757,3.043165,
26.642,0.1877374,-0.6669067,-0.05006407,-0.9462444,0.1129572,0.08493553,-0.3077233,-0.0152365,-0.1064497,4.194476,0.764052,359.6087,-0.1236116,-2.001284,-0.1126853,-3.599345,1.597578,0.7066918,-0.4235734,-0.5317674,0.002727367,352.4166,359.2513,351.4143,0.1217283,0.662218,0.6069347,3.60891,1.047842,-0.7040591,-0.225571,-0.4897883,0.04968462,10.35071,2.22968,2.59488,
40.365,0.1845949,-0.6177922,-0.04439962,-0.5826247,0.06657335,0.1527721,-0.3055698,-0.02100924,-0.1064168,3.769687,0.7878098,359.4094,-0.1986872,-2.129578,-0.1464771,-4.540206,2.112014,0.6940812,-0.4268937,-0.5574945,-0.0002317168,357.9431,357.6234,350.4788,0.1479341,0.7266179,0.5740575,3.823567,0.7156032,0.02478474,-0.2217868,-0.4808465,0.05635548,7.05757,1.550979,1.090502,
54.377,0.1719748,-0.5514845,-0.02968048,-0.005967781,0.05236735,0.1781331,-0.3037872,-0.02777261,-0.1061292,2.737576,0.7008631,359.227,-0.2859168,-2.119459,-0.2386906,-4.890319,2.694717,0.7679942,-0.4311394,-0.5782973,-0.006792795,2.915483,355.3217,349.1841,0.1929125,0.7911444,0.5286348,3.643407,0.258198,0.9517378,-0.2175285,-0.4699632,0.06165485,4.624456,1.177528,358.4925,
68.154,0.1532344,-0.4854119,-0.02956249,0.1456774,0.04059051,0.2290341,-0.3024543,-0.03187248,-0.1071726,2.711184,0.6556262,358.9387,-0.3644782,-1.863589,-0.3744454,-3.875737,3.088646,0.8830062,-0.4350867,-0.5905378,-0.01593342,4.695227,352.489,347.7293,0.2309818,0.8399506,0.479686,3.068925,-0.07393562,1.613237,-0.2135273,-0.4583085,0.0674697,3.308861,1.024441,355.9019,
81.871,0.1255144,-0.3922886,-0.03001452,0.1416921,-0.01821334,0.2553296,-0.3015961,-0.03386658,-0.1072939,2.736369,0.7816213,358.7165,-0.3761764,-1.442869,-0.5067297,-2.292671,2.551564,0.3693967,-0.438666,-0.5967453,-0.02765416,4.066777,351.1944,348.238,0.2529891,0.9113231,0.4173305,2.70639,-0.2834419,1.752265,-0.2101168,-0.4444439,0.07064015,1.86997,1.196898,354.1104,
96.105,0.09844653,-0.2836582,-0.02067435,0.1289506,-0.09975018,0.2845236,-0.3012062,-0.03326955,-0.1069426,2.65237,0.9820765,358.4076,-0.3229755,-1.032309,-0.5920086,-1.37985,1.562488,-0.7978783,-0.4417149,-0.5998194,-0.03615253,3.99518,351.6668,350.9207,0.2534484,0.9900884,0.3289954,2.667992,-0.3337984,1.355976,-0.2074829,-0.4304568,0.07169199,359.8235,1.429706,353.5903,
110.602,0.06255862,-0.1383527,-0.001901474,0.2072307,-0.1922489,0.2896495,-0.3014878,-0.03131208,-0.1062964,2.273457,1.249169,358.176,-0.2506029,-0.7002711,-0.6214887,-1.097246,0.7699327,-1.784786,-0.4443218,-0.6009581,-0.04485012,4.853724,352.7681,353.9477,0.2448023,1.07028,0.2102307,2.790729,-0.49766,0.3615845,-0.2050139,-0.4159357,0.07139312,357.2764,2.100107,354.8523,
123.539,0.02818995,-0.01782985,0.01216427,0.1911497,-0.2568795,0.2964762,-0.3022405,-0.02839968,-0.1059409,2.258329,1.517747,357.8944,-0.2121638,-0.4723266,-0.6180655,-0.9929401,0.4679968,-1.890622,-0.446923,-0.6013075,-0.05187057,5.769048,353.2739,355.5279,0.2307365,1.118302,0.09520061,2.97701,-0.6290045,-0.2131292,-0.2026927,-0.4023192,0.06956026,354.4843,2.636068,355.8115,
