time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.38,0.006520539,0.009792103,0.02062573,0.005692094,-0.05801062,-0.02023373,0.5557253,0.5199871,0.6081805,2.865103,351.2617,356.8393,-0.0306554,-0.4466014,-0.02605343,-0.02645443,-0.2782845,0.5299436,0.3969976,0.6431099,0.7416462,289.4066,288.9876,73.78963,0.01682216,-0.5264347,0.07822011,-0.762168,0.3651795,-0.6801781,0.7185299,0.6599663,0.7121378,302.0759,10.72594,351.4402,
13.084,0.006788237,0.0126201,0.02361955,0.03872798,-0.05115634,-0.02503532,0.5558575,0.5201547,0.608671,2.77366,351.2901,356.9095,0.02558752,-0.4681469,-0.06128852,-0.08188915,0.2940048,0.4269639,0.3980479,0.6354186,0.739935,288.2002,289.6213,73.18314,0.003066537,-0.5450891,0.05389963,-0.6267398,0.426925,-1.006386,0.7192422,0.6517589,0.7118251,302.3027,8.715253,352.1666,
26.115,0.007117643,0.01342392,0.02622507,0.0689839,-0.04032428,-0.03385808,0.5560073,0.5202771,0.6091057,2.688097,351.2954,356.9765,0.07298996,-0.4970828,-0.09952183,-0.05683676,0.7645059,0.09523264,0.3992116,0.6268927,0.7380177,286.8297,289.1882,73.0197,-6.642053E-05,-0.5620359,0.02238457,-0.3733395,0.3554766,-1.042719,0.7197458,0.6429189,0.7113169,302.1361,7.416133,352.6873,
40.217,0.007758719,0.01343346,0.02775939,0.072346,-0.01823235,-0.03957199,0.5561304,0.5204154,0.6095235,2.666018,351.274,357.029,0.09905636,-0.5362548,-0.1319986,0.006328501,1.023765,-0.3235573,0.400201,0.6176741,0.7358788,285.6317,287.952,73.20597,0.005019442,-0.5795288,-0.01496307,-0.0497944,0.1394689,-0.8694634,0.7204115,0.6340489,0.710346,301.5663,6.705358,353.2574,
54.11,0.008426687,0.01213363,0.02865598,0.05816798,0.0002597558,-0.04149219,0.5562709,0.5205632,0.6099744,2.670804,351.2498,357.0617,0.1012477,-0.5776342,-0.1594865,0.1128995,1.061891,-0.5988154,0.4008201,0.6083093,0.7332945,284.7557,286.1583,74.01926,0.02027305,-0.5961978,-0.05698365,0.3189206,-0.08977881,-0.5938295,0.7214935,0.6243638,0.7089502,300.6074,6.568232,353.662,
67.556,0.009324889,0.01104196,0.03007161,0.05075986,0.009827279,-0.03632464,0.5564429,0.5206966,0.6104206,2.64744,351.2376,357.0865,0.08837412,-0.6194769,-0.1863514,0.2773349,0.9568629,-0.6926616,0.4013014,0.5975835,0.7305951,284.1845,283.5832,75.91409,0.03923899,-0.6125857,-0.09007289,0.596683,-0.2096289,-0.3545172,0.7227113,0.614583,0.7075614,299.5904,6.761641,353.7839,
81.699,0.009813645,0.01109958,0.03228934,0.04538034,0.005164436,-0.02167316,0.5566243,0.5208031,0.6109071,2.609975,351.2431,357.0807,0.07092103,-0.6596889,-0.2055714,0.3751702,0.8283544,-0.5791019,0.4014185,0.5876396,0.7278457,283.752,281.4752,77.78953,0.06156427,-0.6388565,-0.1064675,0.6608231,-0.2398993,-0.1711895,0.7242052,0.6047873,0.7066654,298.8925,7.073312,353.7666,
95.711,0.01007399,0.0106594,0.03429991,0.04178579,-0.002853844,-0.006720266,0.5567508,0.5209115,0.6114157,2.577475,351.2559,357.0633,0.05814522,-0.6922355,-0.2137557,0.3866674,0.7620596,-0.3702093,0.4014262,0.5769145,0.7251476,283.2572,280.1517,79.21431,0.07795122,-0.6639227,-0.09368738,0.4373224,-0.1583791,-0.1151912,0.7258827,0.5946082,0.705828,298.9236,7.100204,353.744,
109.572,0.01041827,0.00964261,0.03609761,0.03155484,-0.004400493,0.003181865,0.5568518,0.5209833,0.6119075,2.570894,351.2627,357.0607,0.03829448,-0.7351125,-0.2089008,0.2696556,0.6437567,-0.07393182,0.4010238,0.5646892,0.7225522,282.9257,280.6208,79.21081,0.09436364,-0.6939439,-0.07671355,0.1735579,0.05322902,-0.160349,0.7275634,0.5847402,0.7051253,299.3268,7.079259,353.3265,
123.568,0.01060827,0.00790726,0.03746191,0.02451423,0.001277123,-0.004332853,0.557012,0.5210305,0.6124369,2.576163,351.2381,357.0919,0.01469914,-0.7709574,-0.1951703,0.1232322,0.4609996,0.1822702,0.4002175,0.5538074,0.7201535,282.838,281.9761,78.42583,0.1017469,-0.7247105,-0.06811998,-0.01764342,0.2015736,-0.2543838,0.7293659,0.5731179,0.7039943,299.749,6.740648,353.0878,
