time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.346,-0.008191245,-0.007404704,-0.058275,-0.04339446,0.07511553,0.02768283,-0.1038041,0.01402926,0.2748566,5.751292,1.754824,358.5617,-0.1354856,0.7154385,0.3823329,1.134506,0.3177738,1.239496,-0.2608128,-0.3972973,0.4771507,319.8734,311.0211,20.58745,-0.05557528,0.5075655,0.2509295,0.8623692,-0.9237044,-1.178401,-0.01958983,-0.3647692,0.4538165,325.4436,16.65068,353.813,
12.392,-0.006275211,-0.007612036,-0.06342676,-0.0440026,0.06320466,0.02736292,-0.103798,0.01387483,0.2738147,5.800309,1.719779,358.5478,-0.1433404,0.8178302,0.3467157,1.311737,0.7560797,1.36256,-0.2627869,-0.3842238,0.4820026,317.9666,309.6543,22.17859,-0.01195499,0.5933073,0.2335915,1.205267,-1.04063,-1.052767,-0.01828192,-0.3551975,0.4572483,323.5674,17.01642,354.053,
26.038,-0.004686359,-0.008797056,-0.06840025,-0.05060224,0.04318503,0.04081165,-0.1038522,0.0137997,0.2727382,5.872266,1.718485,358.4857,-0.1311121,0.918025,0.2979487,1.448497,1.271995,1.556241,-0.2647589,-0.3703708,0.4864618,315.4511,308.1152,23.80607,0.03641222,0.6950703,0.2059854,1.67341,-0.8682264,-0.9851052,-0.01615069,-0.3442862,0.4606977,321.3248,17.27306,353.5706,
39.834,-0.003395988,-0.008747897,-0.07280359,-0.06534123,0.01994905,0.04620267,-0.1038941,0.01369739,0.2716386,5.939621,1.731895,358.4356,-0.1205497,0.9905251,0.2542638,1.577127,1.619237,1.648983,-0.2668214,-0.3560785,0.490699,312.9889,306.3807,25.68522,0.06700654,0.766312,0.1864869,1.968933,-0.5829703,-0.9855546,-0.0138282,-0.333108,0.464198,319.2059,17.20234,352.9073,
53.462,-0.001913402,-0.00821265,-0.0756822,-0.05963103,0.002224488,0.05073743,-0.1038818,0.01357526,0.2705206,5.962103,1.743123,358.3951,-0.1177268,1.066265,0.2063905,1.716951,1.819371,1.664694,-0.2692405,-0.3405986,0.4942691,310.6829,304.3729,27.93636,0.09966525,0.852313,0.1723202,2.203386,-0.1689454,-1.071327,-0.01093132,-0.3206622,0.4675077,317.1077,16.725,351.9223,
67.549,-0.0001251772,-0.007452024,-0.07768349,-0.05213705,-0.01102842,0.04423144,-0.1038536,0.0134989,0.2694597,6.001892,1.780648,358.3868,-0.1336656,1.115301,0.1765298,1.799787,1.756865,1.509161,-0.2721783,-0.3243503,0.4978182,309.0902,302.204,30.38174,0.1199425,0.9133878,0.1623971,2.290463,-0.04880205,-1.118738,-0.008164524,-0.3075703,0.4708413,315.0883,16.32455,351.341,
81.471,0.001193248,-0.00717205,-0.07911578,-0.04907869,-0.02179634,0.03296917,-0.1037884,0.01340073,0.2683755,6.032429,1.809603,358.376,-0.156671,1.145432,0.1507575,1.883432,1.594893,1.347606,-0.2750446,-0.3085713,0.5005109,307.9122,299.8063,33.15198,0.1452062,0.9786258,0.159194,2.237354,-0.00139033,-1.111836,-0.00476226,-0.2927603,0.4746688,313.3295,15.90867,350.9354,
95.114,0.00240396,-0.007748542,-0.08005045,-0.04288869,-0.02267852,0.0302875,-0.1037068,0.01330143,0.2672608,6.066427,1.814503,358.3512,-0.1858767,1.169297,0.1332198,1.917466,1.204553,1.303972,-0.2784125,-0.2920414,0.5035346,307.3546,297.7591,36.15711,0.1701886,1.040058,0.1463378,2.224717,-0.08212303,-1.058356,-0.001470809,-0.2781261,0.4765258,311.4707,15.74067,350.6162,
109,0.00312506,-0.008283714,-0.0802177,-0.04508254,-0.02359222,0.0301859,-0.1036949,0.01314861,0.2661933,6.101409,1.833453,358.3213,-0.217499,1.182357,0.1281936,1.872723,0.8205224,1.158303,-0.2821776,-0.2750604,0.506234,307.308,295.9977,38.76328,0.1901292,1.098571,0.1128379,2.358143,-0.1791251,-1.035051,0.002204187,-0.2626301,0.4788916,309.2504,15.68318,350.1946,
122.844,0.003271125,-0.009212896,-0.07927608,-0.0463792,-0.02514175,0.02770329,-0.1036808,0.01293361,0.2651387,6.138528,1.846878,358.3117,-0.2136778,1.207411,0.09649498,1.766057,0.8501413,1.053186,-0.28371,-0.2586502,0.5068481,306.6548,294.1161,41.05429,0.2059468,1.153084,0.07474606,2.445478,-0.3319971,-0.9900494,0.006227679,-0.2459165,0.4810483,306.9877,15.65124,349.9656,
