time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.324,0.0009449691,-0.003255792,0.0008297167,-0.006439364,0.001573453,-0.02236381,0.3394009,0.1426055,-0.4016105,343.4391,344.9959,359.7594,0.0005789372,0.002003928,0.002090514,0.002769796,-0.01273462,0.008992736,0.07133067,-0.6011282,-0.2183056,44.69792,326.4079,14.16074,-0.038044,0.04123461,-0.03747286,0.01427095,0.2466095,0.5267752,0.16162,-0.5748206,-0.1422796,38.98084,320.5765,359.3868,
12.727,0.0007832104,-0.002224251,0.000387279,0.001764994,0.004650278,-0.01778438,0.3394325,0.1426017,-0.4016269,343.4319,344.9844,359.7699,0.0005424963,0.002855818,0.001696196,0.007116406,0.001644451,0.009757541,0.07133691,-0.6011192,-0.2182924,44.68945,326.4102,14.16521,-0.03708012,0.03540201,-0.03915362,-0.02249309,0.2365069,0.4318415,0.1613841,-0.5746784,-0.1425793,38.91704,320.3292,359.3992,
26.032,0.0008790793,-0.001421842,-0.0002469297,0.00555752,0.009418553,-0.01436922,0.3394653,0.1425935,-0.4016601,343.4181,344.9532,359.7793,0.0005959034,0.003235652,0.001139965,0.01338166,0.01129684,0.01155091,0.07133609,-0.6011075,-0.2182873,44.67938,326.4177,14.18267,-0.02688674,0.032797,-0.02777316,0.03842018,0.1494765,0.3538678,0.1615117,-0.5745243,-0.1425628,38.73839,320.3983,359.5115,
40.114,0.001087421,-0.001161057,-0.0006452982,0.002480195,0.01632068,-0.008031807,0.3394877,0.1425807,-0.4016939,343.4237,344.9447,359.7644,0.0006893061,0.002435785,-6.211323E-05,0.00887622,0.01657499,0.009083938,0.07132258,-0.6011119,-0.218286,44.67347,326.426,14.2041,-0.01170434,0.02816954,-0.01075073,0.1054119,0.02757421,0.2385676,0.1617312,-0.574403,-0.1424418,38.60888,320.6967,359.6243,
54.07,0.001463798,-0.0006729662,-0.001235439,-0.00776246,0.02116702,-0.001850093,0.3395185,0.142581,-0.4017343,343.4359,344.9412,359.7208,0.000772125,0.0004966377,-0.0006187166,-0.005302952,-0.0004864635,-0.0161315,0.07131079,-0.6011207,-0.2182923,44.67471,326.428,14.20945,0.002041907,0.01536933,0.002393632,0.03816102,-0.1048932,0.05173001,0.161831,-0.5745488,-0.1421772,38.8506,320.8237,359.3965,
67.274,0.001802759,-0.0001341506,-0.001446946,-0.009727582,0.02104516,0.001475424,0.3395454,0.1425946,-0.4017565,343.4435,344.9291,359.7203,0.0006515392,0.0001457195,-0.000863582,-0.01110247,-0.01487066,-0.01423094,0.07130286,-0.6011291,-0.2183066,44.67269,326.4209,14.19863,0.01486036,0.001933012,0.01363678,-0.08137968,-0.251158,-0.1290758,0.1625371,-0.5747444,-0.1414506,38.99827,320.9963,358.8241,
81.322,0.001937654,0.0006161864,-0.001584153,-0.004454073,0.01827954,0.005537042,0.3395693,0.1426244,-0.4017785,343.432,344.9227,359.7091,0.0008750458,5.372328E-05,-0.001618898,-0.01175707,-0.0175209,-0.007692464,0.07129931,-0.6011459,-0.2183347,44.66823,326.4056,14.17236,0.02613144,-0.01875101,0.02750118,-0.1634498,-0.3084224,-0.377635,0.162521,-0.5753838,-0.1402227,39.55705,321.2492,358.37,
95.437,0.002143122,0.001456967,-0.001631518,0.006330057,0.01950323,0.01021677,0.3396086,0.1426697,-0.4018039,343.3896,344.9111,359.6955,0.001044022,0.0002499415,-0.002024196,-0.001531442,-0.01134786,0.001453078,0.0713032,-0.6011596,-0.2183608,44.66663,326.4031,14.16469,0.03563756,-0.03633607,0.04087483,-0.1569528,-0.3068531,-0.5830206,0.1628624,-0.5756946,-0.1392918,40.18091,321.7177,358.1838,
109.082,0.002299504,0.002230429,-0.001727034,0.01597673,0.01739859,0.01517493,0.3396478,0.1427251,-0.4018315,343.3565,344.9039,359.6957,0.0004960049,0.0009110011,-0.002907414,0.00402541,-0.007299851,0.01836308,0.07131281,-0.6011742,-0.2184067,44.65974,326.4008,14.1569,0.04207475,-0.04594059,0.05570395,-0.1048909,-0.3092468,-0.7053961,0.1628322,-0.5763767,-0.1381171,40.72216,322.3255,358.1463,
122.989,0.002445808,0.002324392,-0.001999218,0.01387813,0.01283994,0.01724946,0.3396955,0.1427657,-0.4018762,343.3503,344.9062,359.693,0.0006545483,-0.001810421,-0.003302617,-0.01031348,-0.01760869,-0.03278546,0.07131715,-0.6011658,-0.2184702,44.67165,326.401,14.1403,0.03761049,-0.03915793,0.05879194,-0.05425151,-0.2917233,-0.6036812,0.1635111,-0.5758162,-0.1381212,40.87346,322.6547,358.1216,
