time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.317,0.0004175929,-0.0003195432,0.0002726445,0.0007670637,7.933515E-05,0.004556245,-0.02082964,0.02782587,-0.2170038,359.8601,359.9672,358.4179,-0.0006852052,0.001075212,0.000967562,0.002569394,0.004575679,-0.003584913,-0.06159414,-0.4884486,0.01923484,16.56204,9.845418,7.300197,-0.02049374,-0.05696914,0.01932913,-0.4695632,0.1601785,-0.3176891,0.06547944,-0.4753605,-0.01835411,10.34962,3.20043,347.0076,
13.298,0.0005737855,-0.0003484758,0.0004539656,-0.002191906,0.002439149,-0.001855966,-0.02081679,0.02782179,-0.2169936,359.8676,359.9625,358.4304,0.0004873848,0.002258938,0.000717718,0.008529815,-0.001572518,-0.0100921,-0.06157885,-0.4884082,0.01924606,16.55499,9.849476,7.303191,-0.006264526,-0.0761998,0.02378458,-0.7785369,-0.04748474,-0.7105104,0.06508693,-0.4756293,-0.01845385,11.15813,4.249795,348.3168,
26.815,0.0003753063,-0.0004343329,0.000722955,-0.006698992,-0.003657565,-0.007288203,-0.02081021,0.02781264,-0.2169833,359.8804,359.974,358.4456,0.0008203937,0.002410577,0.0006136934,0.01428006,-0.004370556,-0.009341738,-0.06156373,-0.4883782,0.01925107,16.5446,9.854935,7.304906,-0.002899971,-0.05867732,0.01720017,-0.5466805,-0.1218631,-0.610631,0.06505344,-0.4753907,-0.01876735,11.11503,4.59345,348.6289,
40.377,0.0009247387,-0.0009758441,0.0003939561,-0.006542407,-0.0004835333,-0.006200258,-0.02079048,0.02778213,-0.2170011,359.886,359.968,358.4495,0.0005312651,-0.0001388203,0.0007143546,-0.003066649,-0.006514092,-0.0009992203,-0.06154801,-0.4883594,0.01925653,16.53946,9.859834,7.308478,-0.006576995,-0.02343475,0.006186221,-0.08577272,-0.08831038,-0.1945774,0.06538961,-0.4754024,-0.01935394,10.5149,4.234566,347.9645,
54.465,0.0008343076,-0.001308136,-3.893442E-05,-0.01213858,-0.004503622,-0.003124582,-0.02081616,0.0277529,-0.2170331,359.9057,359.9789,358.4473,-0.0005642209,-0.001537106,0.0001602045,0.004563466,0.01141645,-0.01180342,-0.06153645,-0.4883693,0.01926075,16.53769,9.860149,7.314597,-0.0101175,0.006999947,-0.004310429,0.2119033,0.01383944,0.04939001,0.06554375,-0.4748935,-0.01917814,10.08272,3.771891,347.4869,
68.396,0.0005810594,-0.001324122,-0.0001941762,-0.01346498,-0.007702359,0.002149251,-0.02084554,0.02773122,-0.2170589,359.9189,359.9899,358.4367,-0.0001018735,-0.004304274,0.001107887,-0.02660617,-0.003299764,0.02428852,-0.0615197,-0.4883974,0.01927401,16.55933,9.850454,7.307903,-0.006730251,0.03869184,-0.01336669,0.440019,0.03150854,0.2392579,0.06595558,-0.4735635,-0.02010157,9.334495,3.3148,346.8586,
82.227,0.000533842,-0.000517007,-0.0002725521,-0.01027585,-0.006840113,0.005394111,-0.02085485,0.02775439,-0.217076,359.9211,359.9925,358.4264,-7.673886E-05,-0.0009469636,0.0001607516,0.01675917,0.01427437,-0.003510474,-0.06150801,-0.4884117,0.01926548,16.55392,9.84209,7.305522,-0.002427582,0.07391222,-0.02346474,0.7385705,0.01341164,0.3904018,0.06640098,-0.4725485,-0.02128712,8.331881,2.882868,346.1639,
95.866,0.0005237463,0.0003690696,-3.468157E-05,0.002657784,-0.004282043,0.004545291,-0.0208652,0.02779214,-0.2170821,359.8964,359.9899,358.4237,0.001644149,-0.001485785,0.0008553643,-0.008242259,-0.02007632,0.02417121,-0.06148641,-0.4884103,0.01926462,16.5622,9.841915,7.286811,-0.003695252,0.092198,-0.02762514,0.8557008,0.07976251,0.4521931,0.06644792,-0.4719188,-0.0206919,7.569907,2.355469,345.6549,
110.193,0.0001674825,0.001241221,0.0004550268,0.01574528,0.0004260133,0.001587198,-0.02089104,0.02783368,-0.2170676,359.8626,359.9812,358.4261,0.0004572964,0.002854198,-0.0003187975,0.03813355,0.005654939,-0.01436215,-0.06147739,-0.4883947,0.01924451,16.53839,9.843922,7.280481,-0.006161034,0.09030253,-0.02417804,0.777684,0.1375864,0.3991584,0.06664563,-0.4708973,-0.02161526,7.149737,1.975818,345.4265,
123.971,-0.0005937605,0.001447457,0.0009854692,0.02126455,0.003374621,-0.000427505,-0.02093435,0.02785002,-0.2170365,359.8338,359.9624,358.436,-5.876696E-06,0.000742397,0.001012646,-0.008157057,-0.01365855,0.01678705,-0.06147741,-0.4883659,0.01923752,16.54107,9.844705,7.269245,-0.005400561,0.08032247,-0.02142088,0.7042995,0.1013717,0.3142345,0.06663306,-0.4706298,-0.02204213,6.740476,1.822904,345.3031,
137.519,-0.001208377,0.0009447942,0.00124206,0.01616131,0.005827762,-0.005813557,-0.02098089,0.02784211,-0.2170116,359.8325,359.9626,358.4442,-0.002100487,0.002786176,0.0001887472,0.02030905,0.02024849,-0.03719601,-0.06150989,-0.4883398,0.01922519,16.51793,9.847313,7.290297,-0.008971229,0.05271336,-0.01425234,0.4860169,0.1164512,0.1910491,0.06623062,-0.4715134,-0.02106262,6.761209,1.718191,345.3814,
151.597,-0.00158456,0.0001442141,0.001245791,0.007824247,0.009431098,-0.004850733,-0.02103947,0.02784178,-0.2169959,359.842,359.9479,358.4471,-0.002684424,-0.001128416,0.001125955,-0.02578013,0.007701324,-0.01867055,-0.06155069,-0.4883313,0.01923053,16.53145,9.85077,7.309894,-0.008421054,0.02054757,-0.003850047,0.1943884,0.08718551,-0.0659121,0.06617758,-0.4710862,-0.0212846,7.146612,1.952007,345.8762,
165.611,-0.001769509,-0.0007376136,0.0009907165,-0.007120188,0.008077994,-0.007219201,-0.02109354,0.02782566,-0.2169913,359.8741,359.9431,358.4574,-0.003215907,-0.002191426,0.001254268,-0.02383258,0.01640238,-0.02587616,-0.06158856,-0.4883492,0.01924919,16.53394,9.851176,7.337613,0.005320884,-0.008618874,0.003050608,-0.065245,-0.05981859,-0.1728446,0.06627116,-0.4714972,-0.02119312,7.428449,2.297057,346.1028,
