time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.342,0.002052028,0.003484078,0.0004941832,0.04695089,-0.02832425,0.01453261,-0.1473276,0.0349251,-0.30591,2.717541,359.2054,358.1392,-0.004503949,-0.00805565,0.003516069,-0.03334565,-0.0068717,-0.01898354,-0.3040079,-0.4211687,-0.1037267,14.7168,357.4941,20.90377,-0.1075693,-0.01949089,-0.01101245,0.02106446,0.8017642,-0.8037767,-0.03077298,-0.4185947,-0.08966011,15.71135,5.108762,353.4936,
14.486,0.001214869,0.003791433,0.0007441122,0.03839765,-0.01537207,0.009018932,-0.1473375,0.03500032,-0.3059055,2.712963,359.1888,358.1441,-4.320085E-06,-0.003750589,0.002363994,0.0007332671,-0.02640074,-0.003379442,-0.3040274,-0.4212067,-0.1036914,14.72194,357.5106,20.90179,-0.09580437,-0.01771307,-0.009336837,0.01394088,0.6632859,-0.7644859,-0.03152085,-0.4186428,-0.08977927,15.61785,5.126453,354.1157,
26.323,0.0003941664,0.003428948,0.001252136,0.03165328,-0.01053899,-0.001542381,-0.1473699,0.03505677,-0.3058807,2.700069,359.1914,358.1741,0.002732697,-0.001139432,0.001553427,0.02198003,-0.03456671,0.02201527,-0.3040187,-0.4212353,-0.1036635,14.71354,357.5333,20.87965,-0.07709384,-0.006108449,-0.008173935,0.1131571,0.4115617,-0.5255085,-0.03204533,-0.4185506,-0.09006582,15.35,5.178473,354.0484,
40.166,-0.0002567318,0.002624417,0.001432315,0.01510863,-0.003049474,-0.002595891,-0.147397,0.03508663,-0.3058539,2.705406,359.1966,358.1669,0.004794336,-0.001358671,0.001529004,0.008644431,-0.04736291,0.02684395,-0.3039747,-0.4212517,-0.1036171,14.71381,357.5584,20.84399,-0.06549334,0.003885214,-0.008564752,0.1715249,0.2520885,-0.1719239,-0.03236056,-0.4185069,-0.09039143,15.21423,4.958771,353.517,
53.99,-0.001521979,0.001315843,0.002070382,0.006021587,-0.005833484,0.007488867,-0.1474343,0.03508049,-0.3057877,2.713959,359.2041,358.1438,0.005477113,-0.0009334305,0.001671803,-0.00658809,-0.04911607,0.02929875,-0.3039244,-0.4212502,-0.1036241,14.7241,357.5753,20.80642,-0.0575417,0.006365424,-0.009311874,0.1495509,0.1538743,0.05927473,-0.0328103,-0.4185187,-0.09032396,15.22829,4.753004,353.0356,
67.827,-0.002549216,9.554951E-05,0.00250881,0.00372455,-0.007943269,0.008258146,-0.1474761,0.03505957,-0.3057243,2.715071,359.2108,358.1364,0.004584994,0.002652063,0.0006237172,0.02053586,-0.01598564,0.02945004,-0.3038731,-0.4212391,-0.10358,14.71452,357.5801,20.78322,-0.0523807,0.003919479,-0.007619575,0.05429455,0.115507,0.2579716,-0.0331919,-0.4182817,-0.09045939,15.47052,4.470952,352.5153,
81.644,-0.002842246,-0.0005731994,0.002239395,-0.003633786,0.002575348,-0.004992089,-0.1475318,0.0350458,-0.3057144,2.732223,359.1934,358.1642,0.005918703,0.003617017,0.001473789,0.004339116,-0.04363178,0.01021059,-0.3038143,-0.4211805,-0.1035361,14.72169,357.6065,20.76294,-0.04593655,0.004881761,-0.003310734,-0.008859282,0.09275831,0.3581437,-0.03336777,-0.417946,-0.09003629,15.67613,4.219279,352.0914,
95.67,-0.00332134,-0.001042791,0.002299299,-0.002271661,0.01587844,-0.01867083,-0.147605,0.03502911,-0.3056952,2.730622,359.1572,358.214,0.006146024,0.006357436,0.001524505,0.02537043,-0.0467125,-0.003698269,-0.3037782,-0.4210929,-0.103522,14.70217,357.6425,20.76025,-0.03651832,0.01174989,-0.001295791,0.01676018,0.04652186,0.3638965,-0.03345142,-0.417565,-0.0904676,15.66197,4.089472,351.7663,
110.167,-0.004069694,-0.0007874572,0.002539853,-0.001324527,0.02365225,-0.03075561,-0.1476832,0.03502709,-0.3056489,2.737336,359.1299,358.2621,0.002001598,0.009718554,0.0004483945,0.05905978,0.004995502,-0.008151899,-0.3037798,-0.4209858,-0.1035151,14.64449,357.6633,20.77525,-0.02798912,0.008279327,-0.002118679,-0.00122772,0.02806214,0.2941038,-0.03373465,-0.4186374,-0.09023196,15.68721,4.049266,351.6381,
123.58,-0.004530891,9.972556E-05,0.002740941,0.0001587837,0.02913058,-0.03229758,-0.1477447,0.03504747,-0.3055828,2.738373,359.0944,358.2798,-0.0006676482,0.00605399,0.002974322,0.005305515,-0.008257979,-0.01016497,-0.3038025,-0.4209195,-0.1035193,14.64773,357.6685,20.78001,-0.0199471,0.01923658,0.00118013,0.0511013,-0.001468737,0.234757,-0.03361319,-0.4171051,-0.09026308,15.59321,4.024477,351.5359,
