time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.31,-0.01122756,0.005883643,0.1677137,0.007352475,-0.08050734,0.01485845,-0.05838424,0.1965488,-0.6395572,345.0036,0.7013181,357.9877,-1.403804,-0.2466893,-1.371167,-1.912016,2.308916,-0.7231321,-0.7025328,-0.1809033,-0.3448293,22.97783,321.4711,33.389,1.685623,-0.1945522,-1.212992,-1.388105,-3.067924,0.638346,0.5555115,-0.140553,-0.2604431,12.5637,36.13591,339.3053,
12.932,-0.01065576,0.005712774,0.1716443,0.004665013,-0.08271854,0.03457707,-0.0585677,0.1966515,-0.6370454,345.0085,0.7936176,357.9395,-1.349462,-0.2393388,-1.41643,-1.871519,2.247893,-0.7518868,-0.7181699,-0.1836873,-0.3641617,23.27674,319.1825,33.35743,1.62833,-0.1871329,-1.267255,-1.361544,-3.04497,0.6226323,0.5745466,-0.1426411,-0.2777954,12.78389,38.76537,339.2689,
26.521,-0.009975807,0.005192638,0.1749164,0.003328941,-0.08765185,0.03865035,-0.05870271,0.1967354,-0.6345339,345.0107,0.8800477,357.9398,-1.283361,-0.2221404,-1.479292,-1.981477,2.235645,-0.6935034,-0.7325662,-0.186333,-0.384789,23.28372,316.5114,32.97984,1.568683,-0.1758433,-1.333896,-1.604523,-3.058218,0.5502737,0.5925376,-0.1445073,-0.2961476,12.92299,41.87198,339.9711,
40.175,-0.009611052,0.004379523,0.1782332,-0.002531803,-0.09768974,0.03960993,-0.05885077,0.1967311,-0.6319535,345.0189,0.9861133,357.9355,-1.226059,-0.2173929,-1.523719,-2.028825,2.240076,-0.761649,-0.7461634,-0.1890888,-0.4051488,23.45662,313.8288,32.66215,1.502257,-0.1613732,-1.39541,-1.83407,-3.030699,0.5197693,0.6094492,-0.1460515,-0.3149712,13.02115,45.01516,340.9528,
54.068,-0.009751124,0.003552368,0.180995,-0.01030056,-0.1005989,0.04877466,-0.05899811,0.1967716,-0.6294048,345.0452,1.084078,357.8953,-1.153195,-0.2203013,-1.564343,-2.000217,2.274985,-0.9024082,-0.7584237,-0.1920869,-0.4260119,23.81035,311.1868,32.5014,1.426051,-0.1483154,-1.445778,-1.913647,-2.927126,0.5708597,0.6252303,-0.1473553,-0.3345532,13.20259,47.87216,341.8456,
68.094,-0.0102059,0.002448334,0.1834731,-0.01565445,-0.1009626,0.05407152,-0.05919272,0.1967274,-0.6267167,345.0546,1.188236,357.8693,-1.067656,-0.2254788,-1.587812,-1.814529,2.20003,-1.043239,-0.7698861,-0.1947688,-0.4466667,24.37377,309.0184,32.48743,1.34339,-0.1328503,-1.488143,-1.817238,-2.811429,0.6309329,0.6402067,-0.1484806,-0.3543248,13.40688,50.42164,342.4411,
81.903,-0.01094451,0.001984908,0.1858696,-0.03053147,-0.101283,0.0496552,-0.05934864,0.1967953,-0.6240734,345.1131,1.267941,357.868,-0.9800234,-0.2185894,-1.603468,-1.601593,2.135004,-1.052447,-0.7797191,-0.1968245,-0.4682971,24.76826,307.1319,32.66005,1.261355,-0.1149098,-1.520779,-1.465569,-2.730255,0.6173719,0.6544999,-0.1494016,-0.3747396,13.54751,52.52289,342.2794,
95.961,-0.01200512,0.001862481,0.1882268,-0.02145814,-0.09296059,0.04596155,-0.05954254,0.1968002,-0.6213533,345.0874,1.331773,357.8484,-0.8860909,-0.1989228,-1.62004,-1.376546,2.121854,-0.9866205,-0.7888786,-0.1985174,-0.4901163,25.05048,305.4532,33.0998,1.18288,-0.1106109,-1.554261,-1.028571,-2.774126,0.637558,0.6671224,-0.1506201,-0.3960465,13.89933,54.56856,341.5123,
110.41,-0.0136352,0.001879896,0.1903985,0.0005024947,-0.08390131,0.04500668,-0.05975664,0.1968081,-0.6186401,345.0447,1.390459,357.831,-0.8187105,-0.1747273,-1.641175,-1.304551,2.191187,-0.8913192,-0.79719,-0.2000114,-0.5121545,25.08443,303.5337,33.57729,1.108508,-0.1024127,-1.588059,-0.6496524,-2.862746,0.4960259,0.6794754,-0.151766,-0.4174302,13.95095,56.47538,340.3259,
123.562,-0.01499666,0.001591052,0.1918919,0.008511299,-0.07604517,0.03158755,-0.05997312,0.1968158,-0.6159145,345.0334,1.437032,357.8442,-0.7366984,-0.1375871,-1.674506,-1.322694,2.297463,-0.7695739,-0.8046054,-0.2012164,-0.5346578,24.85126,301.4767,34.1314,1.021017,-0.09389801,-1.642676,-0.4064597,-3.088843,0.3738469,0.6899,-0.152702,-0.4408039,13.95881,58.67022,338.876,
137.705,-0.01614653,0.001009059,0.1928734,0.006451897,-0.07505693,0.02002274,-0.06018662,0.1967937,-0.6132246,345.0354,1.488327,357.8673,-0.6698766,-0.09952156,-1.716997,-1.555978,2.462088,-0.7017353,-0.8103496,-0.2020819,-0.5578814,24.28703,298.8495,34.47256,0.9467472,-0.08714892,-1.705954,-0.5416887,-3.32053,0.4077133,0.6999753,-0.1536842,-0.4631984,13.9182,61.58896,338.185,
151.4,-0.01756093,8.126013E-05,0.1931442,0.004029156,-0.06217423,0.01886371,-0.06046098,0.1967801,-0.6105279,345.0369,1.522505,357.8491,-0.5998559,-0.07463162,-1.74564,-1.726894,2.50968,-0.736717,-0.8158703,-0.2031947,-0.580224,23.75197,296.1899,34.61577,0.8638495,-0.07883971,-1.746644,-0.6606089,-3.349787,0.4140378,0.7079939,-0.1543446,-0.4865141,13.75302,64.27028,337.652,
165.306,-0.01892734,-0.001072427,0.1928605,0.00585246,-0.05006945,0.01675822,-0.06074762,0.1967434,-0.6078814,345.0277,1.540023,357.8414,-0.524654,-0.06449321,-1.756126,-1.808119,2.501765,-0.8343977,-0.819452,-0.2041744,-0.6027417,23.29101,293.5688,34.67546,0.777434,-0.07750708,-1.771541,-0.6956592,-3.33028,0.43521,0.7157928,-0.1556208,-0.5090774,13.65396,66.79522,337.0578,
179.351,-0.02068815,-0.002368772,0.1914764,0.00263944,-0.03333069,0.01587169,-0.06107193,0.1966888,-0.6053137,345.0393,1.545813,357.8292,-0.4416449,-0.07578214,-1.741539,-1.648208,2.367286,-0.9806046,-0.8229303,-0.2058949,-0.6240062,23.32229,291.3759,34.68799,0.6903074,-0.0867538,-1.782199,-0.6519039,-3.274212,0.453669,0.7221172,-0.1572392,-0.5319918,13.66775,69.11382,336.3412,
193.511,-0.02195072,-0.003841753,0.1891245,-0.008275004,-0.01933208,0.007082042,-0.06137168,0.1965664,-0.6027799,345.0626,1.52681,357.8471,-0.35837,-0.09453075,-1.711056,-1.355494,2.223657,-1.027475,-0.8250191,-0.2074301,-0.6454246,23.60536,289.6613,34.92798,0.6007872,-0.1032404,-1.785533,-0.6383469,-3.186887,0.5287976,0.727411,-0.1592991,-0.5544657,13.76253,71.4296,335.8094,
207.162,-0.02284325,-0.005710563,0.1861152,-0.02601452,-0.01089973,-0.008041368,-0.0616768,0.1964046,-0.6003199,345.126,1.505975,357.8896,-0.2793151,-0.109658,-1.683214,-1.116984,2.145482,-1.028071,-0.8266293,-0.2091554,-0.6665282,23.93476,288.0531,35.3069,0.5229635,-0.1238246,-1.784576,-0.6370326,-3.088562,0.6865695,0.7319754,-0.1615271,-0.5766497,13.99998,73.81959,335.5655,
220.899,-0.02364201,-0.008215962,0.1814934,-0.05502328,0.004689754,-0.01812326,-0.06202227,0.196199,-0.5979517,345.2167,1.46928,357.8981,-0.2085262,-0.1102514,-1.666166,-1.070039,2.140976,-0.9928667,-0.8270049,-0.2105163,-0.6877754,23.95609,286.265,35.73933,0.4245048,-0.1500795,-1.77216,-0.6344246,-2.904193,0.9202445,0.734689,-0.1639512,-0.5986493,14.36973,76.18942,335.791,
235.181,-0.02421676,-0.01025993,0.1770384,-0.07642236,0.02115739,-0.01919619,-0.06237018,0.1960553,-0.5956351,345.3181,1.422921,357.9099,-0.135812,-0.101948,-1.649958,-1.175157,2.140046,-0.9514811,-0.82653,-0.2122229,-0.7085359,23.60176,284.3191,36.14809,0.3410063,-0.1649786,-1.750232,-0.6223599,-2.713091,1.082818,0.7369097,-0.1662705,-0.6200535,14.66631,78.44336,336.1178,
249.066,-0.02463786,-0.01077938,0.1717988,-0.0806499,0.03888443,-0.02051483,-0.0627287,0.195999,-0.5933926,345.368,1.36307,357.9203,-0.07407198,-0.1030806,-1.631884,-1.228723,2.071637,-1.069504,-0.8255493,-0.2141667,-0.7285386,23.3593,282.1952,36.17907,0.2641221,-0.1718361,-1.718604,-0.6198322,-2.528239,1.124696,0.7383744,-0.1687361,-0.6409732,14.78452,80.50814,336.3742,
262.837,-0.0244108,-0.009811632,0.1663188,-0.0521775,0.05116935,-0.03484805,-0.06304646,0.195921,-0.5912528,345.3377,1.279886,357.9637,-0.009355173,-0.1194309,-1.599286,-1.131605,1.987469,-1.179231,-0.8237553,-0.2164994,-0.7477571,23.38805,280.2171,36.15319,0.1930195,-0.1862885,-1.683019,-0.5502419,-2.397482,1.146438,0.7390482,-0.171801,-0.6614143,15.01053,82.49197,336.5703,
276.814,-0.02356469,-0.008041873,0.1602005,-0.02006699,0.05386142,-0.0596815,-0.06333542,0.1958535,-0.5891788,345.2993,1.194978,358.0472,0.05308111,-0.1421416,-1.550566,-0.9649944,1.854997,-1.197789,-0.8214748,-0.2192009,-0.7661936,23.53789,278.5556,36.14758,0.1346689,-0.2067598,-1.649765,-0.4244781,-2.327593,1.169423,0.7392424,-0.1749295,-0.6812273,15.43629,84.46733,336.7438,
290.708,-0.02226829,-0.007091771,0.1532321,-0.001821831,0.05508305,-0.07326064,-0.06360799,0.1956673,-0.5872412,345.2766,1.117349,358.1055,0.1064565,-0.1690201,-1.496543,-0.7852935,1.769038,-1.169809,-0.818893,-0.2222326,-0.7840166,23.80468,277.0532,36.24345,0.06888926,-0.2306363,-1.604682,-0.2625262,-2.269342,1.106462,0.7383136,-0.1782218,-0.7004118,16.01507,86.23984,336.7347,
304.354,-0.02074966,-0.008044406,0.1452384,-0.01797952,0.05241707,-0.07107791,-0.06385601,0.1954961,-0.5854865,345.3521,1.068103,358.1409,0.1541854,-0.1980666,-1.442765,-0.6275939,1.758256,-1.128184,-0.8155587,-0.225578,-0.8011318,24.17562,275.5759,36.4645,-0.002200723,-0.2498119,-1.5453,-0.1146492,-2.252109,0.8483405,0.7364843,-0.1814578,-0.7189454,16.64002,87.66873,336.1512,
318.487,-0.01885021,-0.01078942,0.1368989,-0.05252819,0.04577383,-0.06250232,-0.06407917,0.1952775,-0.583835,345.4672,1.037199,358.1632,0.1958844,-0.2227938,-1.394141,-0.5025362,1.77124,-1.066675,-0.8118054,-0.2290646,-0.8176019,24.60626,274.1764,36.80176,-0.05117432,-0.2532708,-1.498428,-0.08766421,-2.279062,0.5793338,0.7345855,-0.184367,-0.7369443,17.12091,89.03217,335.2667,
332.326,-0.01674003,-0.01277828,0.1285585,-0.08069272,0.03864772,-0.05403922,-0.06424779,0.1951653,-0.5823003,345.5702,1.002124,358.1897,0.2454862,-0.2491333,-1.331778,-0.4316168,1.769311,-1.06935,-0.8073718,-0.233043,-0.8329782,25.00624,272.6785,37.03148,-0.1084166,-0.2402819,-1.438689,-0.2441583,-2.33785,0.289699,0.7316388,-0.1871307,-0.7541642,17.21259,90.32376,333.9716,
346.182,-0.0143071,-0.01254259,0.12035,-0.07139383,0.03290485,-0.05243084,-0.0643512,0.195059,-0.5808444,345.5708,0.9652534,358.2343,0.2776329,-0.2650114,-1.289276,-0.364219,1.721135,-1.260362,-0.8032073,-0.236782,-0.8475854,25.40911,270.7451,36.69112,-0.1501245,-0.2280809,-1.396365,-0.4234582,-2.417697,0.3255704,0.7296048,-0.1904782,-0.7707883,17.18447,92.13154,333.1472,
360.299,-0.01167332,-0.01076676,0.1112347,-0.03618111,0.03214237,-0.04808462,-0.06443417,0.1949701,-0.5795316,345.5284,0.9265935,358.2525,0.3100156,-0.2829605,-1.231019,-0.2070937,1.628396,-1.504505,-0.7987333,-0.2407058,-0.8607624,25.94929,268.6063,35.83473,-0.1891979,-0.2271513,-1.34758,-0.4436734,-2.439908,0.5720453,0.7271426,-0.1938006,-0.7860478,17.36524,94.25797,332.932,
374.239,-0.009165664,-0.009222923,0.1018622,-0.0213235,0.03137882,-0.03458942,-0.06449783,0.1948302,-0.5783869,345.5376,0.908232,358.2477,0.3351706,-0.2990265,-1.155606,0.01061098,1.510603,-1.627321,-0.7941914,-0.2446766,-0.8725676,26.60878,266.6612,34.8274,-0.2219547,-0.2270315,-1.275704,-0.3680243,-2.324709,0.7826288,0.7241699,-0.1967355,-0.7996835,17.61488,96.21402,333.0431,
388.348,-0.006672918,-0.008408789,0.09211171,-0.03335305,0.02804906,-0.0105156,-0.06448615,0.1947726,-0.577468,345.6132,0.9050787,358.2068,0.3520112,-0.3130298,-1.049778,0.1676495,1.41944,-1.524508,-0.7895567,-0.248882,-0.8827354,27.28474,265.1799,34.20275,-0.2437331,-0.2185342,-1.184272,-0.3047632,-2.12234,0.9004552,0.7208225,-0.199193,-0.8117553,17.74949,97.90292,333.2554,
