time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.346,0.03449446,0.0005239465,0.01037084,-0.02235189,-0.05569706,0.04126131,-0.4269387,0.00934276,-0.6747243,5.742866,7.359648,356.6661,-0.8231436,0.1106159,0.002915351,0.3766341,1.179501,-1.041504,-0.526847,-0.1559437,-0.2561985,322.8762,345.3575,10.75152,0.6096482,0.2046666,-0.1836278,0.602519,-0.8836668,0.3205093,-0.2917792,-0.1479527,-0.2905669,332.4211,11.09809,351.2134,
13.331,0.03520402,0.001942643,0.01732163,-0.007836412,-0.06030491,0.04793587,-0.4264478,0.009351909,-0.674274,5.731686,7.406137,356.6107,-0.9046584,0.1119892,-0.01730378,0.4361684,1.37117,-1.074301,-0.5405258,-0.154755,-0.2565522,322.4331,343.6433,10.79137,0.6917488,0.2072415,-0.2054769,0.5991643,-1.160581,0.3206932,-0.2807942,-0.1455556,-0.2934062,331.7775,12.32487,351.4593,
26.985,0.03490681,0.001951942,0.02406596,-0.006756059,-0.0688395,0.05130256,-0.4259614,0.009368539,-0.6737406,5.761189,7.467131,356.5656,-0.9925797,0.1129871,-0.05179217,0.5484814,1.688701,-1.100731,-0.5555848,-0.153691,-0.2575317,321.739,341.6834,10.58041,0.7756093,0.2069906,-0.2282944,0.540086,-1.766541,0.3043005,-0.2690788,-0.1432238,-0.2964948,331.0721,14.18423,352.3622,
40.591,0.03410933,0.001199386,0.03055661,-0.01028961,-0.06511361,0.05746411,-0.4254406,0.009396851,-0.6731625,5.78832,7.486392,356.5064,-1.075408,0.1125488,-0.09637111,0.7231269,2.019303,-1.146773,-0.5716249,-0.1527797,-0.2590421,320.8221,339.4525,10.34048,0.8503769,0.2059008,-0.256315,0.5170224,-2.417957,0.2524104,-0.2567348,-0.1412016,-0.3002746,330.226,16.30584,353.7126,
54.341,0.03285603,0.001498653,0.03712207,-0.01827614,-0.05695893,0.06126026,-0.4250027,0.009511381,-0.6724424,5.842423,7.521743,356.4722,-1.156583,0.1074686,-0.1437825,0.8679702,2.231914,-1.234955,-0.5887072,-0.1520953,-0.261489,319.9691,337.0205,10.28275,0.9126267,0.205717,-0.2957602,0.5879814,-2.936821,0.1921315,-0.2437438,-0.1389036,-0.3045066,329.152,18.47214,355.1842,
68.394,0.03152519,0.002061852,0.04377911,-0.02618548,-0.04979504,0.05363823,-0.4245771,0.009522736,-0.6716236,5.871451,7.536852,356.4506,-1.238235,0.09279834,-0.19089,0.9969472,2.228889,-1.371384,-0.6068687,-0.1516774,-0.2638852,319.3246,334.4072,10.72469,0.9647406,0.2145095,-0.3537239,0.8447818,-3.139319,0.1514914,-0.2299689,-0.1367896,-0.3109925,327.6843,20.53068,356.186,
82.344,0.03025951,0.00315492,0.05137075,-0.03180518,-0.03111307,0.04139774,-0.424204,0.009642929,-0.6706909,5.906297,7.531074,356.4462,-1.313814,0.07313751,-0.2389799,1.062794,2.267462,-1.539867,-0.6254207,-0.1517415,-0.2675484,318.901,331.5754,11.18429,1.026789,0.2284546,-0.437735,1.32127,-2.767776,0.2320464,-0.2144648,-0.1342129,-0.3176388,325.9304,22.49562,355.6586,
95.886,0.02858198,0.003985018,0.05930904,-0.01987282,-0.02231776,0.02032503,-0.4238346,0.009666413,-0.6695781,5.88343,7.543855,356.4789,-1.369551,0.05152982,-0.2924656,1.150343,2.400966,-1.638071,-0.6442089,-0.1518932,-0.2712754,318.3603,328.643,11.45485,1.083657,0.2355354,-0.5165012,1.757824,-2.321161,0.3462562,-0.1988941,-0.1325113,-0.3261565,324.2133,24.62669,354.3413,
110.255,0.026948,0.004103071,0.06778059,-0.002640141,-0.01453639,0.01113249,-0.4234865,0.009604812,-0.6684241,5.869501,7.546028,356.4575,-1.403426,0.02975409,-0.3320512,1.143615,2.451913,-1.687386,-0.6630738,-0.1521798,-0.2753963,318.0209,325.9354,11.54174,1.141244,0.2305788,-0.5867811,1.998932,-2.124324,0.5316076,-0.1826967,-0.1303974,-0.3333696,322.8211,27.25085,352.9297,
124.028,0.0246686,0.00250327,0.07448705,0.003107903,-0.02132154,0.03505485,-0.4232977,0.009579986,-0.6672139,5.884712,7.57027,356.3674,-1.436166,0.0001660176,-0.3764532,1.120866,2.412097,-1.731458,-0.6823835,-0.1537222,-0.2812519,317.8728,323.3325,11.66853,1.190726,0.2036377,-0.6231626,1.83472,-2.184604,0.8247849,-0.1665015,-0.1292345,-0.3409941,322.2712,30.06427,352.2063,
137.729,0.02178733,0.0002490566,0.07983754,-0.01643484,-0.02886417,0.05608707,-0.4231132,0.009526879,-0.6659776,5.961485,7.585722,356.3043,-1.469458,-0.03636038,-0.4218398,1.139959,2.235905,-1.835924,-0.7025446,-0.1546342,-0.286472,318.0636,320.6082,12.18982,1.218403,0.1842233,-0.6649023,1.678142,-2.46844,1.022306,-0.1511562,-0.1271626,-0.3509926,321.7279,33.04355,352.0735,
151.704,0.01853576,-0.000861459,0.08469645,-0.04462568,-0.02929184,0.07084496,-0.4229971,0.009548396,-0.6646475,6.061825,7.595457,356.2519,-1.4978,-0.07175264,-0.4713265,1.196446,2.086715,-1.939672,-0.7222657,-0.1568643,-0.2935654,318.4015,317.7856,12.82154,1.23549,0.1617567,-0.7216818,1.705386,-2.808334,1.129474,-0.1349849,-0.1261428,-0.3602242,320.8448,36.34283,351.9886,
