time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
0.303,0.02148105,-0.001532606,0.002859163,0.005225028,-0.422923,0.05861048,0.2752032,0.1076438,-0.1717861,0.4933514,13.20205,0.1909706,0.5287514,0.01886162,0.1619142,0.2135726,-0.5939541,0.8848176,0.1907457,-0.1617842,0.1061063,317.0401,0.8844306,9.370904,0.3508959,-0.03031594,-0.2589158,0.2072203,-0.9850934,0.6829889,0.4865267,-0.1394615,0.01444172,318.995,13.43928,355.5379,
12.784,0.01479532,-9.276485E-05,-0.001113662,0.03284932,-0.3450772,0.04773141,0.2755006,0.10761,-0.1717937,0.4348716,13.36413,0.1498453,0.5359501,0.02075626,0.1505067,0.2476709,-0.6099218,0.8828399,0.1976232,-0.1614937,0.1079012,316.9718,1.928812,9.13483,0.3328231,-0.02512812,-0.2530639,0.08886939,-1.236518,0.6532918,0.4904432,-0.1394666,0.01137568,319.0551,14.24215,356.3828,
26.092,0.01063765,0.001500477,-0.004964718,0.04696119,-0.2926915,0.03508908,0.2755002,0.1076438,-0.1720147,0.3917559,13.53003,0.1209779,0.5459835,0.02223435,0.1359531,0.268797,-0.630789,0.8889297,0.2047686,-0.1611359,0.1093804,316.9257,3.004424,8.90039,0.3321726,-0.01054326,-0.2652298,0.1665643,-1.117006,0.6488362,0.4947078,-0.1392596,0.007053129,318.8935,15.1382,356.404,
40.081,0.008326815,0.003000047,-0.008863742,0.06270558,-0.2594882,0.02118059,0.2755267,0.1077077,-0.1722791,0.3269005,13.69326,0.08684634,0.5593469,0.02298562,0.1206954,0.2800951,-0.6582975,0.913959,0.2121258,-0.1609664,0.1104954,316.9184,4.160101,8.640197,0.3331232,0.004693997,-0.2806933,0.2358153,-0.9220414,0.6264913,0.4989685,-0.1387216,0.003059037,318.7235,15.92562,356.1785,
53.955,0.00930157,0.004197574,-0.01364123,0.06289333,-0.245503,0.01405797,0.2756877,0.1078237,-0.1725874,0.2961428,13.88987,0.062681,0.576678,0.02310866,0.1028631,0.2673175,-0.7159398,0.9561637,0.2199277,-0.1601821,0.1116971,317.0027,5.394066,8.40788,0.344348,0.02420208,-0.301422,0.3248932,-0.6778848,0.6725109,0.5036059,-0.137911,-0.001925357,318.5955,16.89687,355.5087,
67.793,0.01266632,0.004014526,-0.01821006,0.05876293,-0.2636271,0.01553873,0.2761673,0.1079,-0.1731927,0.2823474,14.15339,0.02304641,0.5919419,0.02588316,0.08296315,0.284244,-0.7865586,0.9722309,0.2276203,-0.1601064,0.1118448,317.0423,6.604734,8.274111,0.3675814,0.04558665,-0.3315672,0.5085688,-0.4951391,0.7877836,0.5086737,-0.1368246,-0.006628282,318.3207,18.30876,354.4078,
81.675,0.01949217,0.003668815,-0.02398512,0.05537824,-0.3126736,0.02120229,0.2767347,0.1079535,-0.1736622,0.2542186,14.50394,359.9821,0.6093493,0.03075333,0.05625827,0.3719941,-0.8729264,0.9741704,0.2358619,-0.1595543,0.1122056,316.9279,7.871481,8.213111,0.3881679,0.05996165,-0.3512709,0.543169,-0.3615558,0.8929354,0.513548,-0.135603,-0.0118226,318.3186,19.68803,353.359,
95.62,0.02844565,0.00352515,-0.02910721,0.06251926,-0.380981,0.02494104,0.2774358,0.1080331,-0.1741893,0.2027033,14.94937,359.9142,0.634627,0.03542294,0.03150064,0.4146131,-0.9400498,1.02512,0.2447599,-0.1584969,0.112488,316.9169,9.287389,8.054369,0.4019623,0.06799521,-0.3695298,0.5515149,-0.4548233,0.9560986,0.518584,-0.1348955,-0.01714981,318.2617,21.10613,352.7622,
109.677,0.04059473,0.003639339,-0.03456488,0.08112964,-0.4888633,0.03059607,0.2784567,0.1080768,-0.1748023,0.1258864,15.5403,359.8361,0.6649197,0.04014414,0.005447328,0.4759938,-0.9793234,1.081658,0.2536665,-0.1583726,0.1115816,316.863,10.82011,7.800212,0.4150012,0.06766812,-0.3863345,0.5034302,-0.6619799,1.025893,0.5237812,-0.1338447,-0.02198238,318.2729,22.58978,352.5385,
123.29,0.05435797,0.003725729,-0.04035534,0.09228579,-0.6053149,0.04078574,0.2797196,0.1081315,-0.1755369,0.08303323,16.23355,359.738,0.6942321,0.04316539,-0.01623789,0.5189397,-0.9605469,1.137869,0.263141,-0.1576807,0.1109604,316.8529,12.41105,7.382868,0.402618,0.07379506,-0.4166424,0.4451405,-0.8594768,0.7955995,0.5284254,-0.1328549,-0.02883507,317.9628,23.3084,353.0038,
