time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.312,0.1714383,-0.01257029,-0.1384303,0.02199647,-0.938553,-0.09804142,-0.1758426,0.009942502,-0.463329,3.270517,29.97409,356.6877,0.9269173,-0.06141714,-0.4218634,0.6563817,-2.229707,0.9708697,-0.1169966,-0.3821906,-0.253696,334.33,33.62043,1.500825,0.006383454,-0.1136962,-1.204566,0.4930983,-3.185897,0.3958279,0.08163495,-0.3822654,-0.6391489,358.7921,87.05895,351.5985,
12.967,0.1677403,-0.01644822,-0.1443511,-0.00877859,-0.8807383,-0.06778517,-0.1735941,0.009723276,-0.4654965,3.269301,30.58086,356.714,0.9135306,-0.06134969,-0.4519726,0.5954926,-2.320063,0.9753268,-0.1061688,-0.3827629,-0.2598623,334.5554,35.6745,1.755295,-0.04370664,-0.1002033,-1.19417,0.3996829,-3.151055,0.5352939,0.07957345,-0.3827737,-0.6530624,358.9387,89.57299,352.0152,
26.082,0.1640111,-0.01801149,-0.148136,-0.009972414,-0.8235341,-0.0583409,-0.1713829,0.009447217,-0.467664,3.198982,31.13156,356.674,0.8993753,-0.05887486,-0.4842905,0.5398015,-2.438353,0.9733475,-0.09547535,-0.383431,-0.2664436,334.7877,37.77263,2.160466,-0.1059092,-0.07176468,-1.183624,0.256587,-3.103207,0.5785657,0.07643654,-0.3829771,-0.6670901,358.782,92.01028,352.3047,
39.731,0.1598442,-0.01884514,-0.1523906,0.03246363,-0.7893519,-0.03932395,-0.1692059,0.009184271,-0.4700157,3.12834,31.71754,356.5061,0.8895842,-0.05797589,-0.5207365,0.5796006,-2.496976,0.986504,-0.08462425,-0.3840367,-0.273538,335.0147,39.96623,2.380892,-0.1632782,-0.04059133,-1.177515,0.1472719,-3.09627,0.574479,0.0728578,-0.3826608,-0.6810419,358.5503,94.49613,352.4633,
53.905,0.1577276,-0.02018037,-0.1583562,0.07013456,-0.8083808,-0.005717901,-0.1670237,0.00882861,-0.472552,3.111252,32.40931,356.3138,0.8835967,-0.06026156,-0.5560703,0.7003676,-2.487488,0.9783182,-0.07402582,-0.3849512,-0.2811453,335.1877,42.221,2.337718,-0.2140063,-0.01404129,-1.17266,0.06928228,-3.093539,0.5117898,0.06873886,-0.3822882,-0.694828,358.2801,96.97392,352.4178,
67.8,0.1563296,-0.02416154,-0.1683911,0.08415728,-0.8543872,0.02772348,-0.164934,0.008368611,-0.4753501,3.13752,33.16794,356.1566,0.8776082,-0.06978379,-0.6011016,0.8490258,-2.447958,0.9821075,-0.06307652,-0.3859288,-0.2892344,335.4077,44.53889,2.100237,-0.2783887,0.01491127,-1.164507,-0.02174458,-3.069324,0.3816383,0.06411065,-0.381703,-0.7086658,357.9586,99.36491,352.0734,
81.526,0.1544771,-0.02871797,-0.1794772,0.08368804,-0.8987129,0.06556384,-0.162837,0.00782752,-0.4783222,3.199113,33.93229,355.9812,0.8689383,-0.07953596,-0.640925,0.924935,-2.467283,0.9731886,-0.05282136,-0.3872374,-0.2979475,335.6591,46.86125,2.008182,-0.3337751,0.03933249,-1.155272,-0.08747639,-3.050644,0.2909892,0.05782568,-0.380507,-0.7223743,357.6685,101.7477,351.6732,
95.529,0.1525548,-0.03266094,-0.1916645,0.09182335,-0.9584267,0.1177422,-0.160745,0.007314384,-0.4814711,3.31717,34.78698,355.7463,0.8622607,-0.08695738,-0.6706588,0.9797179,-2.503115,1.0038,-0.04277819,-0.3883225,-0.3067198,336.0607,49.23581,1.976167,-0.3837207,0.05929819,-1.144196,-0.1569815,-3.024588,0.2664286,0.05161093,-0.3794976,-0.7356535,357.2792,104.0993,351.2869,
109.386,0.1523012,-0.03652259,-0.2043356,0.1129936,-1.058483,0.1617585,-0.1585521,0.006645709,-0.484734,3.429171,35.79712,355.455,0.8493825,-0.09649173,-0.7183424,1.030116,-2.601398,1.085482,-0.0326023,-0.3892423,-0.3163744,336.6314,51.76426,2.082454,-0.4420353,0.0786218,-1.127489,-0.2348877,-3.000818,0.3085076,0.044859,-0.3786761,-0.7486746,356.7479,106.4341,350.9446,
123.116,0.1537123,-0.03964046,-0.2176405,0.1448561,-1.208465,0.206081,-0.1563289,0.005969971,-0.4881745,3.553638,36.98968,355.081,0.8312544,-0.09693249,-0.7568845,1.07251,-2.671429,1.073456,-0.02323894,-0.3902186,-0.3263748,337.0786,54.25013,2.206769,-0.4910806,0.0830892,-1.107019,-0.1466082,-2.973892,0.3677022,0.0383111,-0.3779954,-0.7613878,356.5006,108.7741,350.8422,
