time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z
0.132,3.618141E-05,-0.0004928483,-0.0002810052,-0.0005892345,-0.001738956,0.002431441,-0.1327379,-0.1965349,0.2119067,88.07146,227.1332,173.5118,
13.04,7.386545E-05,-0.0009068911,-0.0003870414,0.00031682,-0.002722772,-0.0008363837,-0.1327402,-0.1965618,0.2119069,88.07308,227.3172,173.6932,
26.675,-0.0002324043,-0.0002330534,-0.0004295973,0.003660976,0.0003267832,0.0001782466,-0.1327578,-0.1965497,0.2119117,88.07909,227.2348,173.6177,
40.668,-0.0003756365,-4.75507E-05,-0.0004023101,-0.0004157262,0.002637414,-0.001259758,-0.1327644,-0.1965438,0.2119197,88.08092,227.1117,173.4871,
54.251,-0.0002676987,-0.0002350032,-0.000411981,-0.0004158021,0.002637391,-0.001259782,-0.1327518,-0.1965522,0.2119258,88.08174,227.1153,173.4899,
68.416,-3.459384E-05,-0.0004470867,-0.0004592299,0.002443346,-0.001692176,-0.001963194,-0.1327329,-0.1965656,0.2119335,88.0795,227.3881,173.7671,
82.47,-0.0003276762,-0.0005830951,-0.0003638815,0.0005995214,-0.0001093485,-0.002932,-0.1327468,-0.1965779,0.2119373,88.08276,227.3565,173.731,
96.075,-0.0001038206,-0.0005195758,-0.0005348253,0.001174483,-0.002500245,-0.002058359,-0.1327459,-0.1965798,0.2119362,88.0799,227.3933,173.7708,
110.018,-0.0001280251,-0.001329864,-0.0001916338,-0.002352039,-0.001642797,0.00124564,-0.1327518,-0.1966206,0.2119466,88.07451,227.2245,173.5995,
124.107,-5.209706E-05,-0.0009242558,-0.0003182888,0.001309338,-0.004535878,0.001363378,-0.1327564,-0.1966223,0.2119408,88.07177,227.4168,173.7984,
137.81,-0.0004462745,-0.0005672699,-0.0001665723,-0.0002283347,-0.0006125292,0.0001186801,-0.1327747,-0.1966189,0.2119455,88.07654,227.3002,173.6782,
151.76,-0.000213998,-0.0003164149,-0.0001912082,0.0008129431,-0.003633308,0.0002674324,-0.1327581,-0.196613,0.2119527,88.07055,227.4548,173.8352,
165.795,-0.0005330938,-0.001145459,0.0001090532,-0.003474627,0.002860507,0.001323496,-0.1327627,-0.1966496,0.2119727,88.07451,227.0058,173.3794,
179.788,-0.0003576545,-0.001075642,-2.441143E-05,-0.001659632,0.001552659,0.0004724889,-0.1327633,-0.1966605,0.2119682,88.07441,227.0683,173.4432,
193.538,-0.000420084,-0.0007863975,-3.461487E-05,0.0004651037,0.002585737,-0.0006562021,-0.1327766,-0.1966581,0.2119647,88.0798,227.0768,173.4532,
207.842,-9.429493E-05,-0.0007978459,-0.0001416625,0.002442627,-0.001694227,-0.001954563,-0.1327728,-0.1966641,0.2119596,88.07735,227.3659,173.7442,
221.75,-0.000234791,-0.001108373,-4.188608E-05,7.9074E-05,0.001730013,-0.0001535745,-0.1327842,-0.1966784,0.2119657,88.07929,227.1331,173.5105,
235.477,-0.0001390326,-0.0008585128,-3.712211E-05,-0.0002280916,-0.0006141705,0.0001245689,-0.1327859,-0.1966726,0.211969,88.07512,227.2342,173.6122,
249.369,-0.0002508005,-0.0006297134,-0.0001257235,0.001014051,0.0004679842,-0.001600969,-0.1327852,-0.1966699,0.2119758,88.0799,227.3061,173.6841,
263.405,-0.0003175853,-0.0008764398,4.14412E-05,0.0006265319,-0.0003879919,-0.001100437,-0.1327845,-0.1966852,0.211991,88.07888,227.3474,173.7257,
276.882,-0.0004361297,-0.0007798327,0.0001331106,0.0009624081,0.001677139,0.0004447044,-0.1327906,-0.1966871,0.2119951,88.08194,227.2386,173.6196,
291.01,-0.000453253,-0.0008168195,-0.0001130532,-3.190362E-07,0.003211991,7.172002E-05,-0.1327949,-0.1966894,0.2119827,88.08501,227.1303,173.5089,
304.967,-0.0002531011,-0.0005110993,-2.767102E-05,-0.00157897,6.319242E-05,0.0002524348,-0.1327915,-0.1966805,0.2119818,88.07899,227.163,173.5387,
318.836,-0.0003637342,-0.0007125643,0.0002028132,-0.001578967,6.321361E-05,0.0002524452,-0.1328046,-0.1966847,0.2119908,88.07817,227.1353,173.5108,
333.04,-0.0002959788,-0.0002805591,7.852883E-05,0.001615781,-0.002200119,0.001094773,-0.1328102,-0.196666,0.2119877,88.07502,227.2966,173.6791,
347.118,-0.0002036962,-0.0003908792,8.874329E-05,-0.001500079,-0.001422348,2.894289E-05,-0.1328083,-0.1966536,0.2120014,88.07379,227.2434,173.6198,
360.953,-0.0004518614,-0.0006909738,0.0001645892,-0.002513614,0.001322247,0.001702643,-0.1328171,-0.1966563,0.2120179,88.07349,227.015,173.3903,
374.474,-0.0003330003,-0.0001663539,0.0001513089,-0.0006156095,-0.001471237,0.0006256484,-0.1328156,-0.1966287,0.2120248,88.07116,227.1743,173.5515,
388.694,-0.0005116469,-0.0002662657,-2.184259E-05,0.001429916,0.001047387,-0.000278463,-0.1328256,-0.1966169,0.2120179,88.07817,227.1616,173.5406,
402.678,-0.0002847992,-0.0001331219,4.769045E-05,-0.0006950201,1.434684E-05,0.0008499901,-0.1328219,-0.1965995,0.2120196,88.07451,227.0986,173.4758,
416.489,-0.0002475611,-0.0006323616,-5.48504E-05,-0.001161722,0.0006436909,0.001576328,-0.1328185,-0.1966102,0.2120184,88.07491,226.993,173.3702,
430.624,-0.000131469,-0.0002612415,0.0001164382,-0.001577374,6.358876E-05,0.0002546998,-0.1328107,-0.1965917,0.2120262,88.07552,227.0362,173.4109,
444.625,2.273946E-05,-6.448073E-05,7.269308E-05,0.001590537,-0.001926013,-0.0007249647,-0.1327963,-0.196579,0.2120263,88.07644,227.2552,173.6347,
458.388,0.0001493731,-0.0002039173,1.164702E-05,0.002445261,-0.001699931,-0.001949755,-0.1327738,-0.19658,0.2120254,88.0796,227.3795,173.7595,
472.434,-3.27356E-05,-0.0004387269,0.0001282088,-0.0003839739,0.00235372,0.000574546,-0.1327646,-0.196584,0.2120311,88.08163,227.0732,173.452,
486.209,-4.96569E-06,-0.0006724526,0.0001381345,-0.00176232,0.003308068,-0.001119839,-0.1327539,-0.1965924,0.2120345,88.08481,227.0361,173.4099,
500.118,8.411058E-05,-2.79214E-05,0.0002156199,-0.0003042695,0.000868077,0.0003503932,-0.1327398,-0.1965635,0.2120402,88.08235,227.1015,173.4794,
513.652,9.742172E-05,-0.000248866,0.0002221641,-0.0003320479,0.001143773,-0.001471732,-0.1327341,-0.1965663,0.2120441,88.08531,227.1756,173.5508,
527.767,0.0002256858,0.000173588,0.0001122227,0.00115361,-0.001571915,0.001820847,-0.1327244,-0.1965434,0.2120443,88.07796,227.1997,173.5822,
541.857,0.0002671878,-0.0002714508,0.000178459,-0.002814278,-0.001021011,0.001979993,-0.1327192,-0.1965522,0.2120494,88.07359,227.0466,173.4231,
555.643,0.0002068297,5.955292E-05,0.0001607147,-0.0005819071,-0.001749441,0.002449222,-0.1327198,-0.1965378,0.2120499,88.07156,227.0755,173.4562,
569.801,8.021021E-05,0.0001896232,0.0002006382,-0.0004236539,-0.00472065,0.002000442,-0.1327251,-0.196527,0.2120535,88.06589,227.2094,173.5908,
583.792,-0.0001202033,6.393004E-05,0.0002164607,-0.0005811526,-0.001751887,0.00245051,-0.1327336,-0.1965308,0.2120609,88.06831,227.0948,173.4761,
597.446,-0.0003395413,-6.233586E-05,4.120067E-05,-0.0003524752,0.002075305,0.002399131,-0.1327447,-0.1965337,0.21206,88.07369,226.9052,173.287,
611.449,-0.0002010651,-4.709943E-05,-3.713854E-05,-0.0002999357,0.0008639564,0.0003526512,-0.1327367,-0.1965334,0.2120624,88.074,226.9933,173.372,
625.365,-0.0003134365,4.506827E-05,0.0001515022,-0.0007952001,0.001769461,-0.0007446166,-0.132735,-0.1965269,0.2120749,88.07674,226.9716,173.348,
639.077,-0.0001776523,-0.0002691066,-1.517049E-05,0.002290765,0.001267411,-0.001501098,-0.1327223,-0.1965352,0.2120735,88.08072,227.1373,173.5184,
653.057,8.919006E-05,-2.663703E-05,-0.0001549674,0.003720304,-0.0008975864,-0.001852517,-0.1327076,-0.1965244,0.2120677,88.08163,227.3138,173.6973,
667.005,-3.667927E-05,-0.0005038571,-0.0001017793,5.78551E-05,0.001995578,-0.001970813,-0.1327056,-0.1965406,0.2120679,88.08501,227.1448,173.5219,
680.75,6.122177E-05,-7.55005E-05,-0.0001871501,0.003174581,0.001216861,-0.0009050941,-0.1326908,-0.1965305,0.2120624,88.08807,227.231,173.6142,
694.516,6.752782E-05,-3.79386E-05,-5.914446E-05,0.002263694,0.001540983,-0.003324605,-0.1326776,-0.1965303,0.2120648,88.09299,227.3308,173.7098,
708.511,9.276705E-05,6.328262E-05,0.0002358395,0.0005538672,0.001088678,-0.0008749156,-0.1326666,-0.1965263,0.2120765,88.09013,227.2685,173.6474,
722.563,0.0001163143,-9.506732E-05,0.0004230283,-0.001650922,0.001541167,0.0004775409,-0.1326606,-0.1965274,0.2120894,88.08807,227.132,173.5091,
736.33,0.0002833459,-0.0001897344,0.0004822167,-0.001542037,-0.000219761,0.002074565,-0.132649,-0.1965283,0.2120974,88.08286,227.1109,173.4898,
750.619,0.0002805922,0.0003400456,0.0006310428,-0.000967334,-0.002610624,0.002947923,-0.1326518,-0.1965016,0.2121037,88.07624,227.1601,173.5414,
764.601,0.000177911,0.0001958823,0.0005914122,-0.0005003196,-0.003240308,0.002223341,-0.1326576,-0.1964981,0.2121055,88.07339,227.2202,173.6016,
778.142,0.0002222805,0.0002519584,0.0007495944,-0.002706712,-0.002788574,0.00357518,-0.1326548,-0.1964911,0.2121203,88.06781,227.0647,173.4444,
792.28,6.415579E-05,0.0001455407,0.0007526374,-0.004135684,-0.0006245531,0.003927385,-0.1326579,-0.1964896,0.2121319,88.06569,226.852,173.2286,
806.175,7.095015E-05,0.0004444255,0.0005718409,-0.001464391,-0.001704547,0.001850715,-0.1326582,-0.1964712,0.2121343,88.0664,226.9752,173.3527,
820.036,-9.907332E-05,0.0001826695,0.0003938247,0.001099587,-0.001025088,-0.001824052,-0.1326746,-0.1964669,0.2121304,88.07237,227.133,173.5105,
833.765,-0.000154454,0.0001921253,0.0003834722,0.0001656121,0.0002341498,-0.0003745995,-0.1326868,-0.1964551,0.212131,88.07207,227.0297,173.4075,
848.067,-0.000222188,3.685076E-05,0.0002053236,8.610066E-05,0.001717562,-0.0001511315,-0.1326937,-0.1964597,0.2121139,88.074,226.9779,173.3557,
861.968,-0.0002588129,0.0002755995,7.785419E-05,0.001823476,0.001894575,-0.0007792751,-0.1326988,-0.1964536,0.2120958,88.07766,227.047,173.4264,
875.544,-0.0002542533,0.0004279081,-6.762856E-05,0.004467833,0.001089173,-0.004678349,-0.1327041,-0.1964423,0.2120842,88.08562,227.345,173.7244,
889.67,-0.0002862343,0.0006128498,-0.0001300577,0.006233671,0.0009905414,-0.003483777,-0.132716,-0.1964255,0.2120784,88.08951,227.4211,173.8061,
903.827,-0.0003172951,0.0005022658,-4.96308E-06,0.001796678,0.002171234,-0.002602066,-0.1327281,-0.1964197,0.2120803,88.09074,227.247,173.6257,
917.244,-0.0002980613,0.0001603819,8.787527E-05,-2.105872E-05,0.003479787,-0.001750229,-0.1327254,-0.1964312,0.2120863,88.09341,227.1107,173.4863,
931.388,-0.0002409759,0.0004442232,0.0004178984,-0.0003001965,0.0008628574,0.0003486223,-0.1327203,-0.19642,0.2121037,88.08869,227.1052,173.4827,
945.459,-8.829948E-05,2.739344E-05,0.0005095677,0.0002494707,-0.001252368,-0.0005987708,-0.132724,-0.1964331,0.212105,88.08726,227.2594,173.6368,
959.514,-0.0001234848,4.019577E-06,0.000636576,-0.0010726,-0.0008489639,0.001350541,-0.1327374,-0.1964345,0.2121068,88.08357,227.1584,173.5366,
973.213,-0.0002309877,-0.0002494363,0.0007509663,-0.004239483,0.001136093,0.002331193,-0.1327477,-0.1964481,0.2121087,88.08062,226.9489,173.3231,
987.106,-0.000132013,0.0002917934,0.0007206976,-0.003197304,-0.001884051,0.002479653,-0.1327414,-0.1964335,0.2121129,88.07379,227.0336,173.4092,
1001.161,-0.0002444249,0.0004588655,0.0006597982,-0.0006052551,-0.001480408,0.0006267914,-0.132744,-0.1964267,0.2121158,88.07664,227.1348,173.5123,
1014.974,-0.0004645796,0.0004557759,0.000658485,-0.001645843,0.0015389,0.0004771354,-0.1327503,-0.1964225,0.2121244,88.07929,226.9861,173.3616,
1029.021,-0.0002988692,0.0002478379,0.0005470458,-0.002005241,0.0004067653,0.002799494,-0.1327439,-0.1964259,0.2121287,88.07329,226.8888,173.2661,
1042.843,-0.0003262208,-5.175002E-05,0.0003095078,-0.001564574,5.19586E-05,0.0002532115,-0.1327441,-0.19644,0.2121231,88.07471,226.963,173.3373,
1056.694,-0.0003109873,0.0005177838,0.0004833237,-0.001377822,-0.003195207,0.001625935,-0.1327429,-0.1964236,0.2121275,88.06741,227.0283,173.405,
1070.775,-0.0005830603,0.0003301992,0.0002690049,0.0006400439,-0.0004011348,-0.001098966,-0.1327547,-0.1964292,0.2121187,88.07542,227.0959,173.4728,
1084.802,-0.0007521685,0.0003756887,0.0001046374,0.002326057,0.0009856061,0.0003194605,-0.1327638,-0.1964275,0.212111,88.07705,227.0794,173.4608,
1098.549,-0.0007676183,2.122254E-05,-2.54342E-06,0.0009480019,0.001940503,-0.00137503,-0.1327711,-0.1964422,0.2121043,88.08051,227.0688,173.4462,
1112.46,-0.0006652146,0.0004019156,-1.52592E-05,0.001914299,0.0004052217,-0.001001748,-0.1327779,-0.1964295,0.2120918,88.08041,227.1221,173.5012,
1126.472,-0.0007271404,0.0005158811,-4.011385E-05,0.00411908,-4.753657E-05,-0.002353959,-0.1327937,-0.1964205,0.2120769,88.08521,227.2354,173.617,
1140.437,-0.0007298547,0.0002290219,0.0001024166,0.001001532,0.0007258359,-0.003422135,-0.1328025,-0.1964271,0.2120774,88.08726,227.2112,173.5866,
1154.105,-0.0006594661,0.0001708628,0.0001936651,6.697536E-05,0.001985278,-0.0019731,-0.1327885,-0.1964321,0.2120902,88.08879,227.0905,173.4659,
1167.917,-0.0003385507,6.165132E-05,0.0003718683,-0.00158855,0.0003202166,-0.001568989,-0.1327584,-0.1964423,0.2121085,88.08541,227.1076,173.4797,
1181.96,-0.0004115684,0.0005072021,0.0001209329,0.003731861,-0.0009095934,-0.001854381,-0.1327637,-0.1964251,0.212096,88.0892,227.3254,173.7065,
1195.69,-0.0003393614,0.0002031308,0.0003764196,0.002074021,-0.002572555,-0.001450462,-0.1327642,-0.1964349,0.2121024,88.08582,227.4057,173.7854,
1209.879,-0.0003343228,0.0005191626,0.0005376152,0.0002580009,-0.001266917,-0.0005986828,-0.1327664,-0.1964219,0.2121137,88.08562,227.3064,173.6843,
1224.025,-0.0003110786,7.757135E-05,0.0006763946,-0.003712177,-0.0007161114,-0.0004401622,-0.1327615,-0.1964389,0.2121257,88.08256,227.1546,173.5257,
1237.699,-0.000338165,0.0003214616,0.0007257185,-0.002413427,-0.0001865212,0.001479321,-0.1327553,-0.1964338,0.2121331,88.08072,227.0604,173.435,
1251.67,-0.0003307269,0.0004191013,0.0007289299,0.0003141784,-0.00181983,0.003046194,-0.1327558,-0.1964255,0.2121377,88.07745,227.112,173.4933,
1265.58,-0.0002569485,0.0004385892,0.0007934367,-0.002254339,-0.003157416,0.001030926,-0.132753,-0.1964201,0.2121444,88.07339,227.1917,173.567,
1279.423,-0.0004570966,0.0002213556,0.0008424884,-0.004618693,0.0002622771,0.002833982,-0.1327543,-0.196428,0.2121546,88.07217,226.8976,173.2707,
1293.157,-0.0006203837,-0.0002013209,0.0005558236,-0.002961017,0.001924902,0.002430409,-0.1327533,-0.1964496,0.2121507,88.07369,226.8192,173.1939,
1307.32,-0.0005788476,0.0003788277,0.0005402294,-0.0006465244,-0.0002901293,0.002675558,-0.1327509,-0.1964312,0.2121541,88.07066,226.9182,173.2974,
1321.391,-0.0006389988,0.0001437146,0.0004992617,-0.001557269,3.563185E-05,0.000256735,-0.1327597,-0.19644,0.2121517,88.07197,226.9583,173.3336,
1335.15,-0.0005544008,0.0002084696,0.0002490245,-0.0006718604,-1.537692E-05,0.0008528904,-0.1327629,-0.196442,0.2121364,88.07197,226.9492,173.3271,
1349.086,-0.0005101685,-0.0001021033,0.0001847108,-0.002516901,0.001569216,-0.00011634,-0.1327649,-0.1964572,0.2121201,88.07369,226.8412,173.2147,
1363.028,-0.0006194381,0.0001057743,0.0001847077,-0.001246718,0.002375715,-1.970345E-05,-0.1327726,-0.1964546,0.2121079,88.07685,226.8089,173.1836,
1376.621,-0.0006700688,1.747242E-05,0.000133564,0.0004908788,0.002550578,-0.0006488155,-0.1327748,-0.196459,0.2120993,88.08092,226.8817,173.2589,
1390.835,-0.0004039937,0.0002776142,-8.526295E-05,0.001892498,0.0006615136,-0.002822933,-0.1327613,-0.1964537,0.2120858,88.08429,227.1262,173.5035,
1404.826,-0.0003412248,0.0002680947,-0.0003143551,0.002198845,0.002999689,-0.003101283,-0.1327488,-0.1964554,0.2120685,88.09126,227.074,173.4516,
1418.697,-9.714279E-05,-6.866179E-05,-0.0003191716,0.002666084,0.002369835,-0.003825945,-0.1327266,-0.1964702,0.212057,88.09485,227.1602,173.537,
1432.827,7.437853E-05,6.017777E-05,-2.631817E-05,0.002854115,-0.0008770326,-0.002451409,-0.1327062,-0.1964694,0.2120587,88.09166,227.285,173.6636,
1446.703,1.445328E-05,0.0005362193,-4.752363E-05,0.004127205,-7.076049E-05,-0.002354647,-0.1327052,-0.1964498,0.2120544,88.09608,227.3524,173.7344,
1460.573,0.0001204608,-0.000336263,0.0002160818,0.0001847178,0.0002046243,-0.000374977,-0.1326967,-0.1964798,0.2120603,88.09187,227.2231,173.601,
1474.199,0.0001720305,-5.037742E-05,0.0003559831,-0.001523203,-0.000249374,0.002073985,-0.1326909,-0.1964734,0.2120682,88.08675,227.0614,173.4396,
1488.366,0.0001098374,9.878158E-05,0.0004043205,-0.002298094,-0.001961641,0.003074772,-0.1326887,-0.1964748,0.2120777,88.08031,227.0239,173.4009,
1502.31,1.912654E-05,0.0007566924,0.0006090801,-0.002685759,-0.002817717,0.003574921,-0.1326894,-0.196444,0.2120928,88.07461,227.0081,173.3859,
1515.87,0.0001753555,0.0003619369,0.0003970864,-0.001335572,-0.003499547,0.003445715,-0.1326716,-0.1964559,0.2120961,88.07085,227.0752,173.4547,
1530.062,0.000196992,-0.000157188,0.000445937,-0.004007208,-0.002418411,0.005522562,-0.1326581,-0.1964774,0.2121075,88.06407,226.8414,173.2194,
