time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.538,-0.279026,0.01442512,-0.5724432,0.1101397,-0.3955357,0.1690184,4.465682,0.1662928,0.7858534,5.278358,272.7086,5.159882,-0.2904566,0.08654159,-1.046384,0.6182548,0.2731248,0.1624186,4.841331,-0.7546573,0.7001725,64.39816,97.97173,238.937,-0.1818837,0.1813721,-0.6844864,-0.1978231,-0.9251151,0.07909974,4.362644,-0.6941545,1.016229,58.4214,317.8568,99.58911,
13.33,-0.2919901,-0.001621986,-0.5654001,0.1025669,-0.3701415,0.1695256,4.461139,0.1658893,0.7781272,5.313117,272.997,5.279427,-0.3391654,0.07630377,-1.08665,0.7460817,0.2249487,0.08771825,4.835617,-0.7538864,0.6848408,64.5332,99.7373,240.3948,-0.2292148,0.1494884,-0.5809544,-0.8658211,-0.703315,0.4561948,4.359213,-0.693983,1.00948,56.4591,317.7183,99.87,
26.754,-0.305535,-0.01853067,-0.5594168,0.101042,-0.3442219,0.1829241,4.456431,0.1651901,0.7707338,5.353202,273.2604,5.441194,-0.3802049,0.06595664,-1.118074,0.8629723,0.1986754,0.04279624,4.829547,-0.7532978,0.6693761,64.66048,101.7104,242.0072,-0.2447722,0.1048899,-0.4947579,-0.9300757,-0.4811276,0.768503,4.356235,-0.6949521,1.003998,55.10038,318.0815,99.97444,
40.48,-0.3199442,-0.03566408,-0.5544877,0.1033657,-0.3126156,0.1859522,4.451507,0.164354,0.7633309,5.405152,273.498,5.573565,-0.4260931,0.05352058,-1.148562,0.9959586,0.1824544,0.03180066,4.822729,-0.7526206,0.6536672,64.79158,103.9803,243.8055,-0.205845,0.0268428,-0.442287,-0.4563592,-0.002171904,0.7179695,4.354267,-0.6968059,0.9987661,55.16467,319.7528,101.1536,
54.465,-0.3357533,-0.05268842,-0.5505508,0.08988488,-0.281996,0.1958112,4.446246,0.1631506,0.7556934,5.407168,273.7082,5.729831,-0.4686423,0.03907618,-1.170043,1.088164,0.1659812,0.06014927,4.815547,-0.753029,0.6377312,64.90417,106.2229,245.4833,-0.1575608,-0.04184182,-0.3952779,-0.1143824,0.4674758,0.6622663,4.351917,-0.699792,0.9937528,55.30705,322.0037,102.9559,
68.52,-0.3521819,-0.0693401,-0.5472142,0.07480903,-0.2530225,0.1973948,4.44076,0.161721,0.7480626,5.413393,273.9043,5.868687,-0.5077055,0.02534911,-1.187139,1.173017,0.1843635,0.1103809,4.807704,-0.7523616,0.621788,64.93283,108.5786,247.1543,-0.1401942,-0.09113074,-0.3448642,0.01725891,0.7201127,0.750379,4.349138,-0.7018372,0.9897259,55.04041,324.0945,104.4925,
82.305,-0.3678822,-0.08430643,-0.5447167,0.0760636,-0.2379265,0.1892216,4.435074,0.1601229,0.7406025,5.450758,274.1103,5.991286,-0.5450073,0.01783381,-1.200031,1.259621,0.1911545,0.1155487,4.799528,-0.7529837,0.6058228,64.93414,111.1149,249.0153,-0.1431242,-0.1143385,-0.2847523,0.02343464,0.8537571,0.9931175,4.346186,-0.704536,0.9861809,54.22158,326.1506,105.766,
96.261,-0.3862858,-0.1013995,-0.5421818,0.09608474,-0.2237457,0.1758693,4.429181,0.1583193,0.7332277,5.532493,274.3063,6.108454,-0.580809,0.00815508,-1.204905,1.263893,0.1828766,0.1210727,4.790342,-0.7546261,0.5902854,64.91916,113.3403,250.6175,-0.1460674,-0.1332099,-0.2504632,0.0104835,0.9308928,1.037982,4.343547,-0.7071478,0.9821927,53.52159,327.8924,106.9419,
110.542,-0.4043554,-0.1167444,-0.5408294,0.1253078,-0.203659,0.1588925,4.423018,0.1563926,0.7257757,5.654946,274.4634,6.207737,-0.6147788,0.005901692,-1.210358,1.309351,0.2009687,0.07363494,4.780782,-0.7560817,0.5747718,64.81363,115.8636,252.5572,-0.1430065,-0.1475706,-0.2711243,0.1083527,0.7130933,0.6966922,4.341694,-0.7090866,0.9766129,53.63644,328.393,107.2813,
123.815,-0.422021,-0.1303611,-0.5402378,0.1419757,-0.1663009,0.1371025,4.416468,0.1542088,0.7181716,5.759638,274.5615,6.29203,-0.6428764,0.005439395,-1.213334,1.264111,0.2470582,0.008386612,4.771143,-0.757421,0.5587775,64.57527,118.0185,254.2766,-0.1379754,-0.1795059,-0.3251154,0.2153987,0.5031492,0.1350246,4.339106,-0.7130013,0.9714195,54.46405,328.3082,107.5497,
137.938,-0.4437706,-0.1446713,-0.540451,0.1472481,-0.1158788,0.101474,4.409579,0.1519198,0.7105393,5.867595,274.5943,6.327126,-0.6787194,0.01150871,-1.214961,1.237687,0.2342325,-0.1468147,4.76097,-0.7571388,0.5428294,64.37333,120.3539,256.4143,-0.1364519,-0.2051991,-0.3557571,0.2881275,0.4241637,-0.1954359,4.336494,-0.7158883,0.966311,55.20454,328.4745,108.028,
152.036,-0.4629089,-0.1560339,-0.5402573,0.1364487,-0.06415063,0.06848004,4.402613,0.1494831,0.7030926,5.952588,274.5763,6.347362,-0.7111113,0.01668544,-1.210563,1.175935,0.2086975,-0.2557281,4.750428,-0.7564757,0.5270983,64.18067,122.437,258.3689,-0.1509076,-0.2224293,-0.3637753,0.3741328,0.3664233,-0.1820496,4.333094,-0.7192321,0.961063,55.60083,328.9686,108.3495,
165.839,-0.4849942,-0.1692765,-0.5388623,0.1210765,-0.0052543,0.02450368,4.395363,0.1468298,0.6958098,6.040654,274.4936,6.320021,-0.7466189,0.02433072,-1.203997,1.162108,0.1628835,-0.369646,4.73948,-0.7563362,0.5114525,64.00479,124.7012,260.5647,-0.1789538,-0.240639,-0.3775626,0.5639852,0.2103936,-0.1013351,4.329519,-0.7226623,0.9556776,56.0989,329.2755,108.0884,
180.08,-0.5058957,-0.1820365,-0.5354148,0.1116168,0.05158874,-0.01424387,4.387734,0.1440554,0.6885324,6.141673,274.3765,6.285284,-0.7843533,0.02889393,-1.192512,1.136085,0.08445706,-0.4492527,4.728004,-0.7558725,0.4960476,63.90054,126.893,262.7262,-0.1878529,-0.2652002,-0.3719112,0.579672,0.4220418,-0.1090534,4.3262,-0.7272877,0.9512688,56.51093,330.5127,109.0932,
193.909,-0.5269582,-0.1933755,-0.5301532,0.09001875,0.1018827,-0.05655453,4.379595,0.1411774,0.6812782,6.200119,274.197,6.185222,-0.8225219,0.03558456,-1.179845,1.171329,0.03474551,-0.5320209,4.716084,-0.755392,0.4810072,63.73349,129.3759,265.1715,-0.1914593,-0.2913864,-0.3470385,0.2867333,0.8278091,-0.1804499,4.32226,-0.7324162,0.9465059,56.47542,332.4231,111.4547,
207.908,-0.5539846,-0.2034869,-0.5221207,0.06554247,0.1415325,-0.1268155,4.371,0.1383314,0.6741571,6.273868,274.0049,5.993847,-0.8587522,0.04168645,-1.161553,1.220557,0.006536357,-0.5594111,4.703702,-0.7548614,0.466417,63.50872,131.9108,267.5685,-0.2183198,-0.323517,-0.3182829,-0.1382116,1.208991,-0.2424196,4.317176,-0.7380881,0.9415848,55.98763,334.5412,114.4252,
221.449,-0.5798712,-0.2075003,-0.5129852,0.06184315,0.1530658,-0.1841662,4.362094,0.1355612,0.6673765,6.368679,273.8478,5.787896,-0.8938977,0.04999706,-1.135796,1.300426,-0.01602495,-0.5391133,4.690912,-0.7540488,0.4525186,63.23576,134.5868,269.9509,-0.2605841,-0.337833,-0.3086059,-0.3775027,1.272586,-0.1995274,4.311482,-0.7432541,0.936592,55.42699,336.0463,116.4844,
235.59,-0.612179,-0.2054124,-0.5000772,0.09867218,0.1387582,-0.2203713,4.352711,0.1330109,0.66084,6.566103,273.7643,5.618123,-0.9249675,0.05942009,-1.099378,1.351656,-0.05060686,-0.4822741,4.67786,-0.7531695,0.4392881,62.97477,137.1648,272.1288,-0.325827,-0.3455371,-0.3193285,-0.4830138,1.157419,-0.1429665,4.30512,-0.7480533,0.9309435,54.89458,336.9915,117.8404,
249.618,-0.6431845,-0.1975382,-0.4859869,0.1601044,0.1064815,-0.225317,4.342899,0.1307327,0.6544304,6.813736,273.7313,5.476016,-0.9503277,0.07357983,-1.053768,1.387115,-0.09239492,-0.4189426,4.664704,-0.7517344,0.4269191,62.71813,139.6967,274.1858,-0.373308,-0.3380133,-0.3422244,-0.4682363,1.025323,-0.1657276,4.298666,-0.752373,0.9249893,54.61785,337.7993,119.0093,
263.196,-0.672092,-0.1875779,-0.471505,0.2075047,0.07276441,-0.2231148,4.332646,0.1285631,0.6481528,7.063916,273.733,5.335617,-0.96674,0.0890723,-1.006195,1.365559,-0.1579717,-0.3521073,4.651598,-0.7500978,0.4151265,62.54473,142.002,276.0081,-0.4018841,-0.320364,-0.3675145,-0.3135171,0.9043769,-0.2177852,4.291933,-0.7559633,0.9194058,54.70732,338.6322,120.0301,
277.379,-0.7050596,-0.1749614,-0.4544386,0.233321,0.02468732,-0.2410886,4.321998,0.1265771,0.6421342,7.286967,273.7708,5.120244,-0.9820818,0.1110376,-0.9386514,1.321457,-0.2670842,-0.294108,4.638398,-0.7480046,0.4044266,62.50456,144.2583,277.7849,-0.433644,-0.2945794,-0.391588,-0.3023818,0.8405187,-0.2355782,4.284666,-0.759735,0.9128313,54.58232,339.3947,121.0921,
291.215,-0.7338555,-0.1622958,-0.43853,0.232115,-0.02853821,-0.2679456,4.31112,0.1246383,0.6364627,7.470043,273.8411,4.873812,-0.9842515,0.1272105,-0.879478,1.256611,-0.2849049,-0.2386445,4.625365,-0.746118,0.394279,62.36459,146.2121,279.264,-0.4726171,-0.2723273,-0.4229406,-0.2359392,0.7856336,-0.2158253,4.276245,-0.7631397,0.9056309,54.50772,340.2272,122.103,
304.982,-0.7584432,-0.1478276,-0.4244326,0.2563107,-0.08314487,-0.2897195,4.299949,0.123068,0.630928,7.74502,273.982,4.637401,-0.9795193,0.1367461,-0.829574,1.169404,-0.2611848,-0.2118013,4.612494,-0.7442116,0.3847097,62.16376,147.8748,280.525,-0.5150482,-0.2506293,-0.4490748,-0.09796171,0.6130442,-0.03853485,4.267735,-0.7658621,0.8984112,54.41064,340.7105,122.3006,
318.997,-0.7852943,-0.124613,-0.4108783,0.3124934,-0.1616273,-0.3279484,4.288392,0.1222831,0.6252861,8.102117,274.2252,4.341156,-0.9707919,0.1426963,-0.7716798,1.040952,-0.2444371,-0.2170929,4.599646,-0.7421979,0.3760497,61.99392,149.2372,281.6385,-0.5523733,-0.2296063,-0.4903686,0.1442546,0.495236,0.08105369,4.258924,-0.7683744,0.8901593,54.56975,341.363,122.3988,
333.035,-0.8103864,-0.09368412,-0.4006022,0.347119,-0.250984,-0.3766243,4.276529,0.1223062,0.6196856,8.42159,274.5446,3.986523,-0.9605066,0.145725,-0.694834,0.912763,-0.2765131,-0.1761258,4.586622,-0.7399025,0.3685284,61.96436,150.461,282.5923,-0.5777015,-0.2151527,-0.5396833,0.3448912,0.4690457,0.03755761,4.249737,-0.7707633,0.8813678,54.97569,342.2435,122.8868,
346.962,-0.8322122,-0.0585091,-0.3890507,0.2766883,-0.3310071,-0.3651522,4.264544,0.1224124,0.6144586,8.442429,274.8738,3.750397,-0.9530107,0.1483633,-0.6416619,0.8723931,-0.3424079,-0.1273754,4.574129,-0.7375854,0.3613576,61.97822,151.9566,283.697,-0.603594,-0.1944084,-0.5849855,0.4188561,0.4394855,-0.01273245,4.240175,-0.7724746,0.8720199,55.31145,342.9921,123.3849,
360.592,-0.8494021,-0.02683758,-0.3763073,0.1882526,-0.3870984,-0.3010066,4.252409,0.1224704,0.6095362,8.433077,275.22,3.616568,-0.936455,0.146794,-0.5755501,0.796488,-0.4485463,-0.06108719,4.562357,-0.7356331,0.3552392,62.17577,153.396,284.751,-0.6316555,-0.1689323,-0.6316544,0.5862866,0.3575979,-0.03543175,4.229998,-0.7737184,0.862213,55.86237,343.6786,123.6149,
374.751,-0.863502,0.001482358,-0.3675981,0.1384569,-0.4556744,-0.3142553,4.240082,0.1232732,0.6044912,8.485461,275.6401,3.272672,-0.9079732,0.1348651,-0.5062368,0.6633319,-0.5126062,0.062879,4.551298,-0.7341319,0.3499427,62.51786,154.416,285.3669,-0.6667838,-0.1423557,-0.6730351,0.7111176,0.2326894,0.00396011,4.219407,-0.7747108,0.8521105,56.38436,344.1213,123.4669,
388.614,-0.8780643,0.03855994,-0.3605047,0.1155764,-0.5313973,-0.342745,4.227517,0.1250541,0.5994043,8.562228,276.1167,2.947674,-0.86384,0.1156216,-0.4348367,0.4879493,-0.4942653,0.2730949,4.540984,-0.7328984,0.3454191,62.97768,154.7413,285.1937,-0.7029759,-0.1179745,-0.709458,0.7238273,0.1459017,-0.004348193,4.208533,-0.7753164,0.8415797,56.83625,344.4338,123.362,
402.409,-0.8904514,0.07721401,-0.3558683,0.1078895,-0.5873396,-0.3400931,4.214811,0.1273064,0.5943871,8.619825,276.6165,2.693187,-0.804317,0.09511276,-0.3650091,0.2923758,-0.3713041,0.5378492,4.531502,-0.7317621,0.3415981,63.4644,154.2068,284.065,-0.7382096,-0.08854152,-0.7407429,0.6157395,0.05516372,-0.06851313,4.197385,-0.7754653,0.8306561,57.19671,344.4405,123.2607,
416.554,-0.8985527,0.1100661,-0.3515784,0.04349949,-0.6138449,-0.3183893,4.202285,0.1296408,0.5894804,8.501519,277.0709,2.438621,-0.7346633,0.08094744,-0.3021526,0.1005521,-0.1729789,0.7721604,4.522802,-0.7305748,0.3382632,63.86995,152.9174,282.164,-0.7699656,-0.05353058,-0.7693664,0.4392647,-0.01300181,-0.1972482,4.186075,-0.7748666,0.8193808,57.51189,344.2232,123.2729,
430.368,-0.8970062,0.1339131,-0.3456828,-0.07290205,-0.6084847,-0.2480725,4.190259,0.1314378,0.5848222,8.213463,277.4557,2.302451,-0.6611746,0.07356269,-0.2525571,-0.1212394,0.04005191,0.8264868,4.514977,-0.7294859,0.3352415,64.09416,151.1358,280.0814,-0.7994601,-0.01290117,-0.7989079,0.2464555,-0.07826547,-0.3847874,4.174179,-0.7737877,0.8076317,57.85614,343.7906,123.397,
444.095,-0.8862078,0.1398455,-0.3414452,-0.1503015,-0.6043773,-0.228971,4.178511,0.133159,0.5800862,8.007682,277.8619,2.037016,-0.58825,0.06528871,-0.2118785,-0.4441733,0.2208616,0.7051621,4.507813,-0.7287595,0.3325972,64.19753,148.7866,277.9696,-0.8345854,0.02382669,-0.83071,0.1145944,-0.1599513,-0.5550301,4.161664,-0.7723627,0.7954763,58.26423,343.1339,123.4025,
458.092,-0.8669283,0.1341913,-0.3387015,-0.1876555,-0.6137886,-0.2551889,4.166991,0.1347718,0.5751595,7.863708,278.3055,1.694162,-0.5257218,0.04777367,-0.1741093,-0.8200486,0.334851,0.5400966,4.50096,-0.7286509,0.3302617,64.32037,145.868,275.669,-0.8813974,0.04933327,-0.8615885,0.08766821,-0.2934482,-0.5651099,4.148245,-0.7710579,0.7830303,58.65633,342.2388,122.8781,
472.123,-0.844905,0.1224499,-0.338444,-0.1692553,-0.6103041,-0.2604371,4.155807,0.1361611,0.5702496,7.788861,278.7297,1.46354,-0.4851697,0.02363721,-0.1374784,-1.085349,0.3444564,0.4107327,4.494104,-0.7289431,0.3284631,64.51658,142.9915,273.4649,-0.9351272,0.06474721,-0.8909034,0.1691538,-0.4435298,-0.443042,4.134151,-0.7696786,0.7702348,59.045,341.246,121.8388,
485.776,-0.8247274,0.1103712,-0.3409416,-0.1128557,-0.5884274,-0.26352,4.144791,0.137383,0.5653663,7.828437,279.1234,1.255638,-0.4643106,-0.005541452,-0.09979213,-1.194377,0.2810079,0.4345514,4.487334,-0.7297195,0.3271239,64.86813,140.3239,271.1697,-0.9896187,0.07465211,-0.9206687,0.290086,-0.5933987,-0.2988354,4.119451,-0.7681958,0.7570807,59.46085,340.1464,120.4386,
499.994,-0.8076963,0.1035666,-0.3474504,-0.04884625,-0.5912722,-0.3293634,4.133742,0.1390448,0.5602694,7.934694,279.573,0.8642082,-0.4538659,-0.03461215,-0.06522714,-1.161927,0.2487569,0.589335,4.480499,-0.7308012,0.3262024,65.19512,137.806,268.6035,-1.041095,0.08446344,-0.9519634,0.3837866,-0.7284219,-0.2212358,4.10411,-0.7664359,0.743553,59.92191,338.89,118.8686,
514.09,-0.7972263,0.1055323,-0.3543193,-0.04608757,-0.6094105,-0.3524135,4.122745,0.1407443,0.5550542,7.894148,280.0521,0.5641039,-0.4483761,-0.05569473,-0.03578784,-1.010808,0.2698039,0.8147047,4.473738,-0.7318029,0.3257137,65.40607,135.5531,265.8734,-1.092934,0.1063676,-0.9861579,0.3802297,-0.9267266,-0.2336421,4.088387,-0.7637894,0.729562,60.36682,336.9929,116.8555,
527.915,-0.7894683,0.1097244,-0.3610951,-0.05505571,-0.5977538,-0.2781673,4.111982,0.1422808,0.5498095,7.799893,280.4672,0.5004328,-0.4411992,-0.06537977,-0.00510357,-0.8036264,0.3123763,1.073983,4.467424,-0.7325132,0.3256322,65.55769,133.5176,263.0122,-1.13754,0.1451768,-1.021115,0.3532915,-1.132253,-0.3104683,4.072516,-0.7601047,0.7152352,60.84485,334.6054,114.4829,
541.65,-0.7798371,0.1118876,-0.3709608,-0.04696265,-0.5460073,-0.1586407,4.101458,0.1436381,0.5444112,7.721965,280.7914,0.537046,-0.4300832,-0.06185571,0.02157659,-0.6863876,0.3699013,1.293417,4.461308,-0.7329926,0.3256978,65.66357,131.1931,259.8103,-1.17813,0.1986519,-1.055047,0.3268191,-1.370516,-0.3906725,4.056217,-0.7555541,0.7006537,61.30769,331.6511,111.5545,
555.643,-0.7707985,0.1120331,-0.3811745,-0.01040325,-0.5074993,-0.1198657,4.091071,0.1452518,0.5387588,7.770926,281.1503,0.466273,-0.4184108,-0.04867326,0.04242308,-0.5816275,0.4556698,1.480237,4.455189,-0.7331948,0.3258705,65.65779,128.8052,256.4145,-1.211091,0.2586828,-1.08384,0.3812621,-1.585606,-0.420766,4.039795,-0.7501438,0.685992,61.77293,328.4575,108.1587,
569.673,-0.7605207,0.1134841,-0.3930772,0.06479573,-0.4880573,-0.1042695,4.080781,0.1471009,0.5329075,7.924819,281.5559,0.4549641,-0.4072552,-0.02911231,0.05679327,-0.5800384,0.5220761,1.577619,4.449148,-0.7329429,0.3259787,65.58579,126.1581,252.8807,-1.236105,0.3218105,-1.107467,0.440818,-1.805697,-0.4469653,4.023382,-0.7439485,0.6713281,62.17876,324.8741,104.2368,
583.473,-0.7505936,0.1159898,-0.4031059,0.1336653,-0.4690349,-0.04044865,4.070608,0.1487327,0.5270042,8.013974,281.9406,0.6143993,-0.4011749,-0.00798675,0.06354576,-0.7015722,0.5060692,1.516309,4.443069,-0.7325493,0.325786,65.52829,123.2803,249.5269,-1.24981,0.3830996,-1.123374,0.4598699,-1.987016,-0.4929053,4.007171,-0.7371657,0.6566672,62.46635,321.0303,100.0463,
597.481,-0.7432753,0.11826,-0.4127922,0.1872681,-0.4465444,0.01540952,4.060459,0.1504078,0.5209246,8.136423,282.302,0.7717646,-0.4017051,0.01020123,0.06080086,-0.8114116,0.4902544,1.40199,4.436778,-0.7320011,0.3254781,65.37865,120.469,246.4253,-1.250487,0.4388576,-1.133239,0.4545331,-2.098167,-0.584969,3.9914,-0.7299355,0.6420521,62.67944,317.0668,95.80659,
611.531,-0.7365377,0.1212031,-0.4241,0.2255017,-0.4131137,0.0547515,4.050349,0.1521438,0.5146756,8.250043,282.6312,0.9249713,-0.4136815,0.03012451,0.05212404,-0.9545873,0.4166935,1.262356,4.429922,-0.7312177,0.3247662,65.2664,117.5162,243.4223,-1.241503,0.4888133,-1.13747,0.4345613,-2.192973,-0.7024377,3.975992,-0.7222772,0.6276978,62.7894,312.8518,91.35394,
625.086,-0.7311876,0.1206826,-0.4334397,0.2277608,-0.3628106,0.1309274,4.04031,0.1536639,0.508532,8.274677,282.8876,1.210164,-0.4360289,0.04459652,0.03757317,-0.9820912,0.3275353,1.187733,4.422724,-0.729503,0.3240455,65.21846,114.8552,240.6015,-1.217649,0.5312812,-1.131451,0.4054519,-2.207357,-0.8414131,3.961097,-0.7146354,0.6137003,62.83266,308.6736,87.03021,
