time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.337,0.3714433,-0.1163516,-0.6480872,-0.06637384,-0.7171445,0.2222707,1.202272,0.06930357,2.19151,22.83074,179.9749,358.6252,0.4141165,-0.1052623,-0.8877668,-0.1884385,-0.3101683,0.6392421,1.484496,-0.7374712,2.351462,72.46304,153.0472,359.492,0.1707484,-0.08554506,-0.5780038,-0.1340576,-0.4849449,0.6999874,1.070113,-0.6544374,2.039924,45.10524,151.156,345.4596,
13.203,0.3799209,-0.1198942,-0.6539204,-0.08809312,-0.7200781,0.2337383,1.207813,0.06775513,2.182256,22.95518,180.5974,358.6688,0.4179321,-0.1054218,-0.919212,-0.1252824,-0.3108656,0.6605397,1.490603,-0.7388833,2.338038,72.28278,154.1701,0.08618828,0.1450712,-0.1496547,-0.5497478,-0.1289594,-0.7936886,0.3628763,1.072393,-0.6572837,2.032951,45.89304,152.4155,346.398,
26.893,0.3889701,-0.1204851,-0.6601617,-0.1118135,-0.7248679,0.2377361,1.213519,0.06624955,2.172959,23.09947,181.2375,358.7396,0.4201907,-0.1066608,-0.9460345,-0.110684,-0.318805,0.6734933,1.496714,-0.7403911,2.324315,72.16399,155.2335,0.5850396,0.1293401,-0.1874804,-0.5247647,-0.03720368,-0.9406376,0.1325642,1.074864,-0.6601211,2.026482,46.42217,153.6837,347.5275,
41.029,0.3987784,-0.1193714,-0.666847,-0.1286331,-0.7305014,0.2317065,1.219399,0.06470793,2.163509,23.23851,181.8849,358.8431,0.4207876,-0.104292,-0.9706456,-0.09857719,-0.322736,0.7198572,1.50275,-0.7414086,2.310566,71.99757,156.3242,1.028209,0.1208519,-0.2138492,-0.4974433,-0.00345371,-1.002646,-0.04859483,1.077084,-0.6633193,2.020265,46.93998,154.8073,348.5964,
54.768,0.4092559,-0.1163275,-0.6739795,-0.1470342,-0.7306263,0.2242589,1.2255,0.06328905,2.153889,23.40545,182.5125,358.9447,0.4197232,-0.09853584,-0.9928148,-0.09152295,-0.3318007,0.7842041,1.508774,-0.7429721,2.29618,71.80528,157.4565,1.429756,0.1170718,-0.2218975,-0.4821413,0.03213571,-1.051497,-0.04594138,1.079906,-0.6658681,2.013671,47.2812,156.0862,349.571,
68.557,0.420843,-0.1119205,-0.6819875,-0.1531121,-0.7254694,0.2152456,1.231803,0.06193578,2.144095,23.54344,183.1335,359.0518,0.4181694,-0.09092399,-1.012765,-0.102703,-0.3406142,0.8407888,1.514817,-0.7435821,2.28199,71.63435,158.5568,1.745907,0.1333845,-0.2034979,-0.4680786,-0.02242325,-0.8343093,0.2667958,1.082378,-0.6674705,2.008338,47.13231,156.6526,349.3166,
82.473,0.4329838,-0.1068483,-0.6904879,-0.1361683,-0.7122334,0.1938959,1.238181,0.06059608,2.134245,23.61212,183.7274,359.1875,0.4181975,-0.07855137,-1.032296,-0.04724536,-0.3432916,0.8680235,1.520915,-0.7443821,2.267264,71.35319,159.7335,2.226951,0.156827,-0.190493,-0.445542,-0.2894249,-0.5528986,0.6463187,1.085423,-0.6706889,2.002254,47.09806,156.4951,347.8922,
96.442,0.4453014,-0.1013594,-0.6980237,-0.1137099,-0.6854116,0.1513582,1.244718,0.05933633,2.124404,23.66417,184.2764,359.378,0.4215889,-0.06347396,-1.054946,0.02089098,-0.3317631,0.8580519,1.527178,-0.7442763,2.252331,71.04362,160.81,2.698562,0.1678287,-0.1993006,-0.4192431,-0.5733464,-0.5049244,0.7742628,1.087839,-0.6733509,1.997136,47.57907,156.534,346.7234,
110.221,0.4576111,-0.09367565,-0.703478,-0.1250814,-0.643968,0.1104253,1.25139,0.05833238,2.114571,23.80162,184.7608,359.5667,0.4257819,-0.04899575,-1.072746,0.1193766,-0.3314691,0.7827808,1.533414,-0.7452748,2.236758,70.68998,161.9335,3.410403,0.1712863,-0.2124033,-0.3939435,-0.7413051,-0.5615939,0.7933886,1.090976,-0.6763057,1.991846,48.232,156.856,345.944,
124.182,0.4690362,-0.08345026,-0.7071903,-0.1548969,-0.5966263,0.1006569,1.258242,0.05760583,2.104625,23.98152,185.2042,359.6937,0.429841,-0.036136,-1.088396,0.1978487,-0.3320059,0.6964881,1.539721,-0.7447187,2.221931,70.33323,163.0133,4.168196,0.1780547,-0.2188744,-0.3733969,-0.8183348,-0.5751557,0.7143438,1.094149,-0.6790016,1.986713,48.92527,157.1028,345.3763,
