time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.332,-0.1095518,0.06832162,1.039518,0.1233901,-0.2835001,0.100977,-2.123514,0.1554629,-1.304851,2.059899,356.8813,353.9472,0.1907408,-0.3128108,0.5465803,-0.08920115,0.4616169,-0.9353001,-2.511137,-0.7402708,-1.292822,52.9994,298.1628,325.6516,-0.4189248,-0.06912854,1.291045,0.2799437,-0.1437847,-1.216033,-1.916135,-0.8736379,-1.406065,67.10557,143.5389,139.1201,
13.188,-0.1037226,0.07519968,1.039663,0.2972113,-0.3443813,0.08394033,-2.124949,0.1559026,-1.290447,1.454853,357.2093,353.9725,0.1951295,-0.3301552,0.4567069,-0.3242728,0.6158418,-0.8117505,-2.50853,-0.7447406,-1.287969,53.76906,297.091,324.4881,-0.4036805,-0.04060646,1.352613,0.2034988,-0.2226555,-0.6798601,-1.921311,-0.8732891,-1.385342,67.19483,143.6954,139.625,
26.948,-0.1018619,0.06201992,1.032461,0.375652,-0.3994114,0.07150333,-2.126475,0.1557174,-1.276354,1.086511,357.5521,353.9499,0.196638,-0.3515351,0.3659889,-0.5601992,0.8599187,-0.6063653,-2.505914,-0.7497296,-1.283976,54.66008,295.4143,323.1505,-0.3798665,-0.01477961,1.439346,0.3628287,-0.2418722,-0.1699926,-1.92614,-0.8726945,-1.363201,67.60346,142.6381,139.229,
40.486,-0.104409,0.04100683,1.021902,0.1945416,-0.4155851,0.0956488,-2.128322,0.1557344,-1.262468,1.342216,357.8947,353.7659,0.1992321,-0.3772109,0.2906502,-0.8188204,1.12659,-0.4279139,-2.503118,-0.7551065,-1.280408,55.69178,293.1002,321.41,-0.3607986,-0.003075513,1.511604,0.5240267,-0.209372,0.1008452,-1.930628,-0.8722066,-1.340828,68.15936,141.3586,138.457,
54.262,-0.1098374,0.02495384,1.010021,-0.1415934,-0.4119769,0.1701687,-2.130294,0.1564515,-1.24881,1.976526,358.2635,353.4112,0.2126781,-0.4142385,0.2061423,-1.162423,1.446974,-0.3165286,-2.499923,-0.76124,-1.277235,56.94407,289.7995,318.825,-0.3225228,0.00856065,1.629977,0.7069142,-0.004349984,0.3410254,-1.934377,-0.871962,-1.315567,68.69273,138.7108,136.2835,
68.461,-0.1140312,0.02329629,0.9998316,-0.3364654,-0.44214,0.2347697,-2.132049,0.1573002,-1.235047,2.318624,358.7034,353.1266,0.2372996,-0.4372196,0.1531962,-1.294581,1.619797,-0.3051669,-2.496171,-0.7669131,-1.274565,58.18142,286.8502,316.3499,-0.2878608,0.02387947,1.754645,1.018289,0.3212473,0.1447151,-1.937778,-0.8710053,-1.289184,69.51611,135.7558,132.8906,
82.447,-0.1157418,0.03357868,0.9935349,-0.3510186,-0.4967282,0.2299097,-2.13378,0.1581991,-1.221225,2.453146,359.2165,352.9791,0.2691996,-0.4566132,0.1119065,-1.361003,1.795723,-0.3461857,-2.492464,-0.7735032,-1.271846,59.57494,283.7704,313.6345,-0.2673237,0.0434436,1.844094,1.286369,0.545729,-0.212155,-1.940975,-0.8694319,-1.262849,70.49168,132.8778,129.1006,
96.347,-0.1170225,0.05093811,0.9877706,-0.3195187,-0.5451603,0.1767071,-2.135538,0.1593239,-1.207582,2.57492,359.7259,352.9271,0.3089408,-0.4624016,0.07857201,-1.358981,1.833669,-0.4499275,-2.487642,-0.7792554,-1.26985,60.81296,280.8071,310.7402,-0.2475912,0.07613968,1.938563,1.604433,0.7454129,-0.6695154,-1.943885,-0.8661497,-1.23504,71.69703,129.1461,123.9727,
110.693,-0.1186837,0.06511163,0.9807584,-0.2637081,-0.5708829,0.08669205,-2.137316,0.1600793,-1.194075,2.634811,0.2097878,352.9919,0.3530857,-0.46044,0.05505108,-1.317384,1.924694,-0.6639197,-2.48217,-0.784308,-1.26815,62.21396,277.7459,307.3779,-0.2280174,0.1304293,2.025533,1.910366,0.8672581,-1.062212,-1.946772,-0.8627157,-1.207074,72.95399,124.1669,117.4955,
124.394,-0.1197426,0.07063071,0.9726861,-0.2715626,-0.5751243,-0.00216669,-2.139081,0.1608509,-1.180781,2.855981,0.701934,353.1012,0.4033041,-0.4436584,0.04340016,-1.135296,1.965546,-0.9665251,-2.476248,-0.7890146,-1.266402,63.68797,275.2213,304.0216,-0.220881,0.1847627,2.064362,2.045822,0.7658688,-1.21094,-1.949708,-0.858003,-1.179569,74.11452,119.1917,111.411,
